
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0258"
"0.0500","0.0001","-0.0912"
"0.1000","0.0008","-0.1399"
"0.1500","0.0011","0.0980"
"0.2000","0.0030","0.0010"
"0.2500","0.0055","0.0048"
"0.3000","0.0077","-0.0405"
"0.3500","0.0093","-0.0823"
"0.4000","0.0111","0.1503"
"0.4500","0.0127","-0.0444"
"0.5000","0.0145","0.0555"
"0.5500","0.0158","0.1052"
"0.6000","0.0177","0.1425"
"0.6500","0.0195","0.0464"
"0.7000","0.0211","0.1484"
"0.7500","0.0228","-0.0774"
"0.8000","0.0244","0.1094"
"0.8500","0.0261","0.2666"
"0.9000","0.0275","0.0792"
"0.9500","0.0295","0.3120"
"1.0000","0.0311","0.1782"
"1.0500","0.0326","0.0788"
"1.1000","0.0345","0.1986"
"1.1500","0.0361","0.3149"
"1.2000","0.0378","-0.0377"
"1.2500","0.0392","0.2135"
"1.3000","0.0412","0.2641"
"1.3500","0.0427","0.1772"
"1.4000","0.0444","0.0751"
"1.4500","0.0461","0.3897"
"1.5000","0.0478","0.1941"
"1.5500","0.0494","0.0447"
"1.6000","0.0508","0.0657"
"1.6500","0.0528","0.1761"
"1.7000","0.0543","0.0368"
"1.7500","0.0561","0.1480"
"1.8000","0.0577","0.0190"
"1.8500","0.0594","0.2835"
"1.9000","0.0610","0.3295"
"1.9500","0.0625","0.3110"
"2.0000","0.0646","0.2959"
"2.0500","0.0660","0.0482"
"2.1000","0.0678","0.1892"
"2.1500","0.0694","0.0744"
"2.2000","0.0711","0.2475"
"2.2500","0.0726","0.3440"
"2.3000","0.0743","0.2805"
"2.3500","0.0762","0.1656"
"2.4000","0.0776","0.1756"
"2.4500","0.0795","0.2905"
"2.5000","0.0810","0.2484"
"2.5500","0.0829","0.2863"
"2.6000","0.0843","0.0504"
"2.6500","0.0859","0.0807"
"2.7000","0.0879","0.0225"
"2.7500","0.0893","-0.0843"
"2.8000","0.0912","0.2342"
"2.8500","0.0927","0.2575"
"2.9000","0.0946","0.2065"
"2.9500","0.0959","0.2063"
"3.0000","0.0976","0.3572"
"3.0500","0.0995","0.4638"
"3.1000","0.1011","0.1064"
"3.1500","0.1028","0.1368"
"3.2000","0.1042","0.3425"
"3.2500","0.1062","0.0975"
"3.3000","0.1075","0.1416"
"3.3500","0.1094","0.0674"
"3.4000","0.1112","0.0729"
"3.4500","0.1127","0.1427"
"3.5000","0.1144","0.1794"
"3.5500","0.1159","0.2260"
"3.6000","0.1179","0.1639"
"3.6500","0.1192","0.2880"
"3.7000","0.1211","0.2943"
"3.7500","0.1228","0.1677"
"3.8000","0.1244","0.2505"
"3.8500","0.1261","-0.0595"
"3.9000","0.1277","0.0816"
"3.9500","0.1295","0.0374"
"4.0000","0.1308","0.2948"
"4.0500","0.1328","0.3143"
"4.1000","0.1344","0.3711"
"4.1500","0.1361","0.1388"
"4.2000","0.1377","0.1988"
"4.2500","0.1394","0.2118"
"4.3000","0.1411","0.3273"
"4.3500","0.1425","0.3228"
"4.4000","0.1446","0.2820"
"4.4500","0.1461","0.4967"
"4.5000","0.1478","0.1542"
"4.5500","0.1494","0.1041"
"4.6000","0.1511","0.4322"
"4.6500","0.1527","0.3945"
"4.7000","0.1542","0.1895"
"4.7500","0.1562","0.1662"
"4.8000","0.1577","0.1304"
"4.8500","0.1594","0.2425"
"4.9000","0.1611","0.0662"
"4.9500","0.1628","0.1591"
"5.0000","0.1643","0.0740"
"5.0500","0.1659","0.1186"
"5.1000","0.1678","0.1007"
"5.1500","0.1693","0.3297"
"5.2000","0.1711","0.2068"
"5.2500","0.1727","0.3016"
"5.3000","0.1745","0.1642"
"5.3500","0.1759","0.1742"
"5.4000","0.1776","0.1374"
"5.4500","0.1795","0.2104"
"5.5000","0.1810","0.2314"
"5.5500","0.1828","0.0093"
"5.6000","0.1844","0.2981"
"5.6500","0.1861","0.1109"
"5.7000","0.1875","0.1925"
"5.7500","0.1894","0.3643"
"5.8000","0.1912","0.0892"
"5.8500","0.1926","0.0296"
"5.9000","0.1945","0.4503"
"5.9500","0.1960","0.1516"
"6.0000","0.1978","0.1397"
"6.0500","0.1992","0.2200"
"6.1000","0.2011","0.3019"
"6.1500","0.2028","0.1022"
"6.2000","0.2043","0.2350"
"6.2500","0.2061","0.3796"
"6.3000","0.2077","0.2542"
"6.3500","0.2095","0.3189"
"6.4000","0.2108","0.0701"
"6.4500","0.2127","0.1448"
"6.5000","0.2144","0.1708"
"6.5500","0.2161","0.0349"
"6.6000","0.2178","0.0761"
"6.6500","0.2193","0.1375"
"6.7000","0.2211","0.1677"
"6.7500","0.2225","0.2197"
"6.8000","0.2244","0.2399"
"6.8500","0.2261","0.2783"
"6.9000","0.2277","0.2559"
"6.9500","0.2294","0.2692"
"7.0000","0.2310","0.1226"
"7.0500","0.2328","0.2333"
"7.1000","0.2342","0.3704"
"7.1500","0.2361","0.2136"
"7.2000","0.2377","0.3641"
"7.2500","0.2394","0.2696"
"7.3000","0.2411","0.3223"
"7.3500","0.2427","0.2706"
"7.4000","0.2444","0.2836"
"7.4500","0.2458","0.1240"
"7.5000","0.2478","0.0454"
"7.5500","0.2494","0.0013"
"7.6000","0.2511","0.3158"
"7.6500","0.2527","0.3529"
"7.7000","0.2544","0.1990"
"7.7500","0.2560","0.1760"
"7.8000","0.2575","0.1796"
"7.8500","0.2595","0.2934"
"7.9000","0.2610","0.4347"
"7.9500","0.2628","0.2864"
"8.0000","0.2644","0.2522"
"8.0500","0.2661","0.2738"
"8.1000","0.2677","0.1293"
"8.1500","0.2692","0.3490"
"8.2000","0.2712","0.2824"
"8.2500","0.2726","0.1369"
"8.3000","0.2744","0.0858"
"8.3500","0.2761","0.4812"
"8.4000","0.2778","0.1006"
"8.4500","0.2793","0.1663"
"8.5000","0.2809","0.1678"
"8.5500","0.2829","0.2429"
"8.6000","0.2843","0.3568"
"8.6500","0.2861","0.1634"
"8.7000","0.2877","0.1129"
"8.7500","0.2895","0.3059"
"8.8000","0.2909","0.3329"
"8.8500","0.2926","0.1986"
"8.9000","0.2945","0.0864"
"8.9500","0.2959","0.2816"
"9.0000","0.2978","0.2062"
"9.0500","0.2993","0.0587"
"9.1000","0.3012","0.1514"
"9.1500","0.3025","0.0705"
"9.2000","0.3043","-0.0185"
"9.2500","0.3062","0.1455"
"9.3000","0.3076","0.3943"
"9.3500","0.3095","0.2084"
"9.4000","0.3110","0.2547"
"9.4500","0.3129","0.1893"
"9.5000","0.3142","0.3283"
"9.5500","0.3161","0.0643"
"9.6000","0.3178","0.2339"
"9.6500","0.3193","0.2783"
"9.7000","0.3211","0.2148"
"9.7500","0.3227","0.1186"
"9.8000","0.3246","0.1831"
"9.8500","0.3258","0.1126"
"9.9000","0.3278","0.2346"
"9.9500","0.3295","0.2144"
"10.0000","0.3311","0.2921"
"10.0500","0.3328","0.3039"
"10.1000","0.3343","0.1968"
"10.1500","0.3362","-0.0247"
"10.2000","0.3375","0.2269"
"10.2500","0.3395","0.3860"
"10.3000","0.3411","0.2285"
"10.3500","0.3428","0.0729"
"10.4000","0.3444","0.2100"
"10.4500","0.3460","0.2670"
"10.5000","0.3477","0.3703"
"10.5500","0.3491","0.3359"
"10.6000","0.3512","-0.0683"
"10.6500","0.3527","0.1949"
"10.7000","0.3544","0.1119"
"10.7500","0.3560","0.2938"
"10.8000","0.3577","0.2590"
"10.8500","0.3594","0.0810"
"10.9000","0.3608","0.0681"
"10.9500","0.3629","0.2160"
"11.0000","0.3644","0.1935"
"11.0500","0.3661","0.1077"
"11.1000","0.3676","0.2198"
"11.1500","0.3695","0.3322"
"11.2000","0.3710","0.1145"
"11.2500","0.3725","0.4061"
"11.3000","0.3745","0.1760"
"11.3500","0.3760","0.1725"
"11.4000","0.3779","0.3667"
"11.4500","0.3793","0.2437"
"11.5000","0.3812","0.2509"
"11.5500","0.3826","0.2044"
"11.6000","0.3843","0.0383"
"11.6500","0.3862","0.3414"
"11.7000","0.3877","0.1605"
"11.7500","0.3895","0.0634"
"11.8000","0.3910","0.2164"
"11.8500","0.3928","0.1530"
"11.9000","0.3942","0.0790"
"11.9500","0.3960","0.2866"
"12.0000","0.3978","0.1973"
"12.0500","0.3993","0.2037"
"12.1000","0.4012","0.0505"
"12.1500","0.4027","0.2560"
"12.2000","0.4045","0.1728"
"12.2500","0.4058","0.0489"
"12.3000","0.4077","0.1866"
"12.3500","0.4094","0.1405"
"12.4000","0.4110","0.2417"
"12.4500","0.4128","0.1382"
"12.5000","0.4144","0.2834"
"12.5500","0.4162","0.2119"
"12.6000","0.4175","0.1315"
"12.6500","0.4194","0.1335"
"12.7000","0.4211","-0.0210"
"12.7500","0.4227","0.0148"
"12.8000","0.4245","0.2577"
"12.8500","0.4260","0.1885"
"12.9000","0.4278","0.3932"
"12.9500","0.4292","0.0789"
"13.0000","0.4312","0.3017"
"13.0500","0.4327","0.1216"
"13.1000","0.4343","0.1333"
"13.1500","0.4361","0.2292"
"13.2000","0.4377","0.1280"
"13.2500","0.4394","0.2105"
"13.3000","0.4408","0.0302"
"13.3500","0.4428","0.3894"
"13.4000","0.4444","0.3407"
"13.4500","0.4461","0.2153"
"13.5000","0.4478","0.1001"
"13.5500","0.4495","0.1512"
"13.6000","0.4511","0.0214"
"13.6500","0.4525","0.1644"
"13.7000","0.4545","0.1941"
"13.7500","0.4561","0.2203"
"13.8000","0.4578","0.1132"
"13.8500","0.4594","0.1052"
"13.9000","0.4611","0.0682"
"13.9500","0.4627","0.1814"
"14.0000","0.4642","0.2756"
"14.0500","0.4662","0.1089"
"14.1000","0.4677","-0.0072"
"14.1500","0.4694","0.2875"
"14.2000","0.4710","0.2147"
"14.2500","0.4728","0.3084"
"14.3000","0.4743","0.1865"
"14.3500","0.4759","0.2646"
"14.4000","0.4778","0.0012"
"14.4500","0.4793","0.2846"
"14.5000","0.4811","0.1543"
"14.5500","0.4826","0.0489"
"14.6000","0.4845","0.2291"
"14.6500","0.4859","0.2777"
"14.7000","0.4875","-0.0018"
"14.7500","0.4895","0.1962"
"14.8000","0.4910","0.2914"
"14.8500","0.4928","0.1040"
"14.9000","0.4944","0.1329"
"14.9500","0.4962","0.0606"
"15.0000","0.4976","0.1525"
"15.0500","0.4993","0.3581"
"15.1000","0.5012","0.2220"
"15.1500","0.5027","0.1938"
"15.2000","0.5045","0.1003"
"15.2500","0.5060","0.2155"
"15.3000","0.5079","0.1944"
"15.3500","0.5092","0.0853"
"15.4000","0.5110","0.0899"
"15.4500","0.5128","0.2034"
"15.5000","0.5142","-0.0134"
"15.5500","0.5162","0.2217"
"15.6000","0.5177","0.2628"
"15.6500","0.5195","0.1216"
"15.7000","0.5208","0.2057"
"15.7500","0.5227","-0.0065"
"15.8000","0.5245","0.1274"
"15.8500","0.5259","0.0913"
"15.9000","0.5278","0.2451"
"15.9500","0.5294","0.1284"
"16.0000","0.5312","0.2444"
"16.0500","0.5324","0.0775"
"16.1000","0.5344","0.2348"
"16.1500","0.5361","0.0856"
"16.2000","0.5377","0.1669"
"16.2500","0.5394","0.2147"
"16.3000","0.5410","0.1802"
"16.3500","0.5428","0.0994"
"16.4000","0.5441","0.1185"
"16.4500","0.5462","0.2056"
"16.5000","0.5477","0.1535"
"16.5500","0.5493","0.2005"
"16.6000","0.5511","0.2792"
"16.6500","0.5527","0.3289"
"16.7000","0.5544","0.0534"
"16.7500","0.5558","0.2458"
"16.8000","0.5579","0.3186"
"16.8500","0.5594","0.3282"
"16.9000","0.5611","0.1277"
"16.9500","0.5627","0.3099"
"17.0000","0.5645","0.1512"
"17.0500","0.5660","0.2337"
"17.1000","0.5675","0.0480"
"17.1500","0.5696","0.0415"
"17.2000","0.5711","0.1870"
"17.2500","0.5728","0.1320"
"17.3000","0.5743","0.1685"
"17.3500","0.5761","0.1736"
"17.4000","0.5777","0.1759"
"17.4500","0.5792","0.1811"
"17.5000","0.5812","0.2234"
"17.5500","0.5827","0.0716"
"17.6000","0.5845","0.1696"
"17.6500","0.5859","0.1849"
"17.7000","0.5878","0.1528"
"17.7500","0.5893","0.1816"
"17.8000","0.5909","0.3358"
"17.8500","0.5929","0.0811"
"17.9000","0.5943","0.1850"
"17.9500","0.5962","0.3654"
"18.0000","0.5976","0.1444"
"18.0500","0.5995","0.2125"
"18.1000","0.6009","0.1174"
"18.1500","0.6026","-0.0480"
"18.2000","0.6045","0.1648"
"18.2500","0.6060","0.1146"
"18.3000","0.6078","0.0725"
"18.3500","0.6093","0.1626"
"18.4000","0.6112","0.0320"
"18.4500","0.6125","-0.0135"
"18.5000","0.6144","0.2003"
"18.5500","0.6161","0.3121"
"18.6000","0.6177","0.3304"
