
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1058"
"0.0500","0.0001","0.0983"
"0.1000","0.0008","-0.0323"
"0.1500","0.0011","-0.1993"
"0.2000","0.0031","0.0567"
"0.2500","0.0056","0.1098"
"0.3000","0.0077","0.0442"
"0.3500","0.0093","0.1849"
"0.4000","0.0111","-0.0609"
"0.4500","0.0127","0.0970"
"0.5000","0.0145","0.0428"
"0.5500","0.0158","0.1066"
"0.6000","0.0178","0.0654"
"0.6500","0.0195","0.0662"
"0.7000","0.0211","-0.0136"
"0.7500","0.0228","-0.0264"
"0.8000","0.0244","0.1139"
"0.8500","0.0262","0.1449"
"0.9000","0.0275","0.1328"
"0.9500","0.0296","0.1167"
"1.0000","0.0311","0.1395"
"1.0500","0.0327","0.2182"
"1.1000","0.0345","-0.0064"
"1.1500","0.0361","-0.0210"
"1.2000","0.0378","0.1975"
"1.2500","0.0392","0.0003"
"1.3000","0.0412","0.0839"
"1.3500","0.0427","-0.0300"
"1.4000","0.0444","0.0596"
"1.4500","0.0461","-0.0690"
"1.5000","0.0478","0.0217"
"1.5500","0.0494","0.1490"
"1.6000","0.0508","0.0054"
"1.6500","0.0529","0.1214"
"1.7000","0.0544","0.2803"
"1.7500","0.0561","0.1924"
"1.8000","0.0578","0.0142"
"1.8500","0.0595","0.0806"
"1.9000","0.0610","0.1733"
"1.9500","0.0625","0.0753"
"2.0000","0.0646","-0.0002"
"2.0500","0.0660","0.0376"
"2.1000","0.0678","0.1536"
"2.1500","0.0694","0.0773"
"2.2000","0.0712","0.0504"
"2.2500","0.0727","0.1657"
"2.3000","0.0743","0.1705"
"2.3500","0.0763","0.1218"
"2.4000","0.0777","0.0484"
"2.4500","0.0795","0.0429"
"2.5000","0.0810","0.1317"
"2.5500","0.0830","-0.0890"
"2.6000","0.0843","-0.1476"
"2.6500","0.0860","0.2479"
"2.7000","0.0879","-0.0134"
"2.7500","0.0894","0.0455"
"2.8000","0.0912","0.2234"
"2.8500","0.0927","-0.0095"
"2.9000","0.0946","0.1774"
"2.9500","0.0959","0.2050"
"3.0000","0.0976","0.2010"
"3.0500","0.0995","0.0129"
"3.1000","0.1011","0.1034"
"3.1500","0.1029","0.0776"
"3.2000","0.1043","0.1075"
"3.2500","0.1062","0.0644"
"3.3000","0.1075","0.0669"
"3.3500","0.1095","-0.0603"
"3.4000","0.1112","0.1063"
"3.4500","0.1127","0.0719"
"3.5000","0.1145","0.0844"
"3.5500","0.1160","0.1695"
"3.6000","0.1179","0.1535"
"3.6500","0.1192","0.1731"
