
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1322"
"0.0500","0.0001","0.0258"
"0.1000","0.0008","0.3222"
"0.1500","0.0011","0.0400"
"0.2000","0.0030","0.0558"
"0.2500","0.0058","-0.0299"
"0.3000","0.0078","0.0706"
"0.3500","0.0091","0.1254"
"0.4000","0.0111","0.0586"
"0.4500","0.0128","0.0658"
"0.5000","0.0144","0.1206"
"0.5500","0.0161","0.1901"
"0.6000","0.0178","0.0684"
"0.6500","0.0195","0.2592"
"0.7000","0.0208","0.1423"
"0.7500","0.0228","-0.1210"
"0.8000","0.0244","0.1153"
"0.8500","0.0261","-0.0089"
"0.9000","0.0278","0.1024"
"0.9500","0.0294","0.0115"
"1.0000","0.0311","0.0427"
"1.0500","0.0326","0.3315"
"1.1000","0.0346","0.1378"
"1.1500","0.0361","0.1959"
"1.2000","0.0378","0.2202"
"1.2500","0.0395","0.1810"
"1.3000","0.0412","-0.2322"
"1.3500","0.0428","0.1460"
"1.4000","0.0443","-0.1597"
"1.4500","0.0462","0.0554"
"1.5000","0.0477","-0.1255"
"1.5500","0.0494","0.1817"
"1.6000","0.0511","0.1480"
"1.6500","0.0529","0.0885"
"1.7000","0.0544","-0.1026"
"1.7500","0.0559","0.0859"
"1.8000","0.0579","0.1290"
"1.8500","0.0593","-0.0263"
"1.9000","0.0611","0.2340"
"1.9500","0.0627","-0.1546"
"2.0000","0.0645","0.0973"
"2.0500","0.0660","-0.0098"
"2.1000","0.0676","0.0128"
"2.1500","0.0696","-0.0809"
"2.2000","0.0710","0.0294"
"2.2500","0.0729","0.0702"
"2.3000","0.0743","-0.2251"
"2.3500","0.0762","0.1388"
"2.4000","0.0776","0.1367"
"2.4500","0.0794","0.1844"
"2.5000","0.0812","0.1038"
"2.5500","0.0826","0.1611"
"2.6000","0.0845","0.0550"
"2.6500","0.0860","0.1793"
"2.7000","0.0880","0.0925"
"2.7500","0.0893","-0.0139"
"2.8000","0.0911","0.0996"
"2.8500","0.0929","0.2197"
"2.9000","0.0944","0.0706"
"2.9500","0.0962","-0.1109"
"3.0000","0.0977","0.0045"
"3.0500","0.0996","0.2300"
"3.1000","0.1008","0.0287"
"3.1500","0.1027","0.1702"
"3.2000","0.1045","0.2619"
"3.2500","0.1062","0.3791"
"3.3000","0.1078","0.2897"
"3.3500","0.1093","0.1488"
"3.4000","0.1112","0.1571"
"3.4500","0.1125","0.2289"
"3.5000","0.1145","0.0157"
"3.5500","0.1161","0.0494"
"3.6000","0.1178","0.1912"
"3.6500","0.1194","0.1843"
"3.7000","0.1210","0.1021"
"3.7500","0.1229","0.1813"
"3.8000","0.1242","0.0377"
"3.8500","0.1262","0.1429"
"3.9000","0.1277","0.3416"
"3.9500","0.1295","-0.0399"
"4.0000","0.1311","0.2130"
"4.0500","0.1328","0.1401"
"4.1000","0.1345","0.0832"
"4.1500","0.1359","0.2616"
"4.2000","0.1379","0.0332"
"4.2500","0.1394","0.2820"
"4.3000","0.1412","0.2447"
"4.3500","0.1427","0.3395"
"4.4000","0.1445","0.2476"
"4.4500","0.1460","0.3302"
"4.5000","0.1476","0.3381"
"4.5500","0.1496","0.2914"
"4.6000","0.1511","0.5460"
"4.6500","0.1529","0.6591"
"4.7000","0.1544","0.4742"
"4.7500","0.1561","0.5913"
"4.8000","0.1577","0.6119"
"4.8500","0.1593","1.0174"
"4.9000","0.1612","1.1688"
"4.9500","0.1627","0.9167"
"5.0000","0.1645","1.0837"
"5.0500","0.1661","1.1584"
"5.1000","0.1679","1.4594"
"5.1500","0.1693","1.4316"
"5.2000","0.1710","1.8280"
"5.2500","0.1728","2.0615"
"5.3000","0.1743","2.3714"
"5.3500","0.1762","2.3375"
"5.4000","0.1777","2.4398"
"5.4500","0.1795","2.5060"
"5.5000","0.1809","2.5330"
"5.5500","0.1827","2.6544"
"5.6000","0.1845","2.6898"
"5.6500","0.1860","2.6786"
"5.7000","0.1879","2.4039"
"5.7500","0.1894","2.6950"
"5.8000","0.1912","2.7773"
"5.8500","0.1926","2.8528"
"5.9000","0.1945","2.8692"
"5.9500","0.1962","3.0511"
"6.0000","0.1977","2.8580"
"6.0500","0.1995","2.8014"
"6.1000","0.2011","2.8065"
"6.1500","0.2028","2.7434"
"6.2000","0.2042","2.7920"
"6.2500","0.2061","2.9263"
"6.3000","0.2078","2.7568"
"6.3500","0.2094","2.9264"
"6.4000","0.2112","2.9842"
"6.4500","0.2128","3.0391"
"6.5000","0.2145","2.9212"
"6.5500","0.2158","2.9994"
"6.6000","0.2178","2.8458"
"6.6500","0.2195","3.0219"
"6.7000","0.2212","2.8551"
"6.7500","0.2228","2.8497"
"6.8000","0.2244","2.9071"
"6.8500","0.2261","2.8866"
"6.9000","0.2275","2.7814"
"6.9500","0.2295","2.8381"
"7.0000","0.2311","3.0259"
"7.0500","0.2327","3.0152"
"7.1000","0.2344","2.9329"
"7.1500","0.2361","2.7908"
"7.2000","0.2378","2.9045"
"7.2500","0.2392","3.0167"
"7.3000","0.2412","2.8360"
"7.3500","0.2427","2.9052"
"7.4000","0.2445","2.9547"
"7.4500","0.2461","2.9759"
"7.5000","0.2479","2.9733"
"7.5500","0.2494","3.1189"
"7.6000","0.2509","2.9204"
"7.6500","0.2529","3.0508"
"7.7000","0.2544","2.9219"
"7.7500","0.2562","2.9641"
"7.8000","0.2577","2.9680"
"7.8500","0.2595","3.1320"
"7.9000","0.2610","2.8847"
"7.9500","0.2626","2.9122"
"8.0000","0.2645","3.0430"
"8.0500","0.2661","3.0231"
"8.1000","0.2679","3.0119"
"8.1500","0.2694","3.0946"
"8.2000","0.2712","2.9794"
"8.2500","0.2727","2.8084"
"8.3000","0.2743","2.8438"
"8.3500","0.2762","2.9664"
"8.4000","0.2776","3.0645"
"8.4500","0.2795","3.1963"
"8.5000","0.2811","2.9988"
"8.5500","0.2829","3.0644"
"8.6000","0.2843","3.1632"
"8.6500","0.2860","3.0470"
"8.7000","0.2879","3.1639"
"8.7500","0.2893","3.1690"
"8.8000","0.2912","3.2175"
"8.8500","0.2927","3.1193"
"8.9000","0.2946","3.2901"
"8.9500","0.2959","3.2612"
"9.0000","0.2977","3.1557"
"9.0500","0.2995","3.2665"
"9.1000","0.3010","3.2235"
"9.1500","0.3028","3.3259"
"9.2000","0.3044","3.3709"
"9.2500","0.3062","3.4641"
"9.3000","0.3075","3.5911"
"9.3500","0.3094","3.5894"
"9.4000","0.3111","3.6511"
"9.4500","0.3127","3.5014"
"9.5000","0.3145","3.4684"
"9.5500","0.3161","3.5032"
"9.6000","0.3179","3.6356"
"9.6500","0.3192","3.4628"
"9.7000","0.3212","3.5698"
"9.7500","0.3228","3.7093"
"9.8000","0.3244","3.5857"
"9.8500","0.3261","3.4559"
"9.9000","0.3278","3.3944"
"9.9500","0.3295","3.6108"
"10.0000","0.3308","3.3197"
"10.0500","0.3329","3.4602"
"10.1000","0.3344","3.3436"
"10.1500","0.3361","3.4193"
"10.2000","0.3378","3.7072"
"10.2500","0.3395","3.4394"
"10.3000","0.3412","3.6509"
"10.3500","0.3425","3.7212"
"10.4000","0.3445","3.5982"
"10.4500","0.3461","3.6300"
"10.5000","0.3479","3.5584"
"10.5500","0.3493","3.3976"
"10.6000","0.3511","3.3629"
"10.6500","0.3527","3.5077"
"10.7000","0.3542","3.6133"
"10.7500","0.3563","3.5588"
"10.8000","0.3577","3.6990"
"10.8500","0.3595","3.6274"
"10.9000","0.3610","3.4935"
"10.9500","0.3628","3.3704"
"11.0000","0.3644","3.7034"
