
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0215"
"0.2500","0.0151","10.7682"
"0.5000","0.0360","22.8756"
"0.7500","0.0568","37.9568"
"1.0000","0.0776","57.1494"
"1.2500","0.0985","79.0810"
"1.5000","0.1193","103.9841"
"1.7500","0.1402","131.2058"
"2.0000","0.1611","160.3150"
"2.2500","0.1818","192.6585"
"2.5000","0.2026","229.4949"
"2.7500","0.2236","270.8392"
"3.0000","0.2444","315.9313"
"3.2500","0.2652","366.8565"
"3.5000","0.2860","422.4469"
"3.7500","0.3067","481.7497"
"4.0000","0.3277","544.9795"
"4.2500","0.3486","611.0284"
"4.5000","0.3693","677.8701"
"4.7500","0.3902","746.8483"
"5.0000","0.4110","816.8450"
"5.2500","0.4318","888.0433"
"5.5000","0.4528","962.2849"
"5.7500","0.4736","1037.9385"
"6.0000","0.4944","1114.4591"
"6.2500","0.5152","1193.1014"
"6.5000","0.5360","1273.0364"
"6.7500","0.5568","1355.6357"
"7.0000","0.5778","1440.6589"
"7.2500","0.5985","1525.5754"
"7.5000","0.6193","1612.7516"
"7.7500","0.6401","1700.9303"
"8.0000","0.6609","1790.8870"
"8.2500","0.6819","1884.4862"
"8.5000","0.7028","1977.8022"
"8.7500","0.7235","2071.8977"
"9.0000","0.7443","2166.1394"
"9.2500","0.7652","2262.6938"
"9.5000","0.7861","2359.6658"
"9.7500","0.8070","2456.9973"
"10.0000","0.8277","2552.4556"
"10.2500","0.8485","2647.4497"
"10.5000","0.8693","2740.9958"
"10.7500","0.8902","2833.7820"
"11.0000","0.9111","2925.4465"
"11.2500","0.9320","3014.0798"
"11.5000","0.9527","3098.5459"
"11.7500","0.9734","3176.7168"
"12.0000","0.9943","3251.9978"
"12.2500","1.0153","3325.8523"
"12.5000","1.0361","3392.3582"
"12.7500","1.0569","3450.8037"
"13.0000","1.0777","3502.6523"
"13.2500","1.0985","3552.1790"
"13.5000","1.1193","3595.0496"
"13.7500","1.1402","3627.4031"
"14.0000","1.1611","3650.7466"
"14.2500","1.1818","3666.8315"
"14.5000","1.2026","3675.1206"
"14.7500","1.2235","3677.8054"
"15.0000","1.2444","3661.8613"
"15.2500","1.2653","3642.5359"
"15.5000","1.2860","3589.1238"
"15.7500","1.3068","3543.2161"
"16.0000","1.3277","3470.3496"
"16.2500","1.3486","3391.9092"
"16.5000","1.3695","3319.6443"
"16.7500","1.3902","3250.7063"
"17.0000","1.4111","3172.2542"
"17.2500","1.4318","3091.0879"
"17.5000","1.4526","3024.3765"
"17.7500","1.4737","2970.5762"
"18.0000","1.4944","2890.3965"
"18.2500","1.5151","2780.8220"
"18.3850","1.5265","2681.5098"

