
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0276"
"0.0500","0.0001","0.1742"
"0.1000","0.0008","0.1329"
"0.1500","0.0011","0.0302"
"0.2000","0.0028","-0.0370"
"0.2500","0.0057","0.0399"
"0.3000","0.0078","-0.0173"
"0.3500","0.0091","0.0728"
"0.4000","0.0110","0.2429"
"0.4500","0.0128","0.0308"
"0.5000","0.0142","-0.0219"
"0.5500","0.0161","0.0234"
"0.6000","0.0177","0.1002"
"0.6500","0.0195","0.1269"
"0.7000","0.0208","0.0373"
"0.7500","0.0228","0.0659"
"0.8000","0.0244","0.1048"
"0.8500","0.0259","0.0603"
"0.9000","0.0278","-0.1226"
"0.9500","0.0294","0.1068"
"1.0000","0.0311","0.0696"
"1.0500","0.0324","0.0675"
"1.1000","0.0344","-0.0871"
"1.1500","0.0360","0.1216"
"1.2000","0.0376","0.0252"
"1.2500","0.0394","0.2056"
"1.3000","0.0410","0.0239"
"1.3500","0.0428","-0.0834"
"1.4000","0.0441","0.1076"
"1.4500","0.0462","0.0269"
"1.5000","0.0477","-0.0469"
"1.5500","0.0494","-0.0021"
"1.6000","0.0511","0.0222"
"1.6500","0.0527","0.0498"
"1.7000","0.0544","-0.1680"
"1.7500","0.0558","0.0989"
"1.8000","0.0579","0.0691"
"1.8500","0.0593","-0.0354"
"1.9000","0.0611","0.0750"
"1.9500","0.0627","0.1698"
"2.0000","0.0645","0.0776"
"2.0500","0.0660","0.0652"
"2.1000","0.0675","0.0502"
"2.1500","0.0696","-0.1420"
"2.2000","0.0710","-0.1690"
"2.2500","0.0728","-0.0746"
"2.3000","0.0743","0.0914"
"2.3500","0.0762","0.0410"
"2.4000","0.0776","0.1521"
"2.4500","0.0792","-0.0529"
"2.5000","0.0812","-0.0774"
"2.5500","0.0827","0.0975"
"2.6000","0.0845","0.0461"
"2.6500","0.0859","-0.1246"
"2.7000","0.0878","0.1480"
"2.7500","0.0892","-0.0277"
"2.8000","0.0909","-0.0551"
"2.8500","0.0928","0.0421"
"2.9000","0.0943","0.0015"
"2.9500","0.0961","0.0743"
"3.0000","0.0976","0.0637"
"3.0500","0.0995","-0.0746"
"3.1000","0.1009","0.1017"
"3.1500","0.1027","0.1934"
"3.2000","0.1045","0.1657"
