
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.3346"
"0.1000","0.0007","2.7400"
"0.2000","0.0028","10.5441"
"0.3000","0.0075","28.5671"
"0.4000","0.0109","40.3746"
"0.5000","0.0142","51.9512"
"0.6000","0.0174","62.6917"
"0.7000","0.0210","74.4820"
"0.8000","0.0244","81.9435"
"0.9000","0.0278","89.4064"
"1.0000","0.0310","98.8174"
"1.1000","0.0343","107.9313"
"1.2000","0.0376","117.3397"
"1.3000","0.0407","125.8526"
"1.4000","0.0444","136.2207"
"1.5000","0.0476","145.3432"
"1.6000","0.0510","154.5840"
"1.7000","0.0544","163.9974"
"1.8000","0.0576","173.0386"
"1.9000","0.0610","182.0906"
"2.0000","0.0641","190.0562"
"2.1000","0.0676","199.7683"
"2.2000","0.0710","208.3347"
"2.3000","0.0743","216.7271"
"2.4000","0.0778","225.7994"
"2.5000","0.0811","234.1233"
"2.6000","0.0844","242.1285"
"2.7000","0.0875","249.4698"
"2.8000","0.0909","257.4210"
"2.9000","0.0943","265.3188"
"3.0000","0.0975","272.9894"
"3.1000","0.1011","281.9627"
"3.2000","0.1044","289.6382"
"3.3000","0.1078","297.9355"
"3.4000","0.1108","304.8176"
"3.5000","0.1142","312.3051"
"3.6000","0.1176","320.1100"
"3.7000","0.1207","327.1454"
"3.8000","0.1244","336.1065"
"3.9000","0.1277","343.4368"
"4.0000","0.1311","350.7780"
"4.1000","0.1344","358.1530"
"4.2000","0.1376","364.7478"
"4.3000","0.1410","372.3873"
"4.4000","0.1440","378.4059"
"4.5000","0.1477","386.6703"
"4.6000","0.1510","393.3306"
"4.7000","0.1544","400.2375"
"4.8000","0.1577","407.3708"
"4.9000","0.1611","413.9241"
"5.0000","0.1643","420.1171"
"5.1000","0.1674","425.7700"
"5.2000","0.1709","432.8078"
"5.3000","0.1742","438.8255"
"5.4000","0.1776","445.6058"
"5.5000","0.1811","452.6006"
"5.6000","0.1844","458.2885"
"5.7000","0.1878","464.6003"
"5.8000","0.1908","469.6552"
"5.9000","0.1943","475.7292"
"6.0000","0.1975","481.3263"
"6.1000","0.2008","486.7631"
"6.2000","0.2044","493.4637"
"6.3000","0.2078","498.8910"
"6.4000","0.2111","504.2130"
"6.5000","0.2143","509.7963"
"6.6000","0.2175","514.5206"
"6.7000","0.2209","519.9351"
"6.8000","0.2241","524.2330"
"6.9000","0.2276","530.0759"
"7.0000","0.2310","535.5179"
"7.1000","0.2344","540.6055"
"7.2000","0.2377","545.5164"
"7.3000","0.2410","549.7216"
"7.4000","0.2443","553.9394"
"7.5000","0.2474","558.1268"
"7.6000","0.2510","563.1118"
"7.7000","0.2543","567.7086"
"7.8000","0.2577","571.7675"
"7.9000","0.2611","575.9709"
"8.0000","0.2643","579.8051"
"8.1000","0.2678","583.9781"
"8.2000","0.2707","587.0592"
"8.3000","0.2743","592.1119"
"8.4000","0.2776","595.7010"
"8.5000","0.2809","599.3718"
"8.6000","0.2845","604.1154"
"8.7000","0.2876","607.5128"
"8.8000","0.2911","612.0946"
"8.9000","0.2942","614.9731"
"9.0000","0.2976","618.5802"
"9.1000","0.3009","622.0703"
"9.2000","0.3042","625.2013"
"9.3000","0.3078","629.7114"
"9.4000","0.3111","632.9403"
"9.5000","0.3144","636.3695"
"9.5970","0.3176","-1.2404"

