Results Table 1
,Specimen number (included),Maximum Force
,,(kN)
"1","1","0.01"

Results Table 2



Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0096"
"0.0500","0.0006","0.0747"
"0.1000","0.0058","0.2645"
"0.1500","0.0123","0.5172"
"0.2000","0.0227","0.8341"
"0.2500","0.0318","1.0964"
"0.3000","0.0401","1.3142"
"0.3500","0.0485","1.4956"
"0.4000","0.0568","1.7035"
"0.4500","0.0651","1.8868"
"0.5000","0.0735","2.0998"
"0.5500","0.0818","2.2582"
"0.6000","0.0902","2.4530"
"0.6500","0.0986","2.6421"
"0.7000","0.1069","2.8004"
"0.7500","0.1152","2.9827"
"0.8000","0.1234","3.1623"
"0.8500","0.1318","3.3562"
"0.9000","0.1402","3.5068"
"0.9500","0.1485","3.6588"
"1.0000","0.1569","3.8903"
"1.0500","0.1652","4.0622"
"1.1000","0.1735","4.2084"
"1.1500","0.1818","4.3654"
"1.2000","0.1902","4.5394"
"1.2500","0.1985","4.6884"
"1.3000","0.2069","4.8280"
"1.3500","0.2152","4.9948"
"1.4000","0.2235","5.1278"
"1.4500","0.2319","5.2603"
"1.5000","0.2402","5.3922"
"1.5500","0.2485","5.5697"
"1.6000","0.2568","5.6704"
"1.6500","0.2652","5.7918"
"1.7000","0.2736","5.9266"
"1.7500","0.2819","6.0554"
"1.8000","0.2902","6.1693"
"1.8500","0.2985","6.2795"
"1.9000","0.3068","6.3836"
"1.9500","0.3152","6.4993"
"2.0000","0.3236","6.6305"
"2.0500","0.3319","6.7325"
"2.1000","0.3403","6.8204"
"2.1500","0.3486","6.9400"
"2.2000","0.3568","7.0362"
"2.2500","0.3651","7.1283"
"2.3000","0.3735","7.2279"
"2.3500","0.3819","7.3179"
"2.4000","0.3902","7.3988"
"2.4500","0.3986","7.4919"
"2.5000","0.4069","7.5519"
"2.5500","0.4152","7.6538"
"2.6000","0.4235","7.7393"
"2.6500","0.4318","7.8096"
"2.7000","0.4402","7.9083"
"2.7500","0.4485","7.9865"
"2.8000","0.4569","8.0581"
"2.8500","0.4652","8.1335"
"2.9000","0.4736","8.2136"
"2.9500","0.4818","8.2791"
"3.0000","0.4901","8.3458"
"3.0500","0.4985","8.4223"
"3.1000","0.5069","8.4757"
"3.1500","0.5153","8.5467"
"3.2000","0.5236","8.6044"
"3.2500","0.5319","8.6551"
"3.3000","0.5402","8.7346"
"3.3500","0.5485","8.7855"
"3.4000","0.5569","8.8412"
"3.4500","0.5652","8.8982"
"3.5000","0.5736","8.9217"
"3.5500","0.5819","8.9970"
"3.6000","0.5902","9.0438"
"3.6500","0.5985","9.0853"
"3.7000","0.6068","9.1281"
"3.7500","0.6152","9.1951"
"3.8000","0.6235","9.2275"
"3.8500","0.6318","9.2557"
"3.9000","0.6402","9.3340"
"3.9500","0.6486","9.3411"
"4.0000","0.6568","9.3852"
"4.0500","0.6651","9.4310"
"4.1000","0.6735","9.4670"
"4.1500","0.6819","9.4776"
