
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0020"
"0.2500","0.0160","1.6790"
"0.5000","0.0369","4.6879"
"0.7500","0.0578","9.1188"
"1.0000","0.0785","16.2837"
"1.2500","0.0994","26.3254"
"1.5000","0.1203","39.9450"
"1.7500","0.1411","61.4560"
"2.0000","0.1620","89.9901"
"2.2500","0.1827","117.6927"
"2.5000","0.2035","149.3880"
"2.7500","0.2245","186.8582"
"3.0000","0.2454","228.1703"
"3.2500","0.2661","272.7362"
"3.5000","0.2870","321.5128"
"3.7500","0.3077","377.7015"
"4.0000","0.3285","445.3316"
"4.2500","0.3495","525.3920"
"4.5000","0.3703","614.3462"
"4.7500","0.3911","711.3865"
"5.0000","0.4119","813.1011"
"5.2500","0.4326","919.8035"
"5.5000","0.4537","1033.0061"
"5.7500","0.4745","1147.8716"
"6.0000","0.4952","1265.7788"
"6.2500","0.5160","1389.4700"
"6.5000","0.5369","1517.6218"
"6.7500","0.5577","1651.5450"
"7.0000","0.5787","1790.5784"
"7.2500","0.5995","1929.2646"
"7.5000","0.6202","2066.9106"
"7.7500","0.6410","2203.8142"
"8.0000","0.6619","2342.0801"
"8.2500","0.6828","2480.5996"
"8.5000","0.7037","2617.7561"
"8.7500","0.7244","2750.1479"
"9.0000","0.7451","2881.5051"
"9.2500","0.7661","3017.6548"
"9.5000","0.7870","3153.7781"
"9.7500","0.8078","3291.5789"
"10.0000","0.8287","3430.4504"
"10.2500","0.8494","3566.8103"
"10.5000","0.8701","3704.0671"
"10.7500","0.8911","3845.3770"
"11.0000","0.9120","3985.8904"
"11.2500","0.9328","4125.5723"
"11.5000","0.9536","4265.5796"
"11.7500","0.9743","4404.6294"
"12.0000","0.9952","4548.6919"
"12.2500","1.0162","4693.0220"
"12.5000","1.0370","4835.0146"
"12.7500","1.0578","4974.1157"
"13.0000","1.0786","5111.1455"
"13.2500","1.0994","5246.4961"
"13.5000","1.1202","5379.5894"
"13.7500","1.1412","5513.3022"
"14.0000","1.1620","5640.2378"
"14.2500","1.1827","5761.8008"
"14.5000","1.2035","5882.9243"
"14.7500","1.2244","6003.3418"
"15.0000","1.2453","6122.7476"
"15.2500","1.2662","6236.6592"
"15.5000","1.2869","6345.4048"
"15.7500","1.3077","6452.8911"
"16.0000","1.3285","6557.2007"
"16.2500","1.3494","6662.0654"
"16.5000","1.3704","6765.6445"
"16.7500","1.3912","6861.6406"
"17.0000","1.4119","6953.9810"
"17.2500","1.4327","7045.3779"
"17.5000","1.4536","7136.8037"
"17.7500","1.4745","7227.1421"
"18.0000","1.4953","7309.7729"
"18.2500","1.5161","7389.9307"
"18.5000","1.5368","7468.2383"
"18.7500","1.5577","7544.3018"
"19.0000","1.5786","7620.3335"
"19.2500","1.5996","7695.6182"
"19.5000","1.6203","7762.0625"
"19.7500","1.6410","7826.4707"
"20.0000","1.6618","7890.7837"
"20.2500","1.6828","7954.8828"
"20.5000","1.7037","8019.5952"
"20.7500","1.7244","8075.1450"
"21.0000","1.7453","8130.8140"
"21.2500","1.7660","8182.9424"
"21.5000","1.7869","8235.2451"
"21.7500","1.8078","8287.9902"
"22.0000","1.8287","8336.4639"
"22.2500","1.8495","8383.5752"
"22.5000","1.8702","8424.0527"
"22.7500","1.8910","8466.5703"
"23.0000","1.9120","8512.8848"
"23.2500","1.9329","8553.6406"
"23.5000","1.9536","8589.7363"
"23.7500","1.9745","8627.9180"
"24.0000","1.9952","8659.7441"
"24.2500","2.0161","8692.8867"
"24.5000","2.0371","8728.1211"
"24.7500","2.0578","8758.1943"
"25.0000","2.0786","8787.7998"
"25.2500","2.0994","8815.3945"
"25.5000","2.1201","8841.8799"
"25.7500","2.1412","8873.9346"
"26.0000","2.1621","8901.2539"
"26.2500","2.1827","8922.5078"
"26.5000","2.2035","8946.1240"
"26.7500","2.2243","8967.9717"
"27.0000","2.2452","8992.0117"
"27.2500","2.2662","9016.0518"
"27.5000","2.2870","9035.3809"
"27.7500","2.3077","9052.6650"
"28.0000","2.3284","9069.2959"
"28.2500","2.3494","9088.6982"
"28.5000","2.3703","9107.7842"
"28.7500","2.3912","9124.8721"
"29.0000","2.4119","9135.1514"
"29.2500","2.4326","9145.9385"
"29.5000","2.4536","9160.0498"
"29.7500","2.4745","9172.2842"
"30.0000","2.4953","9183.4248"
"30.2500","2.5162","9194.8857"
"30.5000","2.5369","9199.8438"
"30.7500","2.5576","9205.2363"
"31.0000","2.5786","9216.8662"
"31.2500","2.5995","9226.8691"
"31.5000","2.6203","9233.5352"
"31.7500","2.6411","9238.3623"
"32.0000","2.6618","9240.4932"
"32.2500","2.6827","9246.4658"
"32.5000","2.7037","9252.7070"
"32.7500","2.7245","9254.9814"
"33.0000","2.7453","9253.7168"
"33.2500","2.7660","9248.8818"
"33.5000","2.7868","9245.5205"
"33.7500","2.8077","9239.3457"
"34.0000","2.8287","9231.4004"
"34.2500","2.8495","9218.1113"
"34.5000","2.8702","9202.5010"
"34.7500","2.8910","9191.9834"
"35.0000","2.9119","9187.2910"
"35.2500","2.9329","9184.9316"
"35.5000","2.9537","9180.6143"
"35.7500","2.9744","9173.6123"
"36.0000","2.9952","9167.2236"
"36.2500","3.0160","9159.7578"
"36.5000","3.0369","9156.3877"
"36.7500","3.0579","9151.8564"
"37.0000","3.0787","9139.5498"
"37.2500","3.0994","9125.1396"
"37.5000","3.1202","9111.4893"
"37.7500","3.1411","9102.9434"
"38.0000","3.1620","9096.8691"
"38.2500","3.1828","9086.9688"
"38.5000","3.2036","9074.4531"
"38.7500","3.2243","9062.8125"
"39.0000","3.2452","9052.6328"
"39.2500","3.2661","9048.3652"
"39.5000","3.2870","9040.4316"
"39.7500","3.3078","9027.7246"
"40.0000","3.3285","9014.4834"
"40.2500","3.3493","9001.2686"
"40.5000","3.3703","8983.9746"
"40.7500","3.3912","8957.3896"
"41.0000","3.4120","8914.4863"
"41.2500","3.4328","8873.4590"
"41.5000","3.4535","8831.7256"
"41.7500","3.4744","8793.4014"
"42.0000","3.4954","8753.2588"
"42.2500","3.5162","8708.5977"
"42.5000","3.5370","8664.2793"
"42.7500","3.5577","8615.4609"
"43.0000","3.5785","8579.1602"
"43.2500","3.5995","8555.8584"
"43.5000","3.6204","8539.7275"
"43.7500","3.6411","8522.7109"
"44.0000","3.6619","8507.7520"
"44.2500","3.6827","8488.7520"
"44.5000","3.7036","8470.6143"
"44.7500","3.7246","8452.9629"
"45.0000","3.7453","8426.3662"
"45.2500","3.7661","8400.4102"
"45.5000","3.7868","8367.1406"
"45.7500","3.8077","8327.9648"
"46.0000","3.8287","8286.3564"
"46.2500","3.8495","8229.6152"
"46.5000","3.8703","8150.5571"
"46.7500","3.8910","8050.8540"
"47.0000","3.9119","7934.8223"
"47.2500","3.9328","7801.4238"
"47.5000","3.9537","7674.5195"
"47.7500","3.9745","7583.5098"
"48.0000","3.9952","7515.0405"
"48.2500","4.0160","7442.2734"
"48.5000","4.0369","7346.4854"
"48.7500","4.0579","6279.8257"
"49.0000","4.0787","5103.9634"
"49.2500","4.0994","5003.3491"
"49.5000","4.1201","4972.2744"
"49.7500","4.1411","4961.3970"
"50.0000","4.1620","4954.7212"
"50.2500","4.1828","4960.1748"
"50.5000","4.2037","4966.8335"
"50.7500","4.2245","4977.1270"
"51.0000","4.2451","4987.9028"
"51.2500","4.2661","4999.2231"
