
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","1.4579"
"0.1000","0.0004","1.9282"
"0.2000","0.0013","4.7334"
"0.3000","0.0063","22.4862"
"0.4000","0.0100","34.9594"
"0.5000","0.0132","45.6513"
"0.6000","0.0168","57.6220"
"0.7000","0.0201","68.8095"
"0.8000","0.0235","79.5988"
"0.9000","0.0268","89.9628"
"1.0000","0.0301","100.2516"
"1.1000","0.0334","110.4602"
"1.2000","0.0365","119.8838"
"1.3000","0.0401","130.9651"
"1.4000","0.0433","140.6947"
"1.5000","0.0468","150.9291"
"1.6000","0.0502","161.0780"
"1.7000","0.0534","170.6097"
"1.8000","0.0568","180.2905"
"1.9000","0.0598","189.2258"
"2.0000","0.0634","199.4691"
"2.1000","0.0666","208.7853"
"2.2000","0.0700","218.3056"
"2.3000","0.0735","228.2106"
"2.4000","0.0769","237.4713"
"2.5000","0.0802","246.6574"
"2.6000","0.0833","255.6400"
"2.7000","0.0867","264.6603"
"2.8000","0.0900","273.6945"
"2.9000","0.0932","282.1708"
"3.0000","0.0968","292.2948"
"3.1000","0.1002","301.3581"
"3.2000","0.1035","310.1299"
"3.3000","0.1067","318.5849"
"3.4000","0.1100","327.4227"
"3.5000","0.1134","336.3084"
"3.6000","0.1165","344.2297"
"3.7000","0.1201","353.6945"
"3.8000","0.1235","362.2793"
"3.9000","0.1267","370.7609"
"4.0000","0.1302","379.5333"
"4.1000","0.1334","387.4566"
"4.2000","0.1368","396.0214"
"4.3000","0.1399","403.5111"
"4.4000","0.1434","412.4621"
"4.5000","0.1468","420.8107"
"4.6000","0.1500","428.4569"
"4.7000","0.1535","437.1526"
"4.8000","0.1569","445.1700"
"4.9000","0.1601","452.9657"
"5.0000","0.1632","460.2117"
"5.1000","0.1667","468.2868"
"5.2000","0.1700","476.2341"
"5.3000","0.1733","483.5122"
"5.4000","0.1768","492.2434"
"5.5000","0.1801","499.6256"
"5.6000","0.1836","507.5714"
"5.7000","0.1866","514.0033"
"5.8000","0.1900","522.0380"
"5.9000","0.1934","529.3332"
"6.0000","0.1965","536.1373"
"6.1000","0.2002","544.6159"
"6.2000","0.2035","551.7353"
"6.3000","0.2069","559.0349"
"6.4000","0.2101","566.0997"
"6.5000","0.2133","572.6586"
"6.6000","0.2167","580.1240"
"6.7000","0.2199","586.5446"
"6.8000","0.2234","594.3096"
"6.9000","0.2268","601.3448"
"7.0000","0.2302","608.3928"
"7.1000","0.2335","615.2891"
"7.2000","0.2367","621.6234"
"7.3000","0.2401","628.8650"
"7.4000","0.2432","634.7682"
"7.5000","0.2467","642.1142"
"7.6000","0.2501","648.9335"
"7.7000","0.2534","655.5845"
"7.8000","0.2569","663.0990"
"7.9000","0.2601","669.1275"
"8.0000","0.2635","676.2738"
"8.1000","0.2665","681.7563"
"8.2000","0.2700","688.8690"
"8.3000","0.2733","695.3459"
"8.4000","0.2767","702.1439"
"8.5000","0.2802","709.4750"
"8.6000","0.2835","716.0047"
"8.7000","0.2868","722.6373"
"8.8000","0.2900","728.4832"
"8.9000","0.2933","735.0965"
"9.0000","0.2966","741.4120"
"9.1000","0.2999","747.7166"
"9.2000","0.3035","755.2781"
"9.3000","0.3068","761.6296"
"9.4000","0.3102","768.2455"
"9.5000","0.3134","774.2048"
"9.6000","0.3167","780.5138"
"9.7000","0.3200","786.4532"
"9.8000","0.3232","792.2708"
"9.9000","0.3268","799.5064"
"10.0000","0.3301","805.7809"
"10.1000","0.3334","811.9214"
"10.2000","0.3369","818.6760"
"10.3000","0.3401","824.5941"
"10.4000","0.3434","830.7881"
"10.5000","0.3465","835.6298"
"10.6000","0.3500","842.3811"
"10.7000","0.3534","848.7092"
"10.8000","0.3567","854.6769"
"10.9000","0.3602","861.1858"
"11.0000","0.3635","867.3127"
"11.1000","0.3668","873.0818"
"11.2000","0.3699","878.2336"
"11.3000","0.3733","884.3497"
"11.4000","0.3767","890.2912"
"11.5000","0.3800","896.0058"
"11.6000","0.3835","902.6752"
"11.7000","0.3868","907.9528"
"11.8000","0.3902","913.8507"
"11.9000","0.3933","918.7780"
"12.0000","0.3967","924.9180"
"12.1000","0.4000","930.3354"
"12.2000","0.4032","935.4716"
"12.3000","0.4068","942.0350"
"12.4000","0.4101","947.3234"
"12.5000","0.4135","953.1318"
