
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1242"
"0.1000","0.0008","0.9208"
"0.2000","0.0026","2.8153"
"0.3000","0.0076","7.2469"
"0.4000","0.0112","9.9125"
"0.5000","0.0144","11.9628"
"0.6000","0.0177","13.6586"
"0.7000","0.0210","15.4865"
"0.8000","0.0241","17.4759"
"0.9000","0.0278","19.0675"
"1.0000","0.0311","20.4766"
"1.1000","0.0344","21.4600"
"1.2000","0.0379","23.1797"
"1.3000","0.0410","23.9079"
"1.4000","0.0444","25.6351"
"1.5000","0.0475","26.0546"
"1.6000","0.0510","27.4389"
"1.7000","0.0544","28.7058"
"1.8000","0.0577","29.8607"
"1.9000","0.0612","31.0110"
"2.0000","0.0644","31.3756"
"2.1000","0.0678","31.9123"
"2.2000","0.0709","32.3434"
"2.3000","0.0743","32.4494"
"2.4000","0.0777","32.4097"
"2.5000","0.0809","32.5895"
"2.6000","0.0845","32.7844"
"2.7000","0.0878","32.9841"
"2.8000","0.0912","33.1721"
"2.9000","0.0943","33.3508"
"3.0000","0.0977","33.4804"
"3.1000","0.1010","33.7675"
"3.2000","0.1042","33.5576"
"3.3000","0.1078","33.8418"
"3.4000","0.1111","34.0143"
"3.5000","0.1145","33.9637"
"3.6000","0.1178","34.0229"
"3.7000","0.1210","34.1107"
"3.8000","0.1243","33.8356"
"3.9000","0.1275","33.8792"
"4.0000","0.1311","33.9895"
"4.1000","0.1344","34.0282"
"4.2000","0.1378","33.9201"
"4.3000","0.1411","33.9480"
"4.4000","0.1445","34.1048"
"4.5000","0.1478","33.8626"
"4.6000","0.1509","33.9123"
"4.7000","0.1543","34.0111"
"4.8000","0.1577","33.8779"
"4.9000","0.1609","34.0609"
"5.0000","0.1645","33.9275"
"5.1000","0.1678","33.9331"
"5.2000","0.1712","34.0330"
"5.3000","0.1742","33.9109"
"5.4000","0.1776","33.9939"
"5.5000","0.1810","34.1048"
"5.6000","0.1842","33.9866"
"5.7000","0.1878","34.0585"
"5.8000","0.1912","34.0212"
"5.9000","0.1944","34.1668"
"6.0000","0.1977","33.9686"
"6.1000","0.2010","33.8151"
"6.2000","0.2044","33.9999"
"6.3000","0.2075","34.0496"
"6.4000","0.2111","33.9387"
"6.5000","0.2145","33.9333"
"6.6000","0.2178","34.0544"
"6.7000","0.2210","33.9641"
"6.8000","0.2244","34.0952"
"6.9000","0.2277","33.9776"
"7.0000","0.2308","34.0750"
"7.1000","0.2344","34.2551"
"7.2000","0.2377","34.0985"
"7.3000","0.2411","34.1734"
"7.4000","0.2445","34.3818"
"7.5000","0.2477","34.4306"
"7.6000","0.2511","34.4422"
"7.7000","0.2542","34.6003"
"7.8000","0.2577","34.6058"
"7.9000","0.2611","34.5601"
"8.0000","0.2643","34.4701"
"8.1000","0.2678","34.7243"
"8.2000","0.2711","34.6867"
"8.3000","0.2745","34.8891"
"8.4000","0.2776","34.6149"
"8.5000","0.2809","34.5368"
"8.6000","0.2844","34.7149"
"8.7000","0.2876","34.6752"
"8.8000","0.2912","34.7211"
"8.9000","0.2945","34.6821"
"9.0000","0.2979","34.7137"
"9.1000","0.3009","34.7360"
"9.2000","0.3042","34.7959"
"9.3000","0.3077","34.7122"
"9.4000","0.3108","34.5037"
"9.5000","0.3145","34.7235"
"9.6000","0.3178","34.6645"
"9.7000","0.3212","34.8069"
"9.8000","0.3245","34.7348"
"9.9000","0.3276","34.6174"
"10.0000","0.3311","34.7978"
"10.1000","0.3341","34.6722"
"10.2000","0.3377","34.7371"
"10.3000","0.3411","34.8119"
"10.4000","0.3445","34.8109"
"10.5000","0.3478","34.7734"
"10.6000","0.3511","34.7842"
"10.7000","0.3544","34.7802"
"10.8000","0.3575","34.8283"
"10.9000","0.3610","34.8336"
"11.0000","0.3643","34.7135"
"11.1000","0.3677","34.7166"
"11.2000","0.3712","34.6985"
"11.3000","0.3744","34.8498"
"11.4000","0.3779","34.6876"
"11.5000","0.3809","34.7472"
"11.6000","0.3843","34.9488"
"11.7000","0.3876","34.9005"
"11.8000","0.3909","35.0707"
"11.9000","0.3945","35.1647"
"12.0000","0.3978","34.7328"
"12.1000","0.4011","34.8416"
"12.2000","0.4044","34.8724"
"12.3000","0.4076","34.7413"
"12.4000","0.4110","34.8708"
"12.5000","0.4141","35.0526"
"12.6000","0.4177","34.9613"
"12.7000","0.4211","35.4673"
"12.8000","0.4244","36.0152"
"12.9000","0.4278","36.7283"
"13.0000","0.4311","37.8838"
"13.1000","0.4344","38.7427"
"13.2000","0.4375","39.8216"
"13.3000","0.4410","41.1290"
"13.4000","0.4444","42.3483"
"13.5000","0.4477","43.1001"
"13.6000","0.4512","44.4951"
"13.7000","0.4544","45.8293"
"13.8000","0.4578","47.0775"
"13.9000","0.4608","48.2451"
"14.0000","0.4644","49.6565"
"14.1000","0.4677","51.1126"
"14.2000","0.4710","52.4224"
