Time,Displacement,Force
(s),(mm),(N)
0,0,0.015
22.75,1.8904,14.6153
23.25,1.9321,29.5356
23.5,1.9528,38.4335
28.5,2.3697,54.603
28.75,2.3904,69.2212
29,2.4111,80.261
29.25,2.4321,92.1252
29.5,2.4529,103.9145
29.75,2.4737,110.2561
31.5,2.6195,124.6605
31.75,2.6402,165.1346
32,2.6611,208.1004
32.25,2.6821,253.7093
32.5,2.7029,301.2838
32.75,2.7237,350.3655
33,2.7445,401.5141
33.25,2.7653,455.4754
33.5,2.7862,511.8872
33.75,2.8071,570.4386
34,2.8279,630.633
34.25,2.8486,691.6984
34.5,2.8694,754.6766
34.75,2.8904,820.2811
35,2.9113,887.3074
35.25,2.932,954.5963
35.5,2.9529,1023.7375
35.75,2.9736,1094.1495
36,2.9944,1167.2817
36.25,3.0154,1242.9542
36.5,3.0362,1319.4817
36.75,3.057,1398.4398
37,3.0778,1478.9238
37.25,3.0985,1562.2446
37.5,3.1195,1651.5519
37.75,3.1405,1744.3341
38,3.1612,1839.1815
38.25,3.182,1939.1539
38.5,3.2028,2043.9274
38.75,3.2236,2152.7476
39,3.2446,2267.3872
39.25,3.2654,2386.1353
39.5,3.2862,2507.592
39.75,3.307,2632.9104
40,3.3278,2762.0188
40.25,3.3486,2894.7681
40.5,3.3697,3033.0913
40.75,3.3904,3169.2249
41,3.4111,3307.511
41.25,3.432,3450.9343
41.5,3.4529,3594.6174
41.75,3.4737,3740.5315
42,3.4946,3887.1814
42.25,3.5154,4031.5747
42.5,3.5361,4176.2783
42.75,3.557,4322.5171
43,3.5779,4469.228
43.25,3.5988,4615.3052
43.5,3.6196,4760.4946
43.75,3.6403,4901.9834
44,3.6611,5045.8091
44.25,3.682,5188.957
44.5,3.7029,5330.4805
44.75,3.7237,5468.1631
45,3.7445,5602.8354
45.25,3.7652,5733.1934
45.5,3.7861,5863.1855
45.75,3.8071,5992.3696
46,3.8279,6117.1411
46.25,3.8487,6237.5591
46.5,3.8694,6352.9351
46.75,3.8903,6468.6919
47,3.9112,6583.1685
47.25,3.9321,6694.4414
47.5,3.9529,6799.9521
47.75,3.9737,6904.2856
48,3.9945,7003.5039
48.25,4.0153,7101.4233
48.5,4.0363,7200.9551
48.75,4.0572,7294.894
49,4.0778,7383.2666
49.25,4.0986,7468.5571
49.5,4.1195,7554.3169
49.75,4.1404,7638.7891
50,4.1613,7720.1982
50.25,4.1821,7796.5552
50.5,4.2028,7870.8501
50.75,4.2236,7941.9746
51,4.2445,8012.8247
51.25,4.2654,8083.4551
51.5,4.2862,8148.6548
51.75,4.307,8210.9951
52,4.3277,8269.751
52.25,4.3486,8330.1289
52.5,4.3696,8389.6699
52.75,4.3904,8444.8584
53,4.4112,8496.2744
53.25,4.432,8545.6963
53.5,4.4527,8593.0654
53.75,4.4737,8642.8467
54,4.4946,8689.0811
54.25,4.5154,8733.5322
54.5,4.5362,8772.9727
54.75,4.5569,8811.3691
55,4.5779,8851.8301
55.25,4.5988,8891.7676
55.5,4.6196,8925.8809
55.75,4.6404,8959.3896
56,4.6611,8989.9121
56.25,4.6819,9021.9512
56.5,4.7029,9054.7236
56.75,4.7237,9083.9443
57,4.7446,9112.7432
57.25,4.7653,9136.9219
57.5,4.786,9160.1055
57.75,4.807,9188.8271
58,4.828,9215.5264
58.25,4.8487,9236.2314
58.5,4.8695,9257.9619
58.75,4.8903,9277.6172
59,4.9111,9297.5518
59.25,4.9321,9320.3076
59.5,4.9529,9340.3848
59.75,4.9737,9358.0957
60,4.9944,9375.2344
60.25,5.0153,9392.2227
60.5,5.0362,9410.167
60.75,5.0572,9431.2988
61,5.0779,9444.2539
61.25,5.0986,9457.0703
61.5,5.1195,9473.6562
61.75,5.1403,9488.6055
62,5.1612,9504.9717
62.25,5.1822,9521.4082
62.5,5.2029,9532.8154
62.75,5.2236,9543.2041
63,5.2445,9557.8916
63.25,5.2654,9572.8037
63.5,5.2863,9587.123
63.75,5.3071,9598.8857
64,5.3278,9607.5322
64.25,5.3486,9620.1123
64.5,5.3695,9633.3232
64.75,5.3904,9645.6738
65,5.4113,9659.0312
65.25,5.432,9667.749
65.5,5.4528,9677.2314
65.75,5.4736,9687.2676
66,5.4946,9702.3926
66.25,5.5155,9713.9844
66.5,5.5362,9723.9463
66.75,5.557,9731.4414
67,5.5778,9740.5752
67.25,5.5988,9753.7295
67.5,5.6197,9765.249
67.75,5.6404,9773.334
68,5.6612,9781.3691
68.25,5.682,9790.1475
68.5,5.7028,9798.3105
68.75,5.7238,9811.5273
69,5.7447,9821.2236
69.25,5.7654,9828.2412
69.5,5.7861,9833.5479
69.75,5.807,9843.9219
70,5.8279,9854.1055
70.25,5.8488,9863.0781
70.5,5.8695,9868.2295
70.75,5.8903,9875.4795
71,5.9111,9881.4404
71.25,5.932,9889.3857
71.5,5.953,9900.8184
71.75,5.9738,9906.2354
72,5.9945,9911.4385
72.25,6.0152,9914.5068
72.5,6.0361,9922.1904
72.75,6.0571,9931.4307
73,6.078,9937.7461
73.25,6.0987,9941.2754
73.5,6.1195,9944.2129
73.75,6.1403,9947.5625
74,6.1612,9953.8916
74.25,6.1821,9958.6289
74.5,6.203,9963.0908
74.75,6.2237,9963.8203
75,6.2444,9963.8164
75.25,6.2654,9968.6055
75.5,6.2863,9973.1729
75.75,6.3071,9972.6328
76,6.3279,9972.1621
76.25,6.3486,9969.7031
