
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1528"
"0.2500","0.0152","8.8539"
"0.5000","0.0362","22.0938"
"0.7500","0.0571","38.1243"
"1.0000","0.0779","58.9616"
"1.2500","0.0986","86.5847"
"1.5000","0.1194","122.5257"
"1.7500","0.1403","164.2457"
"2.0000","0.1612","210.7140"
"2.2500","0.1821","261.5830"
"2.5000","0.2029","316.2696"
"2.7500","0.2236","374.8810"
"3.0000","0.2444","439.1179"
"3.2500","0.2654","509.1414"
"3.5000","0.2863","584.0657"
"3.7500","0.3071","662.6907"
"4.0000","0.3278","744.7933"
"4.2500","0.3486","830.5390"
"4.5000","0.3695","921.1310"
"4.7500","0.3904","1015.3217"
"5.0000","0.4112","1112.7885"
"5.2500","0.4321","1214.1311"
"5.5000","0.4528","1318.7632"
"5.7500","0.4736","1427.8872"
"6.0000","0.4946","1543.6161"
"6.2500","0.5154","1663.4105"
"6.5000","0.5362","1787.6415"
"6.7500","0.5569","1917.1167"
"7.0000","0.5778","2052.9341"
"7.2500","0.5987","2195.3210"
"7.5000","0.6196","2342.7356"
"7.7500","0.6404","2492.6929"
"8.0000","0.6612","2646.8167"
"8.2500","0.6819","2806.1345"
"8.5000","0.7028","2971.3372"
"8.7500","0.7238","3146.7104"
"9.0000","0.7446","3323.2632"
"9.2500","0.7654","3504.7207"
"9.5000","0.7861","3686.4626"
"9.7500","0.8069","3872.8672"
"10.0000","0.8279","4063.1208"
"10.2500","0.8488","4251.9390"
"10.5000","0.8696","4437.7026"
"10.7500","0.8903","4621.3247"
"11.0000","0.9111","4801.3799"
"11.2500","0.9320","4980.5508"
"11.5000","0.9529","5159.8643"
"11.7500","0.9738","5333.7148"
"12.0000","0.9945","5501.9683"
"12.2500","1.0152","5665.4058"
"12.5000","1.0361","5829.6821"
"12.7500","1.0571","5993.0737"
"13.0000","1.0779","6149.6846"
"13.2500","1.0987","6301.9956"
"13.5000","1.1194","6450.1558"
"13.7500","1.1403","6597.3521"
"14.0000","1.1612","6742.3325"
"14.2500","1.1820","6884.8457"
"14.5000","1.2029","7024.1348"
"14.7500","1.2237","7157.9624"
"15.0000","1.2444","7285.9639"
"15.2500","1.2653","7417.1997"
"15.5000","1.2863","7545.7686"
"15.7500","1.3071","7668.3975"
"16.0000","1.3279","7787.7246"
"16.2500","1.3486","7902.2324"
"16.5000","1.3694","8015.5498"
"16.7500","1.3904","8127.7646"
"17.0000","1.4113","8237.2461"
"17.2500","1.4320","8340.0322"
"17.5000","1.4528","8441.6270"
"17.7500","1.4735","8536.0303"
"18.0000","1.4944","8632.0146"
"18.2500","1.5156","8731.1318"
"18.5000","1.5362","8816.2422"
"18.7500","1.5569","8900.5908"
"19.0000","1.5778","8985.1553"
"19.2500","1.5986","9064.9922"
"19.5000","1.6195","9145.2959"
"19.7500","1.6405","9224.9570"
"20.0000","1.6612","9295.4102"
"20.2500","1.6819","9364.5898"
"20.5000","1.7028","9424.4365"
"20.7500","1.7236","9489.8232"
"21.0000","1.7446","9557.1836"
"21.2500","1.7655","9618.2461"
"21.5000","1.7861","9671.5977"
"21.7500","1.8069","9728.6377"
"22.0000","1.8278","9783.1426"
"22.2500","1.8487","9838.3965"
"22.5000","1.8696","9889.6084"
"22.7500","1.8904","9937.7070"
"23.0000","1.9111","9980.3682"
"23.2500","1.9319","10021.6270"
"23.5000","1.9529","10066.8262"
"23.7500","1.9738","10109.9463"
"24.0000","1.9946","10148.3164"
"24.2500","2.0153","10182.3154"
"24.5000","2.0361","10216.5791"
"24.7500","2.0570","10252.6963"
"25.0000","2.0779","10286.8105"
"25.2500","2.0987","10318.0342"
"25.5000","2.1196","10348.1016"
"25.7500","2.1403","10372.8389"
"26.0000","2.1610","10397.9639"
"26.2500","2.1821","10428.2217"
"26.5000","2.2030","10454.9941"
"26.7500","2.2237","10475.4951"
"27.0000","2.2445","10484.9307"
"27.1600","2.2579","10498.5381"

