
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0042"
"0.0500","0.0001","-0.0024"
"0.1000","0.0008","-0.0078"
"0.1500","0.0011","-0.0101"
"0.2000","0.0029","-0.0005"
"0.2500","0.0058","-0.0072"
"0.3000","0.0078","0.0139"
"0.3500","0.0091","0.0248"
"0.4000","0.0111","0.0057"
"0.4500","0.0128","-0.0041"
"0.5000","0.0144","0.0173"
"0.5500","0.0162","0.0088"
"0.6000","0.0177","0.0129"
"0.6500","0.0195","-0.0024"
"0.7000","0.0209","0.0229"
"0.7500","0.0229","0.0221"
"0.8000","0.0244","0.0066"
"0.8500","0.0261","0.0200"
"0.9000","0.0278","0.0427"
"0.9500","0.0295","0.0090"
"1.0000","0.0311","0.0217"
"1.0500","0.0325","0.0157"
"1.1000","0.0345","0.0338"
"1.1500","0.0360","0.0524"
"1.2000","0.0377","0.0437"
"1.2500","0.0395","0.0283"
"1.3000","0.0412","0.0297"
"1.3500","0.0427","0.0237"
"1.4000","0.0442","0.0392"
"1.4500","0.0462","0.0196"
"1.5000","0.0477","0.0437"
"1.5500","0.0495","0.0186"
"1.6000","0.0511","0.0502"
"1.6500","0.0528","0.0152"
"1.7000","0.0543","0.0170"
"1.7500","0.0560","0.0332"
"1.8000","0.0580","0.0208"
"1.8500","0.0593","0.0360"
"1.9000","0.0611","0.0181"
"1.9500","0.0628","0.0308"
"2.0000","0.0645","0.0466"
"2.0500","0.0660","0.0214"
"2.1000","0.0677","0.0200"
"2.1500","0.0696","0.0264"
"2.2000","0.0710","0.0461"
"2.2500","0.0728","0.0344"
"2.3000","0.0745","0.0269"
"2.3500","0.0763","0.0479"
"2.4000","0.0776","0.0398"
"2.4500","0.0793","0.0218"
"2.5000","0.0812","0.0356"
"2.5500","0.0827","0.0384"
"2.6000","0.0846","0.0374"
"2.6500","0.0861","0.0209"
"2.7000","0.0879","0.0284"
"2.7500","0.0892","0.0531"
"2.8000","0.0910","0.0620"
"2.8500","0.0929","0.0330"
"2.9000","0.0944","0.0466"
"2.9500","0.0962","0.0407"
"3.0000","0.0977","0.0388"
"3.0500","0.0995","0.0313"
"3.1000","0.1009","0.0568"
"3.1500","0.1028","0.0463"
"3.2000","0.1045","0.0413"
"3.2500","0.1060","0.0475"
"3.3000","0.1078","0.0390"
"3.3500","0.1094","0.0440"
"3.4000","0.1112","0.0450"
"3.4500","0.1125","0.0434"
"3.5000","0.1144","0.0329"
"3.5500","0.1162","0.0324"
"3.6000","0.1177","0.0257"
"3.6500","0.1195","0.0428"
"3.7000","0.1212","0.0488"
"3.7500","0.1229","0.0521"
"3.8000","0.1242","0.0370"
"3.8500","0.1261","0.0469"
"3.9000","0.1278","0.0495"
"3.9500","0.1294","0.0416"
"4.0000","0.1312","0.0381"
"4.0500","0.1328","0.0346"
"4.1000","0.1345","0.0377"
"4.1500","0.1359","0.0429"
"4.2000","0.1379","0.0324"
"4.2500","0.1394","0.0511"
"4.3000","0.1411","0.0307"
"4.3500","0.1428","0.0454"
"4.4000","0.1445","0.0498"
"4.4500","0.1461","0.0595"
"4.5000","0.1475","0.0379"
"4.5500","0.1496","0.0358"
"4.6000","0.1510","0.0892"
"4.6500","0.1528","0.0539"
"4.7000","0.1544","0.0543"
"4.7500","0.1562","0.0659"
"4.8000","0.1577","0.0738"
"4.8500","0.1592","0.0514"
"4.9000","0.1612","0.0427"
"4.9500","0.1627","0.0461"
"5.0000","0.1645","0.0494"
"5.0500","0.1661","0.0786"
"5.1000","0.1679","0.0647"
"5.1500","0.1694","0.0767"
"5.2000","0.1709","0.0690"
"5.2500","0.1730","0.0544"
"5.3000","0.1743","0.0580"
"5.3500","0.1762","0.0320"
"5.4000","0.1777","0.0500"
"5.4500","0.1795","0.0752"
"5.5000","0.1810","0.0630"
"5.5500","0.1827","0.0607"
"5.6000","0.1846","0.0641"
"5.6500","0.1860","0.0742"
"5.7000","0.1879","0.0490"
"5.7500","0.1894","0.0656"
"5.8000","0.1913","0.0593"
"5.8500","0.1926","0.0729"
"5.9000","0.1944","0.0481"
"5.9500","0.1963","0.0470"
"6.0000","0.1977","0.0568"
"6.0500","0.1995","0.0530"
"6.1000","0.2010","0.0742"
"6.1500","0.2029","0.0630"
"6.2000","0.2042","0.0846"
"6.2500","0.2060","0.0762"
"6.3000","0.2079","0.0757"
