
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.8506"
"0.1000","0.0005","1.9263"
"0.2000","0.0020","6.5028"
"0.3000","0.0067","23.1172"
"0.4000","0.0104","35.2211"
"0.5000","0.0136","44.8441"
"0.6000","0.0170","54.8084"
"0.7000","0.0204","64.2456"
"0.8000","0.0236","72.6736"
"0.9000","0.0272","80.5334"
"1.0000","0.0305","87.3119"
"1.1000","0.0339","94.3299"
"1.2000","0.0370","100.5082"
"1.3000","0.0404","108.0668"
"1.4000","0.0437","115.6217"
"1.5000","0.0469","123.0292"
"1.6000","0.0505","131.9615"
"1.7000","0.0538","139.7304"
"1.8000","0.0572","148.0119"
"1.9000","0.0604","156.0509"
"2.0000","0.0636","163.9546"
"2.1000","0.0671","172.5101"
"2.2000","0.0702","180.0167"
"2.3000","0.0738","189.3877"
"2.4000","0.0771","197.4655"
"2.5000","0.0805","205.7001"
"2.6000","0.0838","213.7999"
"2.7000","0.0870","221.3938"
"2.8000","0.0905","229.6670"
"2.9000","0.0935","236.7086"
"3.0000","0.0970","244.8837"
"3.1000","0.1005","252.9806"
"3.2000","0.1037","260.0714"
"3.3000","0.1072","268.3214"
"3.4000","0.1104","275.2528"
"3.5000","0.1138","282.7146"
"3.6000","0.1169","289.2333"
"3.7000","0.1203","296.5946"
"3.8000","0.1237","304.0126"
"3.9000","0.1270","311.0236"
"4.0000","0.1306","319.0878"
"4.1000","0.1339","326.1885"
"4.2000","0.1372","333.4483"
"4.3000","0.1403","339.8186"
"4.4000","0.1436","346.7462"
"4.5000","0.1471","354.1093"
"4.6000","0.1502","360.4233"
"4.7000","0.1539","368.5753"
"4.8000","0.1572","375.1414"
"4.9000","0.1606","382.2090"
"5.0000","0.1637","388.3764"
"5.1000","0.1671","394.8838"
"5.2000","0.1703","401.1458"
"5.3000","0.1735","407.0935"
"5.4000","0.1771","414.3908"
"5.5000","0.1805","420.8358"
"5.6000","0.1838","427.2163"
"5.7000","0.1872","433.6084"
"5.8000","0.1905","439.3417"
"5.9000","0.1938","445.2999"
"6.0000","0.1968","450.3719"
"6.1000","0.2004","456.8704"
"6.2000","0.2037","462.5253"
"6.3000","0.2071","468.5019"
"6.4000","0.2106","474.7624"
"6.5000","0.2139","480.2315"
"6.6000","0.2172","485.8117"
"6.7000","0.2203","490.8372"
"6.8000","0.2237","496.6302"
"6.9000","0.2271","502.7647"
"7.0000","0.2302","507.9565"
"7.1000","0.2338","514.7740"
"7.2000","0.2372","520.6434"
"7.3000","0.2405","526.4186"
"7.4000","0.2437","531.6404"
"7.5000","0.2470","537.2410"
"7.6000","0.2504","542.9668"
"7.7000","0.2536","548.1053"
"7.8000","0.2572","554.6067"
"7.9000","0.2605","560.2277"
"8.0000","0.2638","565.6016"
"8.1000","0.2671","570.9983"
"8.2000","0.2704","575.9910"
"8.3000","0.2738","581.6572"
"8.4000","0.2768","585.9117"
"8.5000","0.2805","592.2747"
"8.6000","0.2838","597.6005"
"8.7000","0.2871","602.6290"
"8.8000","0.2905","608.0394"
"8.9000","0.2937","612.6006"
"9.0000","0.2971","617.8893"
"9.1000","0.3002","622.2863"
"9.2000","0.3037","627.6252"
"9.3000","0.3071","632.8528"
"9.4000","0.3104","637.7996"
"9.5000","0.3139","643.2219"
"9.6000","0.3171","647.6408"
"9.7000","0.3205","652.6103"
"9.8000","0.3235","656.4813"
"9.9000","0.3271","661.7520"
"10.0000","0.3304","666.5418"
"10.1000","0.3337","670.8443"
"10.2000","0.3372","676.3588"
"10.3000","0.3405","680.6825"
"10.4000","0.3439","685.3398"
"10.5000","0.3470","689.2213"
"10.6000","0.3503","693.6075"
"10.7000","0.3537","698.3165"
"10.8000","0.3569","702.0809"
"10.9000","0.3605","707.5936"
"11.0000","0.3638","712.0139"
