
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0046"
"0.0500","0.0001","0.0052"
"0.1000","0.0007","0.0401"
"0.1500","0.0010","0.0126"
"0.2000","0.0025","0.0199"
"0.2500","0.0053","0.0216"
"0.3000","0.0073","0.0096"
"0.3500","0.0090","0.0245"
"0.4000","0.0109","0.0067"
"0.4500","0.0123","-0.0113"
"0.5000","0.0142","0.0072"
"0.5500","0.0158","0.0117"
"0.6000","0.0176","0.0221"
"0.6500","0.0189","-0.0180"
"0.7000","0.0207","0.0239"
"0.7500","0.0226","-0.0021"
"0.8000","0.0241","0.0226"
"0.8500","0.0259","0.0184"
"0.9000","0.0274","0.0223"
"0.9500","0.0293","-0.0075"
"1.0000","0.0306","0.0135"
"1.0500","0.0325","-0.0018"
"1.1000","0.0342","-0.0006"
"1.1500","0.0357","0.0067"
"1.2000","0.0376","0.0052"
"1.2500","0.0391","0.0123"
"1.3000","0.0409","0.0139"
"1.3500","0.0422","0.0066"
"1.4000","0.0443","0.0165"
"1.4500","0.0458","0.0058"
"1.5000","0.0474","0.0132"
"1.5500","0.0492","0.0203"
"1.6000","0.0508","0.0044"
"1.6500","0.0526","-0.0058"
"1.7000","0.0539","0.0329"
"1.7500","0.0560","0.0342"
"1.8000","0.0575","0.0198"
"1.8500","0.0592","-0.0179"
"1.9000","0.0608","0.0225"
"1.9500","0.0625","0.0126"
"2.0000","0.0642","0.0162"
"2.0500","0.0656","0.0272"
"2.1000","0.0676","0.0092"
"2.1500","0.0692","0.0324"
"2.2000","0.0709","0.0356"
"2.2500","0.0724","0.0135"
"2.3000","0.0742","0.0265"
"2.3500","0.0757","0.0099"
"2.4000","0.0772","0.0015"
"2.4500","0.0793","0.0221"
"2.5000","0.0807","0.0129"
"2.5500","0.0826","0.0114"
"2.6000","0.0841","0.0020"
"2.6500","0.0859","0.0177"
"2.7000","0.0874","0.0277"
"2.7500","0.0890","0.0132"
"2.8000","0.0910","0.0156"
"2.8500","0.0924","0.0390"
"2.9000","0.0942","0.0188"
"2.9500","0.0957","0.0358"
"3.0000","0.0977","0.0044"
"3.0500","0.0990","0.0126"
"3.1000","0.1007","0.0149"
"3.1500","0.1026","0.0155"
"3.2000","0.1041","0.0266"
"3.2500","0.1060","0.0044"
"3.3000","0.1074","0.0251"
"3.3500","0.1093","-0.0001"
"3.4000","0.1106","0.0060"
"3.4500","0.1125","0.0062"
"3.5000","0.1143","0.0244"
"3.5500","0.1158","0.0312"
"3.6000","0.1176","0.0195"
"3.6500","0.1191","0.0309"
"3.7000","0.1209","0.0200"
"3.7500","0.1222","0.0358"
"3.8000","0.1242","0.0375"
"3.8500","0.1259","0.0061"
"3.9000","0.1274","0.0473"
"3.9500","0.1292","0.0467"
"4.0000","0.1308","0.0960"
"4.0500","0.1326","0.1464"
"4.1000","0.1339","0.2394"
"4.1500","0.1358","0.4192"
"4.2000","0.1375","0.5947"
"4.2500","0.1391","0.6614"
"4.3000","0.1409","0.7293"
"4.3500","0.1425","0.9642"
"4.4000","0.1442","1.1240"
"4.4500","0.1455","1.5307"
"4.5000","0.1476","2.4515"
"4.5500","0.1491","3.1935"
"4.6000","0.1509","4.1282"
