
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0183"
"0.0500","0.0001","-0.0071"
"0.1000","0.0007","0.0219"
"0.1500","0.0010","0.0098"
"0.2000","0.0021","0.0281"
"0.2500","0.0051","0.0103"
"0.3000","0.0074","0.0382"
"0.3500","0.0089","0.0119"
"0.4000","0.0106","0.0372"
"0.4500","0.0126","0.0505"
"0.5000","0.0140","0.0264"
"0.5500","0.0158","0.0500"
"0.6000","0.0174","0.0340"
"0.6500","0.0192","0.0544"
"0.7000","0.0206","0.0605"
"0.7500","0.0223","0.0527"
"0.8000","0.0242","0.0393"
"0.8500","0.0256","0.0482"
"0.9000","0.0275","0.0449"
"0.9500","0.0291","0.0643"
"1.0000","0.0309","0.0747"
"1.0500","0.0322","0.0467"
"1.1000","0.0340","0.0387"
"1.1500","0.0358","0.0228"
"1.2000","0.0373","0.0683"
"1.2500","0.0392","0.0512"
"1.3000","0.0407","0.0529"
"1.3500","0.0425","0.0389"
"1.4000","0.0439","0.0499"
"1.4500","0.0458","0.0472"
"1.5000","0.0475","0.0525"
"1.5500","0.0490","0.0649"
"1.6000","0.0509","0.0596"
"1.6500","0.0524","0.0440"
"1.7000","0.0542","0.0655"
"1.7500","0.0555","0.0732"
"1.8000","0.0575","0.0599"
"1.8500","0.0591","0.0586"
"1.9000","0.0607","0.0575"
"1.9500","0.0625","0.0822"
"2.0000","0.0641","0.0626"
"2.0500","0.0659","0.0706"
"2.1000","0.0672","0.0541"
"2.1500","0.0692","0.0666"
"2.2000","0.0707","0.0633"
"2.2500","0.0724","0.0703"
"2.3000","0.0741","0.0637"
"2.3500","0.0758","0.0724"
"2.4000","0.0775","0.0594"
"2.4500","0.0788","0.0736"
"2.5000","0.0809","0.0729"
"2.5500","0.0824","0.0717"
"2.6000","0.0842","0.0756"
"2.6500","0.0857","0.0553"
"2.7000","0.0874","0.0757"
"2.7500","0.0890","0.0719"
"2.8000","0.0905","0.0590"
"2.8500","0.0926","0.0779"
"2.9000","0.0941","0.0813"
"2.9500","0.0958","0.0665"
"3.0000","0.0973","0.0994"
"3.0500","0.0991","0.0779"
"3.1000","0.1007","0.0653"
"3.1500","0.1023","0.0895"
"3.2000","0.1042","0.0995"
"3.2500","0.1057","0.0725"
"3.3000","0.1075","0.0923"
"3.3500","0.1090","0.0728"
"3.4000","0.1109","0.0892"
"3.4500","0.1123","0.0779"
"3.5000","0.1139","0.0878"
"3.5500","0.1158","0.0893"
"3.6000","0.1174","0.0856"
"3.6500","0.1193","0.0821"
"3.7000","0.1207","0.0643"
"3.7500","0.1225","0.0823"
"3.8000","0.1239","0.0845"
"3.8500","0.1257","0.0797"
"3.9000","0.1275","0.0839"
"3.9500","0.1291","0.1010"
"4.0000","0.1309","0.0619"
"4.0500","0.1323","0.0599"
"4.1000","0.1341","0.0946"
"4.1500","0.1355","0.0813"
"4.2000","0.1375","0.1042"
"4.2500","0.1391","0.0694"
"4.3000","0.1407","0.0825"
"4.3500","0.1425","0.0821"
"4.4000","0.1441","0.0522"
"4.4500","0.1459","0.0756"
"4.5000","0.1472","0.0788"
"4.5500","0.1491","0.0692"
"4.6000","0.1507","0.0781"
"4.6500","0.1523","0.0738"
"4.7000","0.1542","0.0739"
"4.7500","0.1558","0.0707"
"4.8000","0.1574","0.0689"
"4.8500","0.1588","0.0727"
"4.9000","0.1608","0.0760"
"4.9500","0.1624","0.0776"
"5.0000","0.1641","0.0576"
"5.0500","0.1658","0.0821"
"5.1000","0.1674","0.0798"
"5.1500","0.1690","0.0851"
"5.2000","0.1705","0.0893"
"5.2500","0.1726","0.0736"
"5.3000","0.1741","0.0939"
"5.3500","0.1758","0.0729"
"5.4000","0.1774","0.0815"
"5.4500","0.1791","0.1040"
"5.5000","0.1807","0.0958"
"5.5500","0.1823","0.0803"
"5.6000","0.1842","0.0851"
"5.6500","0.1857","0.0734"
"5.7000","0.1874","0.0944"
"5.7500","0.1891","0.0735"
"5.8000","0.1909","0.0807"
"5.8500","0.1923","0.1033"
"5.9000","0.1938","0.0917"
"5.9500","0.1958","0.0793"
"6.0000","0.1974","0.1000"
"6.0500","0.1992","0.1039"
"6.1000","0.2007","0.0887"
"6.1500","0.2025","0.0946"
"6.2000","0.2040","0.0882"
"6.2500","0.2056","0.1062"
"6.3000","0.2076","0.0897"
"6.3500","0.2090","0.1054"
"6.4000","0.2108","0.0995"
"6.4500","0.2123","0.0845"
"6.5000","0.2142","0.1077"
"6.5500","0.2156","0.0843"
"6.6000","0.2173","0.1010"
"6.6500","0.2192","0.1004"
"6.7000","0.2206","0.1206"
"6.7500","0.2225","0.1087"
"6.8000","0.2241","0.1182"
"6.8500","0.2259","0.1082"
"6.9000","0.2272","0.1139"
"6.9500","0.2290","0.1017"
"7.0000","0.2309","0.1119"
"7.0500","0.2324","0.0866"
"7.1000","0.2342","0.1118"
"7.1500","0.2357","0.1069"
"7.2000","0.2375","0.1009"
"7.2500","0.2388","0.1270"
"7.3000","0.2407","0.1485"
"7.3500","0.2425","0.1259"
"7.4000","0.2441","0.1130"
"7.4500","0.2458","0.1139"
"7.5000","0.2474","0.1073"
"7.5500","0.2492","0.1253"
"7.6000","0.2505","0.1088"
"7.6500","0.2525","0.0861"
"7.7000","0.2541","0.1249"
"7.7500","0.2556","0.1219"
"7.8000","0.2575","0.1149"
"7.8500","0.2591","0.0789"
"7.9000","0.2609","0.0918"
