
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","12.7483"
"0.1000","0.0008","14.6321"
"0.2000","0.0025","19.9857"
"0.3000","0.0076","35.7423"
"0.4000","0.0110","45.7809"
"0.5000","0.0143","55.1498"
"0.6000","0.0175","63.9768"
"0.7000","0.0209","73.5936"
"0.8000","0.0241","82.1540"
"0.9000","0.0277","91.6534"
"1.0000","0.0310","100.3071"
"1.1000","0.0344","108.7228"
"1.2000","0.0376","116.8058"
"1.3000","0.0410","125.0432"
"1.4000","0.0442","132.6375"
"1.5000","0.0473","139.4109"
"1.6000","0.0510","147.6095"
"1.7000","0.0543","154.8167"
"1.8000","0.0576","161.3784"
"1.9000","0.0610","167.2893"
"2.0000","0.0642","172.9016"
"2.1000","0.0677","178.8075"
"2.2000","0.0707","183.8187"
"2.3000","0.0743","189.9508"
"2.4000","0.0776","195.5637"
"2.5000","0.0809","201.0280"
"2.6000","0.0844","207.2590"
"2.7000","0.0876","212.7630"
"2.8000","0.0911","218.8462"
"2.9000","0.0942","224.2902"
"3.0000","0.0975","230.1440"
"3.1000","0.1010","236.7330"
"3.2000","0.1041","242.5196"
"3.3000","0.1077","250.0078"
"3.4000","0.1110","256.3836"
"3.5000","0.1144","263.1703"
"3.6000","0.1175","269.3586"
"3.7000","0.1208","275.7840"
"3.8000","0.1242","282.5626"
"3.9000","0.1274","288.7759"
"4.0000","0.1310","296.1419"
"4.1000","0.1344","302.9439"
"4.2000","0.1377","309.3855"
"4.3000","0.1410","315.7820"
"4.4000","0.1442","321.7706"
"4.5000","0.1476","328.3658"
"4.6000","0.1507","333.8171"
"4.7000","0.1543","340.9868"
"4.8000","0.1576","347.0453"
"4.9000","0.1610","353.4391"
"5.0000","0.1644","359.6998"
"5.1000","0.1677","365.4781"
"5.2000","0.1709","371.2852"
"5.3000","0.1740","376.6151"
"5.4000","0.1775","382.9110"
"5.5000","0.1809","388.8430"
"5.6000","0.1842","394.5699"
"5.7000","0.1878","401.1132"
"5.8000","0.1910","406.5302"
"5.9000","0.1944","412.2062"
"6.0000","0.1974","417.1230"
"6.1000","0.2009","422.8757"
"6.2000","0.2041","428.1541"
"6.3000","0.2075","433.5291"
"6.4000","0.2110","439.6055"
"6.5000","0.2144","445.0413"
"6.6000","0.2177","450.0856"
"6.7000","0.2209","455.0674"
"6.8000","0.2242","460.0234"
"6.9000","0.2276","465.3153"
"7.0000","0.2307","469.7360"
"7.1000","0.2343","475.6519"
"7.2000","0.2377","480.9416"
"7.3000","0.2410","485.8051"
"7.4000","0.2443","490.8533"
"7.5000","0.2476","495.6087"
"7.6000","0.2509","500.5872"
"7.7000","0.2541","504.9227"
"7.8000","0.2576","510.3055"
"7.9000","0.2610","515.5099"
"8.0000","0.2643","520.1683"
"8.1000","0.2677","525.4886"
"8.2000","0.2710","529.9521"
"8.3000","0.2744","534.9510"
"8.4000","0.2773","538.7839"
"8.5000","0.2809","544.2504"
"8.6000","0.2843","548.9238"
"8.7000","0.2875","553.4234"
"8.8000","0.2911","558.9860"
"8.9000","0.2943","563.6306"
"9.0000","0.2977","568.9171"
"9.1000","0.3008","573.5978"
"9.2000","0.3042","578.6973"
"9.3000","0.3076","584.0228"
"9.4000","0.3108","588.8098"
"9.5000","0.3144","594.7280"
"9.6000","0.3177","599.6055"
"9.7000","0.3210","604.6543"
"9.8000","0.3242","609.1258"
"9.9000","0.3275","614.0988"
"10.0000","0.3309","618.9941"
"10.1000","0.3341","623.4454"
"10.2000","0.3377","629.0516"
