
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0848"
"0.0500","0.0001","-0.1514"
"0.1000","0.0006","0.0383"
"0.1500","0.0010","0.0758"
"0.2000","0.0024","0.1109"
"0.2500","0.0050","-0.0344"
"0.3000","0.0072","-0.0092"
"0.3500","0.0089","0.0278"
"0.4000","0.0108","0.2932"
"0.4500","0.0123","-0.0126"
"0.5000","0.0141","-0.0991"
"0.5500","0.0155","0.1207"
"0.6000","0.0174","0.0282"
"0.6500","0.0191","-0.0013"
"0.7000","0.0208","0.0808"
"0.7500","0.0225","-0.0342"
"0.8000","0.0240","0.0006"
"0.8500","0.0257","-0.1521"
"0.9000","0.0272","0.0121"
"0.9500","0.0292","-0.1345"
"1.0000","0.0307","-0.0365"
"1.0500","0.0324","-0.0597"
"1.1000","0.0341","-0.1905"
"1.1500","0.0357","0.1089"
"1.2000","0.0374","-0.2453"
"1.2500","0.0389","-0.0058"
"1.3000","0.0409","-0.1986"
"1.3500","0.0424","-0.0645"
"1.4000","0.0441","0.1411"
"1.4500","0.0458","-0.0466"
"1.5000","0.0475","0.2095"
"1.5500","0.0490","-0.0969"
"1.6000","0.0505","0.0592"
"1.6500","0.0525","-0.1023"
"1.7000","0.0541","0.2121"
"1.7500","0.0558","-0.1045"
"1.8000","0.0574","-0.1371"
"1.8500","0.0591","0.0627"
"1.9000","0.0607","0.0291"
"1.9500","0.0622","-0.0890"
"2.0000","0.0642","0.1561"
"2.0500","0.0656","0.0271"
"2.1000","0.0674","-0.1139"
"2.1500","0.0690","0.0507"
"2.2000","0.0708","0.0413"
"2.2500","0.0723","0.0645"
"2.3000","0.0739","0.1261"
"2.3500","0.0758","0.1259"
"2.4000","0.0773","0.0431"
"2.4500","0.0792","0.2554"
"2.5000","0.0807","0.1816"
"2.5500","0.0825","-0.0227"
"2.6000","0.0839","0.1251"
"2.6500","0.0856","0.1455"
"2.7000","0.0875","-0.0456"
"2.7500","0.0890","0.1771"
"2.8000","0.0908","0.0948"
"2.8500","0.0923","0.0393"
"2.9000","0.0942","0.1402"
"2.9500","0.0956","0.0483"
"3.0000","0.0974","0.0935"
"3.0500","0.0992","-0.0424"
"3.1000","0.1007","0.1449"
"3.1500","0.1025","0.1752"
"3.2000","0.1040","-0.0223"
"3.2500","0.1059","0.1691"
"3.3000","0.1072","0.0551"
"3.3500","0.1091","0.0257"
"3.4000","0.1108","0.1618"
"3.4500","0.1123","0.1580"
"3.5000","0.1142","0.1637"
"3.5500","0.1157","-0.0666"
"3.6000","0.1175","-0.0089"
"3.6500","0.1188","0.0437"
"3.7000","0.1207","0.1066"
"3.7500","0.1224","0.0562"
"3.8000","0.1240","0.0458"
"3.8500","0.1258","-0.0595"
"3.9000","0.1274","0.1856"
"3.9500","0.1292","0.2420"
"4.0000","0.1305","-0.0317"
"4.0500","0.1325","0.1280"
"4.1000","0.1341","-0.0602"
"4.1500","0.1357","0.0102"
"4.2000","0.1374","0.0516"
"4.2500","0.1391","-0.1302"
"4.3000","0.1408","0.0944"
"4.3500","0.1422","0.0810"
"4.4000","0.1442","0.0928"
"4.4500","0.1457","0.0548"
"4.5000","0.1474","0.1554"
"4.5500","0.1491","-0.1317"
"4.6000","0.1508","0.0577"
"4.6500","0.1524","0.0440"
"4.7000","0.1538","-0.0585"
"4.7500","0.1559","-0.0313"
"4.8000","0.1573","0.1448"
"4.8500","0.1591","-0.0759"
"4.9000","0.1607","-0.0504"
"4.9500","0.1625","-0.0283"
"5.0000","0.1641","0.0056"
