
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1016"
"0.2500","0.0162","9.2577"
"0.5000","0.0371","28.4633"
"0.7500","0.0578","55.4413"
"1.0000","0.0786","89.8623"
"1.2500","0.0994","130.5874"
"1.5000","0.1204","177.2456"
"1.7500","0.1413","228.3654"
"2.0000","0.1621","283.2903"
"2.2500","0.1829","342.6452"
"2.5000","0.2036","405.7791"
"2.7500","0.2245","473.3213"
"3.0000","0.2454","544.7834"
"3.2500","0.2662","618.7263"
"3.5000","0.2871","695.6586"
"3.7500","0.3078","773.5534"
"4.0000","0.3286","853.4841"
"4.2500","0.3497","935.8049"
"4.5000","0.3705","1015.8422"
"4.7500","0.3912","1093.7633"
"5.0000","0.4121","1173.9244"
"5.2500","0.4328","1255.6748"
"5.5000","0.4537","1340.2719"
"5.7500","0.4746","1427.0741"
"6.0000","0.4954","1514.4042"
"6.2500","0.5162","1604.9476"
"6.5000","0.5370","1694.6283"
"6.7500","0.5577","1784.2454"
"7.0000","0.5788","1876.1317"
"7.2500","0.5996","1967.1542"
"7.5000","0.6203","2057.5278"
"7.7500","0.6411","2150.3008"
"8.0000","0.6620","2243.9138"
"8.2500","0.6828","2338.8613"
"8.5000","0.7038","2435.7627"
"8.7500","0.7246","2532.8320"
"9.0000","0.7453","2630.6711"
"9.2500","0.7661","2730.9712"
"9.5000","0.7870","2833.4719"
"9.7500","0.8080","2937.8608"
"10.0000","0.8288","3042.3757"
"10.2500","0.8495","3146.2244"
"10.5000","0.8702","3251.6228"
"10.7500","0.8912","3362.4192"
"11.0000","0.9121","3473.8027"
"11.2500","0.9329","3585.5598"
"11.5000","0.9538","3698.7432"
"11.7500","0.9745","3810.5007"
"12.0000","0.9952","3923.2786"
"12.2500","1.0162","4040.3987"
"12.5000","1.0371","4157.6401"
"12.7500","1.0579","4273.0933"
"13.0000","1.0787","4388.0474"
"13.2500","1.0994","4501.0679"
"13.5000","1.1203","4616.6431"
"13.7500","1.1413","4732.6924"
"14.0000","1.1621","4846.0698"
"14.2500","1.1829","4958.7061"
