
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1131"
"0.0500","0.0001","0.0211"
"0.1000","0.0007","-0.0855"
"0.1500","0.0010","0.1540"
"0.2000","0.0024","0.0233"
"0.2500","0.0053","0.1413"
"0.3000","0.0073","-0.0369"
"0.3500","0.0091","0.0812"
"0.4000","0.0107","0.0146"
"0.4500","0.0125","0.0817"
"0.5000","0.0141","0.1676"
"0.5500","0.0159","0.0868"
"0.6000","0.0172","0.1749"
"0.6500","0.0191","0.1454"
"0.7000","0.0208","0.1617"
"0.7500","0.0224","0.1109"
"0.8000","0.0242","0.2764"
"0.8500","0.0258","0.3579"
"0.9000","0.0275","0.0964"
"0.9500","0.0289","0.1368"
"1.0000","0.0309","0.3418"
"1.0500","0.0325","0.1974"
"1.1000","0.0342","0.2974"
"1.1500","0.0358","0.3600"
"1.2000","0.0374","0.3340"
"1.2500","0.0391","0.2986"
"1.3000","0.0406","0.1220"
"1.3500","0.0426","0.2519"
"1.4000","0.0441","0.4537"
"1.4500","0.0458","0.3902"
"1.5000","0.0475","0.3038"
"1.5500","0.0492","0.1140"
"1.6000","0.0508","0.2030"
"1.6500","0.0523","0.1804"
"1.7000","0.0542","0.2235"
"1.7500","0.0558","0.3838"
"1.8000","0.0575","0.3171"
"1.8500","0.0592","0.4362"
"1.9000","0.0609","0.4507"
"1.9500","0.0624","0.5667"
"2.0000","0.0639","0.5424"
"2.0500","0.0659","0.3950"
"2.1000","0.0674","0.4672"
"2.1500","0.0692","0.4257"
"2.2000","0.0708","0.5584"
"2.2500","0.0725","0.5426"
"2.3000","0.0740","0.5978"
"2.3500","0.0756","0.3790"
"2.4000","0.0776","0.6015"
"2.4500","0.0791","0.5385"
"2.5000","0.0808","0.5820"
"2.5500","0.0824","0.4233"
"2.6000","0.0842","0.8408"
"2.6500","0.0856","0.7182"
"2.7000","0.0873","0.7344"
"2.7500","0.0892","0.6801"
"2.8000","0.0907","0.7432"
"2.8500","0.0925","0.8238"
"2.9000","0.0941","0.8063"
"2.9500","0.0960","0.6588"
"3.0000","0.0973","0.9986"
"3.0500","0.0990","1.1576"
"3.1000","0.1009","1.1339"
"3.1500","0.1024","1.3136"
"3.2000","0.1042","1.4659"
"3.2500","0.1058","1.7154"
"3.3000","0.1076","1.8513"
"3.3500","0.1089","1.7755"
"3.4000","0.1107","2.1914"
"3.4500","0.1126","2.3670"
"3.5000","0.1141","2.4920"
"3.5500","0.1159","2.5386"
"3.6000","0.1174","2.6699"
"3.6500","0.1193","2.7113"
"3.7000","0.1206","2.6419"
"3.7500","0.1225","2.5602"
"3.8000","0.1242","2.5589"
"3.8500","0.1257","2.8027"
"3.9000","0.1275","2.8738"
"3.9500","0.1291","2.8917"
"4.0000","0.1309","2.8713"
"4.0500","0.1322","2.7350"
"4.1000","0.1342","2.7251"
"4.1500","0.1358","2.6494"
"4.2000","0.1374","2.9483"
"4.2500","0.1392","3.0063"
"4.3000","0.1408","2.8506"
"4.3500","0.1425","2.8352"
"4.4000","0.1438","2.9393"
"4.4500","0.1459","2.8276"
"4.5000","0.1474","2.9407"
