
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0242"
"0.0500","0.0001","-0.0011"
"0.1000","0.0005","0.0347"
"0.1500","0.0010","0.0210"
"0.2000","0.0019","0.0819"
"0.2500","0.0045","0.0350"
"0.3000","0.0070","0.0578"
"0.3500","0.0088","0.0547"
"0.4000","0.0104","0.0557"
"0.4500","0.0121","0.0525"
"0.5000","0.0138","0.0315"
"0.5500","0.0152","0.0516"
"0.6000","0.0172","0.0421"
"0.6500","0.0187","0.0568"
"0.7000","0.0205","0.0580"
"0.7500","0.0221","0.0496"
"0.8000","0.0238","0.0276"
"0.8500","0.0253","0.0396"
"0.9000","0.0269","0.0452"
"0.9500","0.0289","0.0351"
"1.0000","0.0304","0.0463"
"1.0500","0.0322","0.0472"
"1.1000","0.0337","0.0547"
"1.1500","0.0355","0.0470"
"1.2000","0.0370","0.0514"
"1.2500","0.0386","0.0630"
"1.3000","0.0405","0.0514"
"1.3500","0.0420","0.0436"
"1.4000","0.0438","0.0615"
"1.4500","0.0454","0.0432"
"1.5000","0.0472","0.0293"
"1.5500","0.0486","0.0156"
"1.6000","0.0503","0.0418"
"1.6500","0.0522","0.0452"
"1.7000","0.0537","0.0266"
"1.7500","0.0556","0.0212"
"1.8000","0.0571","0.0330"
"1.8500","0.0588","0.0275"
"1.9000","0.0602","0.0407"
"1.9500","0.0621","0.0223"
"2.0000","0.0639","0.0450"
"2.0500","0.0653","0.0347"
"2.1000","0.0672","0.0305"
"2.1500","0.0687","0.0459"
"2.2000","0.0705","0.0419"
"2.2500","0.0719","0.0440"
"2.3000","0.0738","0.0619"
"2.3500","0.0755","0.0355"
"2.4000","0.0771","0.0454"
"2.4500","0.0789","0.0653"
"2.5000","0.0805","0.0686"
"2.5500","0.0822","0.0654"
"2.6000","0.0835","0.0732"
"2.6500","0.0854","0.0844"
"2.7000","0.0871","0.0859"
"2.7500","0.0888","0.0619"
"2.8000","0.0905","0.0754"
"2.8500","0.0921","0.0945"
"2.9000","0.0938","0.0898"
"2.9500","0.0952","0.0842"
"3.0000","0.0971","0.0697"
"3.0500","0.0988","0.0828"
"3.1000","0.1004","0.1116"
"3.1500","0.1021","0.0919"
"3.2000","0.1037","0.0981"
"3.2500","0.1055","0.1058"
"3.3000","0.1069","0.1110"
"3.3500","0.1088","0.1362"
"3.4000","0.1104","0.1274"
"3.4500","0.1121","0.1138"
"3.5000","0.1138","0.1160"
"3.5500","0.1155","0.1235"
"3.6000","0.1171","0.1286"
"3.6500","0.1185","0.1524"
"3.7000","0.1205","0.1505"
"3.7500","0.1221","0.1411"
"3.8000","0.1238","0.1449"
"3.8500","0.1254","0.1552"
"3.9000","0.1271","0.1530"
"3.9500","0.1287","0.1743"
"4.0000","0.1302","0.2008"
"4.0500","0.1322","0.1840"
"4.1000","0.1337","0.2072"
"4.1500","0.1355","0.3751"
"4.2000","0.1371","0.6345"
"4.2500","0.1388","1.0071"
"4.3000","0.1404","1.5053"
"4.3500","0.1419","2.3313"
"4.4000","0.1439","3.5259"
"4.4500","0.1453","4.4408"
"4.5000","0.1471","5.8028"
"4.5500","0.1488","6.9591"
"4.6000","0.1505","8.4144"
"4.6500","0.1520","9.5181"
"4.7000","0.1536","10.9343"
"4.7500","0.1556","12.7618"
"4.8000","0.1570","14.0070"
"4.8500","0.1588","15.8570"
"4.9000","0.1604","17.3590"
"4.9500","0.1622","19.3370"
"5.0000","0.1636","20.7097"
"5.0500","0.1653","22.6244"
"5.1000","0.1672","24.7846"
"5.1500","0.1686","26.3636"
"5.2000","0.1705","28.5687"
"5.2500","0.1720","30.3404"
"5.3000","0.1739","32.6426"
"5.3500","0.1752","34.1606"
"5.4000","0.1771","36.4962"
"5.4500","0.1789","38.7496"
"5.5000","0.1803","40.5296"
