
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-28.0088"
"0.2500","0.0153","288.5128"
"0.5000","0.0363","589.0164"
"0.7500","0.0570","802.2188"
"1.0000","0.0780","1002.4838"
"1.2500","0.0989","1194.4923"
"1.5000","0.1197","1380.4437"
"1.7500","0.1405","1564.4515"
"2.0000","0.1612","1745.5850"
"2.2500","0.1821","1929.9550"
"2.5000","0.2030","2113.8203"
"2.7500","0.2238","2294.9663"
"3.0000","0.2447","2476.0012"
"3.2500","0.2655","2655.0278"
"3.5000","0.2862","2831.8652"
"3.7500","0.3071","3010.2095"
"4.0000","0.3281","3189.4597"
"4.2500","0.3489","3365.2117"
"4.5000","0.3696","3536.1763"
"4.7500","0.3904","3706.8040"
"5.0000","0.4113","3879.7219"
"5.2500","0.4322","4052.2068"
"5.5000","0.4531","4220.6006"
"5.7500","0.4738","4383.9121"
"6.0000","0.4946","4546.4639"
"6.2500","0.5154","4706.2549"
"6.5000","0.5363","4865.1313"
"6.7500","0.5573","5025.1362"
"7.0000","0.5781","5178.6079"
"7.2500","0.5987","5325.7051"
"7.5000","0.6195","5473.1069"
"7.7500","0.6405","5621.0542"
"8.0000","0.6614","5767.6284"
"8.2500","0.6822","5907.2769"
"8.5000","0.7030","6043.6929"
"8.7500","0.7237","6177.5171"
"9.0000","0.7446","6308.4634"
"9.2500","0.7654","6439.0654"
"9.5000","0.7864","6568.1646"
"9.7500","0.8072","6690.2495"
"10.0000","0.8279","6807.2729"
"10.2500","0.8487","6924.6909"
"10.5000","0.8696","7039.7036"
"10.7500","0.8906","7154.8687"
"11.0000","0.9114","7261.9297"
"11.2500","0.9321","7364.4272"
"11.5000","0.9529","7466.3179"
"11.7500","0.9738","7565.5371"
"12.0000","0.9947","7663.6465"
"12.2500","1.0156","7759.8745"
"12.5000","1.0364","7851.0352"
"12.7500","1.0570","7932.7739"
"13.0000","1.0779","8019.0601"
"13.2500","1.0989","8107.3584"
"13.5000","1.1198","8188.5005"
"13.7500","1.1405","8264.7285"
"14.0000","1.1613","8340.1475"
"14.2500","1.1821","8410.0186"
"14.5000","1.2029","8481.4766"
"14.7500","1.2239","8554.0820"
"15.0000","1.2447","8618.6514"
"15.2500","1.2655","8682.4990"
"15.5000","1.2862","8740.5742"
"15.7500","1.3070","8798.1943"
"16.0000","1.3280","8862.2236"
"16.2500","1.3490","8920.1045"
"16.5000","1.3696","8969.7090"
"16.7500","1.3904","9021.0557"
"17.0000","1.4112","9068.6992"
"17.2500","1.4321","9119.3701"
"17.5000","1.4531","9168.3047"
