
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0760"
"0.0500","0.0001","-0.0765"
"0.1000","0.0006","-0.0297"
"0.1500","0.0012","-0.0972"
"0.2000","0.0023","-0.0370"
"0.2500","0.0045","0.0426"
"0.3000","0.0069","-0.0803"
"0.3500","0.0087","0.1183"
"0.4000","0.0106","-0.0566"
"0.4500","0.0120","-0.1952"
"0.5000","0.0140","-0.0146"
"0.5500","0.0155","0.1831"
"0.6000","0.0173","0.1081"
"0.6500","0.0188","0.3625"
"0.7000","0.0206","-0.0018"
"0.7500","0.0222","-0.0858"
"0.8000","0.0236","0.0806"
"0.8500","0.0257","0.1422"
"0.9000","0.0272","0.2027"
"0.9500","0.0290","-0.0385"
"1.0000","0.0305","0.0723"
"1.0500","0.0322","0.1846"
"1.1000","0.0338","-0.0843"
"1.1500","0.0354","0.2785"
"1.2000","0.0374","0.0377"
"1.2500","0.0389","0.2419"
"1.3000","0.0407","0.2154"
"1.3500","0.0421","0.2015"
"1.4000","0.0439","0.0855"
"1.4500","0.0454","0.2182"
"1.5000","0.0471","0.3452"
"1.5500","0.0490","0.1658"
"1.6000","0.0504","0.1096"
"1.6500","0.0523","0.2181"
"1.7000","0.0538","0.3282"
"1.7500","0.0557","0.2474"
"1.8000","0.0570","0.4654"
"1.8500","0.0588","0.2598"
"1.9000","0.0606","0.3006"
"1.9500","0.0621","0.4261"
"2.0000","0.0640","0.4334"
"2.0500","0.0655","0.2843"
"2.1000","0.0673","0.4268"
"2.1500","0.0687","0.5470"
"2.2000","0.0705","0.6938"
"2.2500","0.0723","0.7676"
"2.3000","0.0738","0.8159"
"2.3500","0.0757","0.8108"
"2.4000","0.0772","0.8949"
"2.4500","0.0789","1.1907"
"2.5000","0.0803","0.9564"
"2.5500","0.0823","1.3459"
"2.6000","0.0839","1.4178"
"2.6500","0.0855","1.6109"
"2.7000","0.0873","2.0411"
"2.7500","0.0888","2.2209"
"2.8000","0.0906","2.4693"
"2.8500","0.0920","2.4229"
"2.9000","0.0940","2.6130"
"2.9500","0.0956","2.7201"
"3.0000","0.0972","2.7113"
"3.0500","0.0989","2.6363"
"3.1000","0.1006","2.8235"
"3.1500","0.1023","2.7588"
"3.2000","0.1036","2.7235"
"3.2500","0.1056","2.8553"
"3.3000","0.1072","2.9090"
"3.3500","0.1089","2.9148"
"3.4000","0.1106","2.9857"
"3.4500","0.1122","3.0692"
"3.5000","0.1139","3.0676"
"3.5500","0.1153","2.9108"
"3.6000","0.1173","2.9619"
"3.6500","0.1189","2.7642"
"3.7000","0.1205","2.8093"
"3.7500","0.1222","2.7286"
"3.8000","0.1239","2.8249"
"3.8500","0.1255","2.7215"
"3.9000","0.1270","2.8858"
"3.9500","0.1290","2.9257"
"4.0000","0.1305","2.9139"
"4.0500","0.1322","2.8714"
"4.1000","0.1338","2.7858"
"4.1500","0.1356","2.9053"
"4.2000","0.1372","2.8035"
"4.2500","0.1387","2.7465"
"4.3000","0.1407","2.7977"
"4.3500","0.1422","2.9881"
"4.4000","0.1440","2.9369"
"4.4500","0.1455","2.9442"
"4.5000","0.1473","2.9294"
"4.5500","0.1488","3.0156"
"4.6000","0.1504","3.0603"
"4.6500","0.1523","2.8556"
"4.7000","0.1538","2.6930"
"4.7500","0.1557","2.7836"
"4.8000","0.1572","2.8773"
"4.8500","0.1590","2.9043"
"4.9000","0.1604","2.9179"
"4.9500","0.1621","2.9541"
"5.0000","0.1640","2.8281"
"5.0500","0.1654","2.8749"
"5.1000","0.1673","2.9521"
"5.1500","0.1688","2.9132"
"5.2000","0.1707","2.9565"
"5.2500","0.1720","2.8505"
"5.3000","0.1738","2.9209"
"5.3500","0.1756","2.9978"
"5.4000","0.1771","2.9391"
"5.4500","0.1790","2.7698"
"5.5000","0.1805","3.0304"
"5.5500","0.1824","2.9174"
"5.6000","0.1836","2.9805"
"5.6500","0.1855","3.1003"
"5.7000","0.1873","2.9899"
"5.7500","0.1888","2.9274"
"5.8000","0.1906","2.9256"
"5.8500","0.1921","3.0616"
"5.9000","0.1940","3.0534"
"5.9500","0.1953","3.3356"
"6.0000","0.1973","3.1390"
"6.0500","0.1989","3.4567"
"6.1000","0.2005","3.3147"
"6.1500","0.2023","3.4536"
"6.2000","0.2038","3.3321"
"6.2500","0.2056","3.4219"
"6.3000","0.2070","3.4330"
"6.3500","0.2090","3.3924"
"6.4000","0.2106","3.4986"
"6.4500","0.2122","3.5829"
"6.5000","0.2139","3.3960"
"6.5500","0.2156","3.4990"
"6.6000","0.2173","3.3417"
"6.6500","0.2186","3.4587"
"6.7000","0.2207","3.6090"
"6.7500","0.2222","3.4502"
"6.8000","0.2239","3.5647"
"6.8500","0.2255","3.4904"
"6.9000","0.2272","3.6801"
"6.9500","0.2289","3.7851"
"7.0000","0.2303","3.7982"
