
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0222"
"0.0500","0.0001","0.0705"
"0.1000","0.0006","-0.0901"
"0.1500","0.0009","0.2102"
"0.2000","0.0021","0.2442"
"0.2500","0.0050","0.4495"
"0.3000","0.0071","0.2630"
"0.3500","0.0089","0.5768"
"0.4000","0.0103","0.4695"
"0.4500","0.0123","0.5064"
"0.5000","0.0140","0.4556"
"0.5500","0.0155","0.4683"
"0.6000","0.0173","0.7263"
"0.6500","0.0189","0.4053"
"0.7000","0.0207","0.6595"
"0.7500","0.0220","0.7787"
"0.8000","0.0240","1.1729"
"0.8500","0.0256","1.2836"
"0.9000","0.0272","1.6250"
"0.9500","0.0290","1.8797"
"1.0000","0.0306","1.8743"
"1.0500","0.0324","2.1892"
"1.1000","0.0337","2.3794"
"1.1500","0.0357","2.5499"
"1.2000","0.0373","2.6882"
"1.2500","0.0390","2.7016"
"1.3000","0.0406","2.6890"
"1.3500","0.0423","2.7522"
"1.4000","0.0440","2.5491"
"1.4500","0.0453","2.8055"
"1.5000","0.0474","2.6718"
"1.5500","0.0489","2.6399"
"1.6000","0.0507","2.7309"
"1.6500","0.0522","2.7532"
"1.7000","0.0539","2.7006"
"1.7500","0.0555","2.4959"
"1.8000","0.0570","2.6448"
"1.8500","0.0591","2.5579"
"1.9000","0.0605","2.4565"
"1.9500","0.0623","2.6984"
"2.0000","0.0638","2.6179"
"2.0500","0.0657","2.5206"
"2.1000","0.0672","2.6314"
"2.1500","0.0688","2.5983"
"2.2000","0.0707","2.5893"
"2.2500","0.0722","2.4637"
"2.3000","0.0740","2.5554"
"2.3500","0.0755","2.7454"
"2.4000","0.0774","2.6977"
"2.4500","0.0788","2.5236"
"2.5000","0.0805","2.7123"
"2.5500","0.0823","2.4313"
"2.6000","0.0839","2.6386"
"2.6500","0.0858","2.6468"
"2.7000","0.0872","2.7617"
"2.7500","0.0891","2.9148"
"2.8000","0.0904","2.6044"
"2.8500","0.0922","2.7310"
"2.9000","0.0940","2.6873"
"2.9500","0.0956","2.7470"
"3.0000","0.0974","2.7660"
"3.0500","0.0988","2.5508"
"3.1000","0.1007","2.6334"
"3.1500","0.1020","2.6044"
"3.2000","0.1040","2.7396"
"3.2500","0.1056","2.5945"
"3.3000","0.1072","2.5412"
"3.3500","0.1090","2.6339"
"3.4000","0.1106","2.7175"
"3.4500","0.1124","2.5065"
"3.5000","0.1137","2.7833"
"3.5500","0.1156","2.8123"
"3.6000","0.1172","2.6739"
"3.6500","0.1189","2.7911"
"3.7000","0.1207","2.8875"
"3.7500","0.1223","2.7511"
"3.8000","0.1240","2.9801"
"3.8500","0.1253","2.9416"
"3.9000","0.1273","3.0070"
"3.9500","0.1289","2.9140"
"4.0000","0.1306","3.1837"
"4.0500","0.1323","3.2800"
"4.1000","0.1339","3.0793"
"4.1500","0.1356","3.1276"
"4.2000","0.1371","3.2778"
"4.2500","0.1391","3.0936"
"4.3000","0.1405","3.0757"
"4.3500","0.1423","3.1259"
"4.4000","0.1439","3.0473"
"4.4500","0.1456","3.2335"
"4.5000","0.1472","3.2751"
"4.5500","0.1487","3.2779"
"4.6000","0.1507","3.2239"
"4.6500","0.1522","3.4223"
"4.7000","0.1540","3.2646"
"4.7500","0.1556","3.3705"
"4.8000","0.1574","3.3543"
"4.8500","0.1588","3.3805"
"4.9000","0.1604","3.2980"
"4.9500","0.1624","3.5202"
"5.0000","0.1639","3.3588"
"5.0500","0.1657","3.4284"
"5.1000","0.1672","3.3498"
"5.1500","0.1690","3.3464"
"5.2000","0.1705","3.4652"
"5.2500","0.1721","3.4566"
"5.3000","0.1741","3.5550"
"5.3500","0.1755","3.4018"
"5.4000","0.1773","3.3548"
"5.4500","0.1789","3.2017"
"5.5000","0.1807","3.5889"
"5.5500","0.1821","3.6098"
"5.6000","0.1838","3.4712"
"5.6500","0.1857","3.4344"
"5.7000","0.1872","3.3367"
"5.7500","0.1890","3.3183"
"5.8000","0.1905","3.4617"
"5.8500","0.1924","3.4506"
"5.9000","0.1937","3.4851"
"5.9500","0.1955","3.3541"
"6.0000","0.1974","3.3181"
"6.0500","0.1989","3.3797"
"6.1000","0.2007","3.3373"
"6.1500","0.2022","3.4365"
"6.2000","0.2040","3.3993"
"6.2500","0.2054","3.4999"
"6.3000","0.2073","3.2507"
"6.3500","0.2090","3.1879"
"6.4000","0.2106","3.4053"
"6.4500","0.2124","3.4349"
"6.5000","0.2139","3.3687"
"6.5500","0.2157","3.5214"
"6.6000","0.2170","3.3850"
"6.6500","0.2190","3.2697"
"6.7000","0.2206","3.4594"
"6.7500","0.2222","3.4290"
"6.8000","0.2240","3.3849"
"6.8500","0.2256","3.4005"
"6.9000","0.2273","3.3127"
"6.9500","0.2287","3.3871"
"7.0000","0.2307","3.4174"
"7.0500","0.2322","3.4481"
"7.1000","0.2339","3.6217"
"7.1500","0.2356","3.3763"
"7.2000","0.2373","3.2118"
"7.2500","0.2390","3.4177"
"7.3000","0.2403","3.3067"
"7.3500","0.2424","3.4432"
"7.4000","0.2439","3.4138"
"7.4500","0.2456","3.1700"
"7.5000","0.2473","3.4605"
"7.5500","0.2489","3.3616"
"7.6000","0.2506","3.2306"
"7.6500","0.2520","3.4207"
"7.7000","0.2541","3.3423"
"7.7500","0.2555","3.1430"
"7.8000","0.2573","3.3049"
"7.8500","0.2589","3.5186"
"7.9000","0.2607","3.3739"
"7.9500","0.2622","3.3004"
"8.0000","0.2638","3.3124"
"8.0500","0.2658","3.3338"
"8.1000","0.2672","3.2376"
"8.1500","0.2690","3.3581"
"8.2000","0.2706","3.3018"
"8.2500","0.2724","3.3205"
"8.3000","0.2739","3.4310"
"8.3500","0.2754","3.5180"
"8.4000","0.2774","3.0623"
"8.4500","0.2789","3.4828"
"8.5000","0.2807","3.5026"
"8.5500","0.2822","3.5118"
"8.6000","0.2841","3.9647"
"8.6500","0.2854","3.8376"
"8.7000","0.2871","4.0759"
"8.7500","0.2891","4.0460"
"8.8000","0.2906","4.2649"
"8.8500","0.2924","4.5035"
"8.9000","0.2937","4.5133"
"8.9500","0.2957","5.0704"
"9.0000","0.2970","5.2625"
"9.0500","0.2989","5.7151"
"9.1000","0.3007","6.2858"
"9.1500","0.3022","6.6989"
"9.2000","0.3040","7.2942"
"9.2500","0.3054","7.8075"
"9.3000","0.3074","8.6684"
"9.3500","0.3088","8.9772"
"9.4000","0.3106","9.8430"
"9.4500","0.3123","10.4580"
"9.5000","0.3138","11.0130"
"9.5500","0.3156","11.7176"
"9.6000","0.3172","12.3631"
"9.6500","0.3191","13.2697"
"9.7000","0.3204","13.8367"
"9.7500","0.3223","14.7982"
"9.8000","0.3239","15.5966"
"9.8500","0.3256","16.7326"
"9.9000","0.3274","17.5232"
"9.9500","0.3289","18.1800"
"10.0000","0.3306","19.1687"
"10.0500","0.3320","20.1930"
"10.1000","0.3340","21.5594"
"10.1500","0.3356","22.2567"
"10.2000","0.3374","23.3024"
"10.2500","0.3389","24.1241"
"10.3000","0.3406","25.4135"
"10.3500","0.3423","26.5816"
"10.4000","0.3437","27.4850"
"10.4500","0.3458","28.9142"
"10.5000","0.3472","29.7368"
"10.5500","0.3490","31.3016"
"10.6000","0.3506","32.4185"
"10.6500","0.3523","33.8138"
"10.7000","0.3539","35.0601"
"10.7500","0.3554","36.0641"
"10.8000","0.3573","37.7374"
"10.8500","0.3588","38.7925"
"10.9000","0.3606","40.7285"
"10.9500","0.3623","41.9825"
"11.0000","0.3641","43.6549"
"11.0500","0.3655","44.5761"
"11.1000","0.3671","46.2751"
"11.1500","0.3690","48.1416"
"11.2000","0.3705","49.4628"
