
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.4667"
"0.1000","0.0005","1.1112"
"0.2000","0.0017","4.6846"
"0.3000","0.0065","20.8568"
"0.4000","0.0101","32.2742"
"0.5000","0.0133","42.6561"
"0.6000","0.0169","53.5310"
"0.7000","0.0203","63.7615"
"0.8000","0.0236","73.1912"
"0.9000","0.0269","82.7743"
"1.0000","0.0302","92.0206"
"1.1000","0.0335","100.7466"
"1.2000","0.0366","108.1237"
"1.3000","0.0402","114.4978"
"1.4000","0.0436","121.9315"
"1.5000","0.0469","129.7359"
"1.6000","0.0504","137.7158"
"1.7000","0.0535","145.0369"
"1.8000","0.0570","152.0153"
"1.9000","0.0600","158.1774"
"2.0000","0.0635","165.0934"
"2.1000","0.0669","171.3142"
"2.2000","0.0701","177.5116"
"2.3000","0.0737","184.4399"
"2.4000","0.0769","189.3510"
"2.5000","0.0803","194.9387"
"2.6000","0.0834","199.6926"
"2.7000","0.0868","204.5999"
"2.8000","0.0902","209.9304"
"2.9000","0.0934","214.7675"
"3.0000","0.0970","221.2267"
"3.1000","0.1003","227.0846"
"3.2000","0.1037","232.6802"
"3.3000","0.1068","237.9176"
"3.4000","0.1102","243.4963"
"3.5000","0.1135","248.8247"
"3.6000","0.1167","253.6645"
"3.7000","0.1203","259.5873"
"3.8000","0.1236","265.0753"
"3.9000","0.1270","270.4415"
"4.0000","0.1302","275.4306"
"4.1000","0.1334","280.4259"
"4.2000","0.1369","285.9521"
"4.3000","0.1399","290.6025"
"4.4000","0.1435","296.5481"
"4.5000","0.1470","301.9899"
"4.6000","0.1503","307.1183"
"4.7000","0.1537","312.4238"
"4.8000","0.1568","317.0176"
"4.9000","0.1603","322.2040"
"5.0000","0.1633","326.8885"
"5.1000","0.1668","332.2747"
"5.2000","0.1702","337.4510"
"5.3000","0.1735","342.3771"
"5.4000","0.1771","347.5507"
"5.5000","0.1803","352.3411"
"5.6000","0.1837","356.9566"
"5.7000","0.1866","361.1860"
"5.8000","0.1902","366.5918"
"5.9000","0.1934","370.9590"
"6.0000","0.1967","375.4216"
"6.1000","0.2004","380.6336"
"6.2000","0.2036","385.1313"
"6.3000","0.2070","389.5190"
"6.4000","0.2101","393.5016"
"6.5000","0.2135","397.8859"
"6.6000","0.2169","402.5239"
"6.7000","0.2200","405.9843"
"6.8000","0.2236","410.8129"
"6.9000","0.2270","414.9702"
"7.0000","0.2303","419.3434"
"7.1000","0.2336","423.1442"
"7.2000","0.2369","426.9450"
"7.3000","0.2402","430.7030"
"7.4000","0.2433","434.2716"
"7.5000","0.2469","438.1725"
"7.6000","0.2503","442.1629"
"7.7000","0.2536","445.7945"
"7.8000","0.2570","449.9909"
"7.9000","0.2602","454.3018"
"8.0000","0.2636","459.4664"
"8.1000","0.2666","463.9679"
"8.2000","0.2701","469.2035"
"8.3000","0.2736","474.5788"
"8.4000","0.2768","479.4352"
"8.5000","0.2804","485.0034"
"8.6000","0.2836","489.3286"
"8.7000","0.2870","494.2918"
"8.8000","0.2901","498.4911"
"8.9000","0.2935","503.2410"
"9.0000","0.2969","507.7589"
"9.1000","0.3000","512.0024"
"9.2000","0.3037","517.4108"
"9.3000","0.3070","521.8203"
"9.4000","0.3103","525.9832"
"9.5000","0.3135","530.0696"
"9.6000","0.3168","534.4051"
"9.7000","0.3202","538.8784"
"9.8000","0.3234","543.0162"
"9.9000","0.3269","547.9323"
"10.0000","0.3303","552.3945"
"10.1000","0.3337","556.9724"
"10.2000","0.3369","561.0708"
"10.3000","0.3402","565.5081"
"10.4000","0.3435","569.9685"
"10.5000","0.3467","573.7449"
"10.6000","0.3502","579.2151"
"10.7000","0.3536","583.7203"
"10.8000","0.3569","588.1960"
"10.9000","0.3604","593.0046"
"11.0000","0.3635","596.8203"
"11.1000","0.3669","601.7003"
"11.2000","0.3700","605.3662"
"11.3000","0.3734","609.8994"
"11.4000","0.3769","614.8862"
"11.5000","0.3802","619.1391"
"11.6000","0.3837","624.0488"
"11.7000","0.3869","627.8515"
"11.8000","0.3903","632.1453"
"11.9000","0.3934","635.5261"
"12.0000","0.3968","639.9590"
"12.1000","0.4002","643.9891"
"12.2000","0.4034","647.3638"
"12.3000","0.4070","652.2638"
"12.4000","0.4103","655.7570"
"12.5000","0.4137","659.8388"
"12.6000","0.4168","663.1013"
"12.7000","0.4201","666.7468"
"12.8000","0.4235","670.3510"
"12.9000","0.4267","673.6079"
"13.0000","0.4303","678.0239"
"13.1000","0.4336","681.2924"
"13.2000","0.4370","685.0046"
"13.3000","0.4403","687.9627"
"13.4000","0.4435","690.8410"
"13.5000","0.4468","693.6570"
"13.6000","0.4500","695.4427"
"13.7000","0.4536","697.7949"
"13.8000","0.4569","698.1215"
"13.9000","0.4603","697.5674"
"14.0000","0.4637","692.6411"
"14.1000","0.4670","695.3013"
"14.2000","0.4702","697.8011"
"14.3000","0.4733","700.4183"
"14.4000","0.4768","703.9077"
"14.5000","0.4802","707.8521"
"14.6000","0.4835","711.8511"
"14.7000","0.4871","716.9601"
"14.8000","0.4903","721.2074"
"14.9000","0.4936","725.4698"
"15.0000","0.4967","729.2765"
"15.1000","0.5001","733.6469"
"15.2000","0.5035","738.1108"
"15.3000","0.5067","741.8481"
"15.4000","0.5103","746.6424"
"15.5000","0.5137","750.7283"
"15.6000","0.5170","754.4900"
"15.7000","0.5203","758.2933"
"15.8000","0.5235","761.8163"
"15.9000","0.5268","765.4948"
"16.0000","0.5300","768.8683"
"16.1000","0.5336","773.1769"
"16.2000","0.5370","776.9288"
"16.3000","0.5403","779.9850"
"16.4000","0.5436","783.6584"
"16.5000","0.5469","787.0259"
"16.6000","0.5502","790.3008"
"16.7000","0.5533","793.1275"
"16.8000","0.5569","797.2547"
"16.9000","0.5602","800.5607"
"17.0000","0.5636","804.0797"
"17.1000","0.5670","807.7492"
"17.2000","0.5702","810.6544"
"17.3000","0.5736","813.6785"
"17.4000","0.5766","816.6626"
"17.5000","0.5802","820.4900"
"17.6000","0.5835","823.7610"
"17.7000","0.5869","827.0469"
"17.8000","0.5904","830.9565"
"17.9000","0.5936","833.8687"
"18.0000","0.5970","837.2513"
"18.1000","0.6001","840.2278"
"18.2000","0.6034","843.4758"
"18.3000","0.6069","847.1486"
"18.4000","0.6101","850.2261"
"18.5000","0.6137","854.3459"
"18.6000","0.6169","857.5253"
"18.7000","0.6203","861.0369"
"18.8000","0.6235","863.6918"
"18.9000","0.6268","866.8763"
"19.0000","0.6302","870.3630"
"19.1000","0.6334","872.8571"
"19.2000","0.6370","877.0480"
"19.3000","0.6403","880.2648"
"19.4000","0.6437","883.4315"
"19.5000","0.6470","886.4742"
"19.6000","0.6501","889.1960"
"19.7000","0.6536","892.4749"
"19.8000","0.6566","894.6409"
"19.9000","0.6602","898.5140"
"20.0000","0.6636","901.6290"
"20.1000","0.6670","904.6797"
"20.2000","0.6703","907.8857"
"20.3000","0.6737","910.9669"
"20.4000","0.6768","913.3510"
"20.5000","0.6800","915.7569"
"20.6000","0.6835","919.3052"
"20.7000","0.6868","922.0111"
"20.8000","0.6902","925.2097"
"20.9000","0.6937","928.5990"
"21.0000","0.6969","931.2227"
"21.1000","0.7004","934.3381"
"21.2000","0.7034","936.4258"
