
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1541"
"0.0500","0.0001","0.0645"
"0.1000","0.0008","0.1496"
"0.1500","0.0010","-0.0178"
"0.2000","0.0026","0.3130"
"0.2500","0.0057","0.1340"
"0.3000","0.0078","0.0882"
"0.3500","0.0092","0.1547"
"0.4000","0.0110","0.1636"
"0.4500","0.0126","0.2374"
"0.5000","0.0142","0.0080"
"0.5500","0.0162","0.2653"
"0.6000","0.0176","0.3035"
"0.6500","0.0194","0.2135"
"0.7000","0.0210","0.2915"
"0.7500","0.0228","0.0789"
"0.8000","0.0242","0.3295"
"0.8500","0.0259","0.3879"
"0.9000","0.0277","0.3186"
"0.9500","0.0292","0.4193"
"1.0000","0.0311","0.1966"
"1.0500","0.0326","0.3701"
"1.1000","0.0344","0.3105"
"1.1500","0.0358","0.4057"
"1.2000","0.0376","0.5447"
"1.2500","0.0394","0.6574"
"1.3000","0.0410","0.3861"
"1.3500","0.0428","0.6930"
"1.4000","0.0443","0.6882"
"1.4500","0.0461","0.8129"
"1.5000","0.0475","0.8146"
"1.5500","0.0494","0.9884"
"1.6000","0.0511","0.7838"
"1.6500","0.0526","1.1476"
"1.7000","0.0544","1.5220"
"1.7500","0.0560","1.5147"
"1.8000","0.0578","1.7530"
"1.8500","0.0591","1.8111"
"1.9000","0.0611","1.9932"
"1.9500","0.0627","2.0246"
"2.0000","0.0643","2.9292"
"2.0500","0.0661","2.8183"
"2.1000","0.0677","2.6829"
"2.1500","0.0694","2.7625"
"2.2000","0.0707","2.7500"
"2.2500","0.0727","2.8345"
"2.3000","0.0744","3.0224"
"2.3500","0.0761","2.9162"
"2.4000","0.0777","2.8483"
"2.4500","0.0793","2.7560"
"2.5000","0.0810","2.8254"
"2.5500","0.0824","2.9667"
"2.6000","0.0844","2.8069"
"2.6500","0.0860","3.0411"
"2.7000","0.0877","2.6799"
"2.7500","0.0893","2.9580"
"2.8000","0.0910","2.9167"
"2.8500","0.0927","2.7533"
"2.9000","0.0942","2.9394"
"2.9500","0.0961","2.7153"
"3.0000","0.0976","2.9036"
"3.0500","0.0994","2.8490"
"3.1000","0.1010","3.0845"
"3.1500","0.1027","2.9281"
"3.2000","0.1043","2.9035"
"3.2500","0.1058","2.9034"
"3.3000","0.1078","2.9272"
"3.3500","0.1093","2.9107"
"3.4000","0.1111","2.9158"
"3.4500","0.1127","2.9388"
"3.5000","0.1144","2.8613"
"3.5500","0.1159","2.8595"
"3.6000","0.1175","2.7984"
"3.6500","0.1195","2.8765"
"3.7000","0.1209","2.9606"
"3.7500","0.1228","3.0187"
"3.8000","0.1243","2.7941"
"3.8500","0.1261","2.8561"
"3.9000","0.1276","2.9480"
"3.9500","0.1292","3.0331"
"4.0000","0.1311","3.0151"
"4.0500","0.1326","2.7221"
"4.1000","0.1344","2.8374"
"4.1500","0.1360","2.8983"
"4.2000","0.1378","2.7399"
"4.2500","0.1392","2.8964"
"4.3000","0.1409","3.0734"
"4.3500","0.1428","2.7400"
"4.4000","0.1442","2.8466"
"4.4500","0.1461","2.9876"
"4.5000","0.1476","2.8766"
"4.5500","0.1495","2.7445"
"4.6000","0.1508","2.8529"
"4.6500","0.1526","2.9288"
"4.7000","0.1544","3.0504"
"4.7500","0.1559","2.9311"
"4.8000","0.1578","2.9485"
"4.8500","0.1593","2.9181"
"4.9000","0.1611","2.9099"
"4.9500","0.1624","2.8445"
"5.0000","0.1644","3.0388"
"5.0500","0.1661","2.9005"
"5.1000","0.1676","2.9109"
"5.1500","0.1695","2.7449"
"5.2000","0.1710","2.9444"
"5.2500","0.1728","2.8402"
"5.3000","0.1741","2.9253"
"5.3500","0.1761","2.9223"
"5.4000","0.1777","2.7665"
"5.4500","0.1793","2.6892"
"5.5000","0.1810","2.8308"
"5.5500","0.1827","2.9318"
"5.6000","0.1845","2.7511"
"5.6500","0.1858","2.8625"
"5.7000","0.1878","2.9542"
"5.7500","0.1894","2.9382"
"5.8000","0.1910","2.9512"
"5.8500","0.1927","2.9588"
"5.9000","0.1943","2.9952"
"5.9500","0.1961","2.8796"
"6.0000","0.1974","3.0559"
"6.0500","0.1995","2.9848"
"6.1000","0.2010","2.9249"
"6.1500","0.2028","2.7845"
"6.2000","0.2043","2.9541"
"6.2500","0.2060","2.9808"
"6.3000","0.2076","2.9334"
"6.3500","0.2091","2.9222"
"6.4000","0.2112","2.8370"
"6.4500","0.2126","2.8424"
"6.5000","0.2145","2.8703"
"6.5500","0.2159","2.9258"
"6.6000","0.2177","3.0321"
"6.6500","0.2193","2.9300"
"6.7000","0.2208","2.8327"
"6.7500","0.2229","2.7292"
"6.8000","0.2243","2.9631"
"6.8500","0.2261","2.9630"
"6.9000","0.2276","2.9293"
"6.9500","0.2295","2.9549"
"7.0000","0.2309","2.8602"
"7.0500","0.2326","3.0248"
"7.1000","0.2345","2.9594"
"7.1500","0.2359","3.1545"
"7.2000","0.2378","2.8047"
"7.2500","0.2392","2.8710"
"7.3000","0.2411","2.9540"
"7.3500","0.2425","3.0907"
"7.4000","0.2443","2.9305"
"7.4500","0.2461","2.8382"
"7.5000","0.2476","2.8007"
"7.5500","0.2495","3.1815"
"7.6000","0.2509","3.0070"
"7.6500","0.2527","2.9975"
"7.7000","0.2541","2.6291"
"7.7500","0.2561","2.9228"
"7.8000","0.2577","2.9702"
"7.8500","0.2593","3.0268"
"7.9000","0.2611","2.7628"
"7.9500","0.2626","3.0339"
"8.0000","0.2644","2.8910"
