
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1261"
"0.2500","0.0158","7.2949"
"0.5000","0.0368","17.2308"
"0.7500","0.0577","27.6780"
"1.0000","0.0784","42.4697"
"1.2500","0.0992","134.4774"
"1.5000","0.1200","264.6372"
"1.7500","0.1409","406.6983"
"2.0000","0.1618","574.3768"
"2.2500","0.1826","769.4645"
"2.5000","0.2033","979.0325"
"2.7500","0.2241","1202.8065"
"3.0000","0.2451","1439.5087"
"3.2500","0.2660","1682.9310"
"3.5000","0.2868","1929.9803"
"3.7500","0.3076","2182.2212"
"4.0000","0.3283","2435.2612"
"4.2500","0.3491","2686.7627"
"4.5000","0.3702","2937.2969"
"4.7500","0.3910","3180.1638"
"5.0000","0.4117","3414.5999"
"5.2500","0.4325","3643.2390"
"5.5000","0.4533","3866.8164"
"5.7500","0.4742","4087.5557"
"6.0000","0.4952","4302.9277"
"6.2500","0.5159","4508.2886"
"6.5000","0.5367","4710.8535"
"6.7500","0.5575","4906.4854"
"7.0000","0.5783","5101.2583"
"7.2500","0.5993","5293.6895"
"7.5000","0.6201","5480.6191"
"7.7500","0.6409","5661.3433"
"8.0000","0.6617","5838.2280"
"8.2500","0.6825","6012.5825"
"8.5000","0.7034","6185.6748"
"8.7500","0.7244","6357.1162"
"9.0000","0.7451","6518.7461"
"9.2500","0.7658","6675.5684"
"9.5000","0.7867","6833.6836"
"9.7500","0.8076","6987.6841"
"10.0000","0.8284","7138.7671"
"10.2500","0.8494","7285.6128"
"10.5000","0.8701","7424.6167"
"10.7500","0.8907","7558.2295"
"11.0000","0.9117","7694.6841"
"11.2500","0.9326","7827.8442"
"11.5000","0.9535","7957.1216"
"11.7500","0.9743","8080.2007"
"12.0000","0.9950","8195.6865"
"12.2500","1.0159","8313.6309"
"12.5000","1.0368","8427.8877"
"12.7500","1.0576","8538.9053"
"13.0000","1.0785","8645.2383"
"13.2500","1.0992","8745.6084"
"13.5000","1.1200","8842.5645"
"13.7500","1.1408","8938.7246"
"14.0000","1.1619","9036.3203"
"14.2500","1.1827","9126.0391"
"14.5000","1.2034","9211.2500"
"14.7500","1.2242","9292.2920"
"15.0000","1.2450","9372.6309"
"15.2500","1.2660","9453.3789"
"15.5000","1.2868","9529.6045"
"15.7500","1.3076","9599.3232"
"16.0000","1.3284","9669.8906"
"16.2500","1.3492","9733.4980"
"16.5000","1.3700","9798.2998"
"16.7500","1.3910","9864.6875"
"17.0000","1.4119","9924.0029"
"17.2500","1.4325","9978.8135"
"17.5000","1.4533","10031.2734"
"17.7500","1.4742","10085.2061"
"18.0000","1.4951","10137.9922"
"18.2500","1.5160","10187.8779"
"18.5000","1.5367","10230.2637"
"18.7500","1.5575","10274.3584"
"19.0000","1.5783","10315.2559"
"19.2500","1.5992","10356.7998"
"19.5000","1.6202","10401.5420"
"19.7500","1.6410","10437.1143"
"20.0000","1.6617","10472.4160"
"20.2500","1.6825","10503.1699"
"20.5000","1.7034","10537.1299"
"20.7500","1.7244","10573.6465"
"21.0000","1.7452","10602.5186"
"21.2500","1.7659","10628.6211"
"21.5000","1.7867","10654.4727"
"21.7500","1.8075","10679.6992"
"22.0000","1.8284","10706.3564"
"22.2500","1.8494","10734.1680"
"22.5000","1.8702","10756.5273"
"22.7500","1.8909","10775.0635"
"23.0000","1.9116","10794.4961"
"23.2500","1.9326","10818.0361"
"23.5000","1.9535","10839.6943"
"23.7500","1.9743","10857.0527"
"24.0000","1.9952","10874.9404"
"24.2500","2.0159","10888.4482"
"24.5000","2.0367","10904.5518"
"24.7500","2.0577","10924.2080"
