Time,Displacement,Force
(s),(mm),(N)
0,0,0.1535
0.1,0.0005,1.0713
0.2,0.002,4.1854
0.3,0.0067,11.5743
0.4,0.0104,14.7792
0.5,0.0137,19.6113
0.6,0.0171,23.2776
0.7,0.0201,27.0228
0.8,0.0237,30.2111
0.9,0.027,34.1523
1,0.0304,37.5362
1.1,0.0339,40.4943
1.2,0.0372,43.4474
1.3,0.0404,46.068
1.4,0.0435,48.8974
11.4,0.377,98.5866
11.5,0.3804,100.339
11.6,0.3837,102.3089
11.7,0.3868,103.6028
11.8,0.3905,105.8167
11.9,0.3938,107.8284
12,0.3971,109.5447
12.1,0.4004,111.369
12.2,0.4036,113.9761
12.3,0.407,116.6907
12.4,0.4102,119.5408
12.5,0.4137,123.3978
12.6,0.4171,127.521
12.7,0.4205,131.6338
12.8,0.4238,136.2652
12.9,0.4271,141.4744
13,0.4304,148.2938
13.1,0.4335,156.3098
13.2,0.437,165.5244
13.3,0.4404,173.3773
13.4,0.4437,181.3846
13.5,0.4472,191.1325
13.6,0.4504,200.1962
13.7,0.4538,209.7073
13.8,0.4569,218.1396
13.9,0.4603,227.7098
14,0.4637,237.3239
14.1,0.4669,246.1336
14.2,0.4705,256.6696
14.3,0.4738,265.9423
14.4,0.4772,275.4043
14.5,0.4803,283.9138
14.6,0.4836,292.8967
14.7,0.487,302.4691
14.8,0.4902,311.1476
14.9,0.4938,321.2873
15,0.4972,330.4499
15.1,0.5006,339.8205
15.2,0.5037,347.9303
15.3,0.507,356.7759
15.4,0.5103,365.3932
15.5,0.5135,373.3682
15.6,0.5171,383.2007
15.7,0.5204,391.7369
15.8,0.5238,400.5034
15.9,0.5272,409.2371
16,0.5304,417.2435
16.1,0.5337,425.5623
16.2,0.5369,433.3368
16.3,0.5403,441.789
16.4,0.5437,450.015
16.5,0.5471,458.4962
16.6,0.5505,466.7825
16.7,0.5539,474.8292
16.8,0.5571,482.4085
16.9,0.5602,489.6299
17,0.5637,497.7214
17.1,0.567,505.1786
17.2,0.5702,512.4346
17.3,0.5739,521.2491
17.4,0.5771,528.5341
17.5,0.5805,536.0856
17.6,0.5836,542.9019
17.7,0.5869,549.7706
17.8,0.5904,557.6635
17.9,0.5935,563.766
18,0.5971,572.0101
18.1,0.6005,579.3792
18.2,0.6037,585.9205
18.3,0.6072,593.0485
18.4,0.6104,599.5466
18.5,0.6137,606.2549
18.6,0.6169,612.8139
18.7,0.6204,619.9099
18.8,0.6238,626.7278
18.9,0.6271,633.4572
19,0.6304,640.0886
19.1,0.6338,646.7195
19.2,0.6371,652.8524
19.3,0.6402,658.6137
19.4,0.6437,665.5964
19.5,0.647,671.8354
19.6,0.6504,678.231
19.7,0.6538,684.987
19.8,0.6571,690.7493
19.9,0.6605,696.962
20,0.6635,702.1336
20.1,0.667,708.4118
20.2,0.6704,714.4899
20.3,0.6736,719.7554
20.4,0.6772,726.937
20.5,0.6805,732.5325
20.6,0.6838,738.5674
20.7,0.687,743.6735
20.8,0.6902,748.8705
20.9,0.6937,754.7295
21,0.6969,760.0267
21.1,0.7004,766.3027
21.2,0.7038,772.032
21.3,0.7072,777.5467
21.4,0.7104,782.6974
21.5,0.7137,787.7249
21.6,0.717,793.2203
21.7,0.7201,797.8226
21.8,0.7238,803.8922
21.9,0.7271,809.3093
22,0.7304,814.4563
22.1,0.7339,819.7336
22.2,0.737,824.4271
22.3,0.7405,829.8542
22.4,0.7435,833.8098
22.5,0.747,839.5983
22.6,0.7503,844.3902
22.7,0.7537,849.4304
22.8,0.7572,854.848
22.9,0.7605,859.6207
23,0.7638,864.2457
23.1,0.7669,868.2501
23.2,0.7703,873.2421
23.3,0.7736,877.8452
23.4,0.777,882.3019
23.5,0.7805,888.0562
23.6,0.7838,892.0668
23.7,0.7872,897.2175
23.8,0.7903,900.8463
23.9,0.7937,905.5671
24,0.797,909.7574
24.1,0.8002,913.3943
24.2,0.8038,919.0302
24.3,0.8072,923.4272
24.4,0.8105,927.3727
24.5,0.8138,931.6313
24.6,0.817,935.3546
24.7,0.8204,939.5296
24.8,0.8234,942.7164
24.9,0.827,947.7372
25,0.8304,951.7647
25.1,0.8337,955.7318
25.2,0.8372,959.9349
25.3,0.8404,963.4824
25.4,0.8438,967.1963
25.5,0.8469,970.3074
25.6,0.8503,974.4535
25.7,0.8537,978.6
25.8,0.857,981.7502
25.9,0.8605,986.2563
26,0.8638,989.5897
26.1,0.8672,993.1989
26.2,0.8703,995.9702
26.3,0.8737,999.6074
26.4,0.877,1002.7631
26.5,0.8803,1005.9146
26.6,0.8838,1009.9774
26.7,0.8871,1013.4498
26.8,0.8905,1016.806
26.9,0.8937,1019.5917
27,0.897,1022.7885
27.1,0.9003,1025.7076
27.2,0.9035,1028.1396
27.3,0.9072,1032.6897
27.4,0.9105,1035.4471
27.5,0.9138,1038.5187
27.6,0.9171,1041.3827
27.7,0.9204,1044.4026
27.8,0.9237,1047.476
27.9,0.9269,1049.661
28,0.9304,1053.182
28.1,0.9338,1056.3787
28.2,0.9371,1059.1022
28.3,0.9405,1062.1927
28.4,0.9437,1064.996
28.5,0.9471,1067.6479
28.6,0.9501,1069.5535
28.7,0.9537,1073.0199
28.8,0.957,1075.769
28.9,0.9604,1078.6268
29,0.9639,1081.5197
29.1,0.9671,1084.2415
29.2,0.9705,1086.9414
29.3,0.9736,1088.7887
29.4,0.9769,1091.3774
29.5,0.9803,1094.3182
29.6,0.9836,1096.4432
29.7,0.9872,1100.1136
29.8,0.9905,1102.2976
29.9,0.9939,1105.1135
30,0.997,1107.0675
30.1,1.0004,1109.4452
30.2,1.0036,1111.5714
30.3,1.0068,1113.7129
30.4,1.0105,1116.8236
30.5,1.0138,1119.4193
30.6,1.0172,1121.746
30.7,1.0204,1123.8127
30.8,1.0237,1125.7188
30.9,1.027,1128.1342
31,1.0302,1129.5446
31.1,1.0337,1132.4067
31.2,1.0371,1134.7067
31.3,1.0404,1136.8771
31.4,1.0439,1139.4287
31.5,1.0472,1141.4056
31.6,1.0504,1143.5255
31.7,1.0535,1145.0345
31.8,1.057,1147.5908
31.9,1.0604,1149.9153
32,1.0636,1151.9625
32.1,1.0672,1154.579
32.2,1.0705,1156.7351
32.3,1.0738,1158.9047
32.4,1.0769,1160.4352
32.5,1.0803,1162.8833
32.6,1.0837,1165.0854
32.666,1.0863,-1.9368
