
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1376"
"0.2500","0.0152","7.6581"
"0.5000","0.0361","14.5969"
"0.7500","0.0569","24.3545"
"1.0000","0.0778","35.9919"
"1.2500","0.0987","38.6212"
"1.5000","0.1195","44.6518"
"1.7500","0.1403","58.7767"
"2.0000","0.1610","67.5074"
"2.2500","0.1819","81.7812"
"2.5000","0.2029","111.0694"
"2.7500","0.2237","151.3004"
"3.0000","0.2445","203.7044"
"3.2500","0.2652","261.9550"
"3.5000","0.2861","337.6675"
"3.7500","0.3071","411.7847"
"4.0000","0.3279","483.9586"
"4.2500","0.3486","568.6766"
"4.5000","0.3695","667.7993"
"4.7500","0.3902","778.2640"
"5.0000","0.4111","903.6887"
"5.2500","0.4321","1039.1611"
"5.5000","0.4529","1178.4261"
"5.7500","0.4736","1324.0333"
"6.0000","0.4944","1475.4128"
"6.2500","0.5153","1636.0885"
"6.5000","0.5362","1804.7135"
"6.7500","0.5570","1976.7573"
"7.0000","0.5778","2151.6326"
"7.2500","0.5986","2332.1387"
"7.5000","0.6194","2516.4536"
"7.7500","0.6403","2704.2930"
"8.0000","0.6612","2893.7856"
"8.2500","0.6820","3077.7563"
"8.5000","0.7027","3262.2061"
"8.7500","0.7235","3447.1213"
"9.0000","0.7444","3634.0979"
"9.2500","0.7654","3822.9197"
"9.5000","0.7862","4006.2007"
"9.7500","0.8070","4189.8003"
"10.0000","0.8277","4372.5020"
"10.2500","0.8486","4559.2759"
"10.5000","0.8695","4745.1436"
"10.7500","0.8904","4932.3472"
"11.0000","0.9112","5115.0786"
"11.2500","0.9319","5294.3369"
"11.5000","0.9526","5474.1343"
"11.7500","0.9737","5659.0146"
"12.0000","0.9946","5839.7485"
"12.2500","1.0153","6014.6250"
"12.5000","1.0361","6188.2939"
"12.7500","1.0569","6358.3613"
"13.0000","1.0777","6529.6128"
"13.2500","1.0987","6700.6968"
"13.5000","1.1195","6865.4360"
"13.7500","1.1403","7028.1030"
"14.0000","1.1610","7185.2153"
"14.2500","1.1818","7340.7368"
"14.5000","1.2028","7499.5308"
"14.7500","1.2238","7652.7974"
"15.0000","1.2444","7798.9004"
"15.2500","1.2652","7943.6099"
"15.5000","1.2860","8085.1548"
"15.7500","1.3069","8225.5654"
"16.0000","1.3279","8366.1650"
"16.2500","1.3487","8500.8994"
"16.5000","1.3694","8629.8574"
"16.7500","1.3902","8757.6934"
"17.0000","1.4111","8882.5146"
"17.2500","1.4319","9006.6035"
"17.5000","1.4530","9130.7314"
"17.7500","1.4737","9244.0195"
"18.0000","1.4943","9352.1387"
