
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0150"
"0.1000","0.0008","2.4238"
"0.2000","0.0026","8.0906"
"0.3000","0.0075","22.4568"
"0.4000","0.0111","32.4984"
"0.5000","0.0143","41.5800"
"0.6000","0.0175","50.6204"
"0.7000","0.0210","60.7290"
"0.8000","0.0243","69.2587"
"0.9000","0.0276","77.7732"
"1.0000","0.0312","86.3016"
"1.1000","0.0344","94.2184"
"1.2000","0.0378","102.5026"
"1.3000","0.0408","109.5743"
"1.4000","0.0443","118.3390"
"1.5000","0.0477","126.7146"
"1.6000","0.0509","134.9157"
"1.7000","0.0545","144.4322"
"1.8000","0.0578","152.7626"
"1.9000","0.0612","161.9097"
"2.0000","0.0643","169.8966"
"2.1000","0.0676","178.0446"
"2.2000","0.0710","186.8526"
"2.3000","0.0742","194.9798"
"2.4000","0.0777","204.1480"
"2.5000","0.0811","212.5618"
"2.6000","0.0845","221.3150"
"2.7000","0.0877","229.2360"
"2.8000","0.0910","237.0892"
"2.9000","0.0943","245.1132"
"3.0000","0.0974","252.3899"
"3.1000","0.1010","260.8760"
"3.2000","0.1044","269.2737"
"3.3000","0.1078","277.1536"
"3.4000","0.1112","285.1879"
"3.5000","0.1144","292.1752"
"3.6000","0.1178","300.2686"
"3.7000","0.1208","306.2425"
"3.8000","0.1243","314.5054"
"3.9000","0.1276","321.5350"
"4.0000","0.1310","329.2217"
"4.1000","0.1345","337.0054"
"4.2000","0.1378","344.0260"
"4.3000","0.1411","350.7487"
"4.4000","0.1442","356.8868"
"4.5000","0.1476","363.8716"
"4.6000","0.1509","370.5676"
"4.7000","0.1542","376.9959"
"4.8000","0.1578","385.0080"
"4.9000","0.1611","391.2513"
"5.0000","0.1645","397.9175"
"5.1000","0.1676","403.6196"
"5.2000","0.1710","410.0439"
"5.3000","0.1742","416.1582"
"5.4000","0.1775","421.9903"
"5.5000","0.1811","429.2127"
"5.6000","0.1845","435.3613"
"5.7000","0.1878","441.2940"
"5.8000","0.1911","447.5122"
"5.9000","0.1944","452.9138"
"6.0000","0.1977","458.7975"
"6.1000","0.2007","463.7925"
"6.2000","0.2043","470.1641"
"6.3000","0.2077","476.3436"
"6.4000","0.2110","481.7076"
"6.5000","0.2145","487.9144"
"6.6000","0.2178","493.0967"
"6.7000","0.2210","498.4444"
"6.8000","0.2242","503.3297"
"6.9000","0.2276","508.9169"
"7.0000","0.2310","514.2978"
"7.1000","0.2343","519.6060"
"7.2000","0.2378","525.4101"
"7.3000","0.2411","530.5671"
"7.4000","0.2445","535.8490"
"7.5000","0.2475","539.8918"
"7.6000","0.2510","545.3256"
"7.7000","0.2543","550.2379"
"7.8000","0.2575","554.8939"
"7.9000","0.2611","560.8520"
"8.0000","0.2644","565.4418"
"8.1000","0.2678","570.5742"
"8.2000","0.2710","574.9474"
"8.3000","0.2743","579.5455"
"8.4000","0.2776","584.0536"
"8.5000","0.2808","588.4281"
"8.6000","0.2844","593.8212"
"8.7000","0.2878","598.3228"
"8.8000","0.2911","602.9515"
"8.9000","0.2944","607.3334"
"9.0000","0.2977","611.6962"
"9.1000","0.3010","615.8052"
"9.2000","0.3041","619.5969"
"9.3000","0.3077","624.4877"
