
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0921"
"0.2500","0.0164","110.4883"
"0.5000","0.0373","278.8734"
"0.7500","0.0581","469.9750"
"1.0000","0.0789","679.3505"
"1.2500","0.0997","907.6224"
"1.5000","0.1206","1146.6047"
"1.7500","0.1415","1390.6722"
"2.0000","0.1623","1631.1561"
"2.2500","0.1830","1866.5800"
"2.5000","0.2038","2093.9287"
"2.7500","0.2247","2313.2517"
"3.0000","0.2458","2524.4744"
"3.2500","0.2665","2717.6543"
"3.5000","0.2871","2894.3906"
"3.7500","0.3081","3058.3740"
"4.0000","0.3289","3201.5247"
"4.2500","0.3497","3328.7847"
"4.5000","0.3707","3443.2185"
"4.7500","0.3914","3542.5459"
"5.0000","0.4122","3635.1382"
"5.2500","0.4330","3722.8018"
"5.5000","0.4539","3806.3955"
"5.7500","0.4749","3889.7664"
"6.0000","0.4957","3966.6719"
"6.2500","0.5164","4038.8684"
"6.5000","0.5372","4111.8350"
"6.7500","0.5581","4182.6553"
"7.0000","0.5790","4251.7124"
"7.2500","0.5998","4317.7773"
"7.5000","0.6206","4381.1738"
"7.7500","0.6413","4440.4062"
"8.0000","0.6622","4499.7622"
"8.2500","0.6831","4558.9297"
"8.5000","0.7040","4616.7529"
"8.7500","0.7248","4671.5254"
"9.0000","0.7456","4724.5947"
"9.2500","0.7663","4776.1333"
"9.5000","0.7873","4830.8247"
"9.7500","0.8082","4884.0972"
"10.0000","0.8289","4935.6704"
"10.2500","0.8498","4987.6260"
"10.5000","0.8705","5036.1650"
"10.7500","0.8913","5086.7148"
"11.0000","0.9124","5141.3735"
"11.2500","0.9332","5193.3291"
"11.5000","0.9540","5242.9868"
"11.7500","0.9747","5291.5962"
"12.0000","0.9955","5339.5908"
"12.2500","1.0164","5391.2388"
"12.5000","1.0374","5440.9614"
"12.7500","1.0581","5487.3672"
"13.0000","1.0789","5534.4155"
"13.2500","1.0997","5578.7461"
"13.5000","1.1205","5625.1353"
"13.7500","1.1415","5672.6528"
"14.0000","1.1623","5717.8174"
"14.2500","1.1831","5738.4165"
"14.5000","1.2038","5782.0625"
"14.7500","1.2247","5825.2427"
"15.0000","1.2457","5869.3735"
"15.2500","1.2666","5911.5918"
"15.5000","1.2873","5950.0469"
"15.7500","1.3081","5987.4683"
"16.0000","1.3289","6024.9927"
"16.2500","1.3498","6062.3745"
"16.5000","1.3707","6101.4551"
"16.7500","1.3915","6137.1030"
"17.0000","1.4123","6171.0078"
"17.2500","1.4330","6203.1855"
"17.5000","1.4539","6237.4785"
"17.7500","1.4749","6271.8228"
"18.0000","1.4957","6303.8267"
"18.2500","1.5165","6334.1738"
"18.5000","1.5372","6362.7764"
"18.7500","1.5580","6391.4033"
"19.0000","1.5789","6420.4067"
"19.2500","1.5998","6449.4551"
"19.5000","1.6206","6477.0630"
"19.7500","1.6414","6502.4575"
"20.0000","1.6621","6525.9873"
"20.2500","1.6831","6552.6919"
"20.5000","1.7040","6578.3682"
"20.7500","1.7248","6602.4507"
"21.0000","1.7456","6624.2388"
"21.2500","1.7664","6645.3286"
"21.5000","1.7872","6666.5210"
"21.7500","1.8081","6688.7627"
"22.0000","1.8290","6709.9990"
"22.2500","1.8498","6728.1411"
"22.5000","1.8706","6747.9053"
"22.7500","1.8913","6764.8740"
"23.0000","1.9122","6783.6328"
"23.2500","1.9333","6805.8999"
"23.5000","1.9540","6821.7046"
"23.7500","1.9747","6834.6895"
"24.0000","1.9956","6852.8770"
"24.2500","2.0164","6867.6992"
