
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0282"
"0.0500","0.0001","-0.1166"
"0.1000","0.0005","0.0738"
"0.1500","0.0009","0.3959"
"0.2000","0.0021","0.6144"
"0.2500","0.0048","0.5800"
"0.3000","0.0070","0.7460"
"0.3500","0.0088","0.5072"
"0.4000","0.0104","0.5739"
"0.4500","0.0122","0.6733"
"0.5000","0.0138","0.3945"
"0.5500","0.0153","0.7187"
"0.6000","0.0173","0.5556"
"0.6500","0.0188","0.6995"
"0.7000","0.0206","0.4060"
"0.7500","0.0221","0.6570"
"0.8000","0.0240","0.4872"
"0.8500","0.0254","0.4552"
"0.9000","0.0270","0.3117"
"0.9500","0.0290","0.6891"
"1.0000","0.0305","0.6884"
"1.0500","0.0324","0.6440"
"1.1000","0.0337","0.8056"
"1.1500","0.0356","0.5822"
"1.2000","0.0370","0.6258"
"1.2500","0.0388","0.6200"
"1.3000","0.0406","0.6894"
"1.3500","0.0421","0.5596"
"1.4000","0.0440","0.7719"
"1.4500","0.0454","0.4836"
"1.5000","0.0473","0.6807"
"1.5500","0.0486","0.8622"
"1.6000","0.0506","0.6840"
"1.6500","0.0522","0.4829"
"1.7000","0.0538","0.6464"
"1.7500","0.0556","0.6741"
"1.8000","0.0571","0.6692"
"1.8500","0.0590","0.4975"
"1.9000","0.0603","0.7248"
"1.9500","0.0622","0.5823"
"2.0000","0.0638","0.8761"
"2.0500","0.0654","0.9046"
"2.1000","0.0673","0.7451"
"2.1500","0.0688","0.9683"
"2.2000","0.0706","0.7162"
"2.2500","0.0719","0.8548"
"2.3000","0.0739","1.0412"
"2.3500","0.0755","1.1346"
"2.4000","0.0772","0.8279"
"2.4500","0.0789","0.7397"
"2.5000","0.0805","1.0148"
"2.5500","0.0822","1.0343"
"2.6000","0.0836","0.8702"
"2.6500","0.0857","1.0165"
"2.7000","0.0871","0.9185"
"2.7500","0.0889","0.9957"
"2.8000","0.0905","1.0400"
"2.8500","0.0922","1.1024"
"2.9000","0.0938","1.1933"
"2.9500","0.0953","1.2551"
"3.0000","0.0973","1.1312"
"3.0500","0.0988","1.4879"
"3.1000","0.1006","1.3086"
"3.1500","0.1022","1.3568"
"3.2000","0.1039","1.3061"
"3.2500","0.1055","1.1896"
"3.3000","0.1070","1.2510"
"3.3500","0.1089","1.4489"
"3.4000","0.1105","1.1461"
"3.4500","0.1123","1.2980"
"3.5000","0.1138","1.2278"
"3.5500","0.1156","1.1392"
"3.6000","0.1171","1.3336"
"3.6500","0.1187","1.3392"
"3.7000","0.1206","1.2976"
"3.7500","0.1221","1.2723"
"3.8000","0.1239","1.3736"
"3.8500","0.1254","1.3275"
"3.9000","0.1273","1.1634"
"3.9500","0.1287","1.3105"
"4.0000","0.1304","1.4411"
"4.0500","0.1323","1.5959"
"4.1000","0.1338","1.6019"
"4.1500","0.1356","1.4370"
"4.2000","0.1371","1.3593"
"4.2500","0.1390","1.3572"
"4.3000","0.1403","1.5835"
"4.3500","0.1421","1.2177"
"4.4000","0.1440","1.2830"
"4.4500","0.1455","1.1629"
"4.5000","0.1473","1.4312"
"4.5500","0.1488","1.3511"
"4.6000","0.1506","1.2503"
"4.6500","0.1520","1.4098"
"4.7000","0.1538","1.2955"
"4.7500","0.1556","1.3464"
"4.8000","0.1571","1.3823"
"4.8500","0.1590","1.4815"
"4.9000","0.1605","1.6076"
"4.9500","0.1623","1.3822"
"5.0000","0.1636","1.3815"
"5.0500","0.1655","1.2794"
"5.1000","0.1672","1.3859"
"5.1500","0.1688","1.2569"
"5.2000","0.1706","1.3890"
"5.2500","0.1722","1.3034"
"5.3000","0.1740","1.5987"
"5.3500","0.1753","1.3837"
"5.4000","0.1772","1.3822"
"5.4500","0.1788","1.3343"
"5.5000","0.1805","1.4854"
"5.5500","0.1822","1.5897"
"5.6000","0.1838","1.4241"
"5.6500","0.1856","1.1635"
"5.7000","0.1869","1.5582"
"5.7500","0.1889","1.2963"
"5.8000","0.1905","1.4411"
"5.8500","0.1922","1.3090"
"5.9000","0.1939","1.4214"
"5.9500","0.1955","1.3964"
"6.0000","0.1972","1.3953"
"6.0500","0.1986","1.5255"
"6.1000","0.2006","1.2936"
"6.1500","0.2021","1.2933"
"6.2000","0.2039","1.4243"
"6.2500","0.2055","1.3324"
"6.3000","0.2072","1.4263"
"6.3500","0.2089","1.3615"
"6.4000","0.2103","1.3945"
"6.4500","0.2124","1.4785"
"6.5000","0.2138","1.4522"
"6.5500","0.2156","1.2190"
"6.6000","0.2171","1.4244"
"6.6500","0.2190","1.4146"
"6.7000","0.2205","1.4412"
"6.7500","0.2220","1.3914"
"6.8000","0.2240","1.1811"
"6.8500","0.2254","1.4435"
"6.9000","0.2273","1.2868"
"6.9500","0.2288","1.2933"
"7.0000","0.2306","1.4312"
"7.0500","0.2321","1.3450"
"7.1000","0.2337","1.4456"
"7.1500","0.2356","1.4448"
"7.2000","0.2372","1.5053"
"7.2500","0.2390","1.5180"
"7.3000","0.2403","1.6174"
"7.3500","0.2422","1.9098"
"7.4000","0.2437","1.6872"
"7.4500","0.2454","1.7623"
"7.5000","0.2473","1.6418"
"7.5500","0.2487","1.6975"
"7.6000","0.2506","1.7496"
"7.6500","0.2520","1.7194"
"7.7000","0.2540","1.7763"
"7.7500","0.2554","1.9199"
"7.8000","0.2572","1.8725"
"7.8500","0.2589","2.1096"
"7.9000","0.2604","2.3681"
"7.9500","0.2622","2.3552"
"8.0000","0.2638","2.8851"
"8.0500","0.2657","3.5005"
"8.1000","0.2669","3.8130"
"8.1500","0.2688","4.8328"
"8.2000","0.2705","5.7064"
"8.2500","0.2722","6.9883"
"8.3000","0.2740","8.3111"
"8.3500","0.2755","9.1453"
"8.4000","0.2773","10.4491"
"8.4500","0.2786","11.5110"
"8.5000","0.2806","13.2229"
"8.5500","0.2822","14.1209"
"8.6000","0.2839","15.5551"
"8.6500","0.2855","16.6095"
"8.7000","0.2871","17.7850"
"8.7500","0.2889","19.1709"
"8.8000","0.2903","20.3538"
"8.8500","0.2924","22.3544"
"8.9000","0.2938","23.5551"
"8.9500","0.2955","25.1258"
"9.0000","0.2972","26.3090"
"9.0500","0.2989","27.8715"
"9.1000","0.3005","29.3556"
"9.1500","0.3020","30.4034"
"9.2000","0.3039","32.4008"
"9.2500","0.3054","33.6138"
"9.3000","0.3072","35.3810"
"9.3500","0.3089","36.7620"
"9.4000","0.3106","38.5878"
"9.4500","0.3121","39.9548"
"9.5000","0.3136","41.2326"
"9.5500","0.3156","43.4086"
"9.6000","0.3171","45.0124"
"9.6500","0.3190","46.8227"
"9.7000","0.3205","48.2726"
"9.7500","0.3222","50.1016"
"9.8000","0.3237","51.6113"
"9.8500","0.3254","53.3962"
"9.9000","0.3274","55.4226"
"9.9500","0.3288","56.9215"
"10.0000","0.3306","58.8372"
"10.0500","0.3321","60.4198"
"10.1000","0.3339","62.4144"
"10.1500","0.3354","64.1124"
"10.2000","0.3371","65.7019"
"10.2500","0.3389","67.8579"
"10.3000","0.3404","69.5979"
"10.3500","0.3422","71.6411"
"10.4000","0.3438","73.5399"
"10.4500","0.3457","75.6277"
"10.5000","0.3470","77.0877"
"10.5500","0.3487","78.8943"
"10.6000","0.3506","81.3172"
"10.6500","0.3522","83.0548"
"10.7000","0.3540","85.0952"
"10.7500","0.3554","86.7731"
"10.8000","0.3573","88.9085"
"10.8500","0.3586","90.5709"
"10.9000","0.3605","92.9232"
"10.9500","0.3623","94.9454"
"11.0000","0.3638","96.5866"
"11.0500","0.3656","98.8020"
"11.1000","0.3671","100.5315"
"11.1500","0.3689","102.9249"
"11.2000","0.3703","104.3901"
"11.2500","0.3722","106.7827"
"11.3000","0.3739","108.7973"
"11.3500","0.3755","110.4969"
"11.4000","0.3772","112.7031"
"11.4500","0.3788","114.6093"
"11.5000","0.3806","116.8256"
"11.5500","0.3819","118.2025"
"11.6000","0.3839","120.6983"
"11.6500","0.3855","122.9437"
"11.7000","0.3872","124.7229"
"11.7500","0.3889","127.0808"
"11.8000","0.3905","128.8533"
"11.8500","0.3922","131.1251"
"11.9000","0.3936","132.3148"
"11.9500","0.3956","135.1672"
"12.0000","0.3972","136.8491"
"12.0500","0.3989","139.0909"
"12.1000","0.4006","141.1406"
"12.1500","0.4022","143.2247"
"12.2000","0.4039","145.0835"
"12.2500","0.4053","146.9395"
"12.3000","0.4073","149.6020"
"12.3500","0.4087","151.0123"
"12.4000","0.4105","153.3808"
"12.4500","0.4122","155.5352"
"12.5000","0.4139","157.6560"
"12.5500","0.4155","159.5368"
"12.6000","0.4170","161.2343"
"12.6500","0.4190","164.0626"
"12.7000","0.4204","165.5202"
"12.7500","0.4222","167.8548"
"12.8000","0.4238","169.7433"
"12.8500","0.4256","171.9791"
"12.9000","0.4271","173.7095"
"12.9500","0.4286","175.7596"
"13.0000","0.4306","178.2365"
