
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-1.0476"
"0.2500","0.0029","4.0423"
"0.5000","0.0090","16.0015"
"0.7500","0.0146","26.2088"
"1.0000","0.0200","36.6323"
"1.2500","0.0252","46.8602"
"1.5000","0.0310","58.5220"
"1.7500","0.0359","68.6712"
"2.0000","0.0418","81.7791"
"2.2500","0.0469","94.2105"
"2.5000","0.0525","108.6409"
"2.7500","0.0580","124.1821"
"3.0000","0.0632","138.9086"
"3.2500","0.0690","156.3265"
"3.5000","0.0741","171.1119"
"3.7500","0.0798","188.7438"
"4.0000","0.0851","205.2188"
"4.2500","0.0903","221.4622"
"4.5000","0.0960","241.5640"
"4.7500","0.1011","259.7037"
"5.0000","0.1068","281.8704"
"5.2500","0.1120","302.6675"
"5.5000","0.1173","325.9554"
"5.7500","0.1229","351.6510"
"6.0000","0.1281","375.9490"
"6.2500","0.1339","406.3811"
"6.5000","0.1389","432.0936"
"6.7500","0.1447","464.3886"
"7.0000","0.1500","494.0475"
"7.2500","0.1554","525.0649"
"7.5000","0.1611","559.3284"
"7.7500","0.1661","589.5672"
"8.0000","0.1718","625.2549"
"8.2500","0.1771","657.8197"
"8.5000","0.1825","692.0827"
"8.7500","0.1881","728.2217"
"9.0000","0.1932","760.4614"
"9.2500","0.1988","797.2795"
"9.5000","0.2040","831.2747"
"9.7500","0.2095","867.2202"
"10.0000","0.2151","904.4778"
"10.2500","0.2201","937.9996"
"10.5000","0.2260","978.3171"
"10.7500","0.2310","1011.2603"
"11.0000","0.2368","1051.3577"
"11.2500","0.2420","1086.8044"
"11.5000","0.2475","1125.0305"
"11.7500","0.2531","1163.9701"
"12.0000","0.2582","1199.7916"
"12.2500","0.2640","1241.1660"
"12.5000","0.2691","1277.6633"
"12.7500","0.2747","1318.1283"
"13.0000","0.2801","1356.9908"
"13.2500","0.2854","1394.9188"
"13.5000","0.2910","1436.5778"
"13.7500","0.2961","1474.2090"
"14.0000","0.3017","1515.2246"
"14.2500","0.3070","1554.9661"
"14.5000","0.3123","1594.4061"
