
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0078"
"0.0500","0.0001","0.1591"
"0.1000","0.0008","-0.0733"
"0.1500","0.0010","-0.1121"
"0.2000","0.0028","-0.0421"
"0.2500","0.0057","-0.0110"
"0.3000","0.0076","0.0160"
"0.3500","0.0092","-0.0868"
"0.4000","0.0112","0.0621"
"0.4500","0.0126","0.0230"
"0.5000","0.0145","-0.0015"
"0.5500","0.0159","0.0168"
"0.6000","0.0179","0.1052"
"0.6500","0.0192","0.1049"
"0.7000","0.0209","0.1472"
"0.7500","0.0228","0.0118"
"0.8000","0.0244","-0.0770"
"0.8500","0.0261","-0.1471"
"0.9000","0.0276","0.1882"
"0.9500","0.0295","0.0745"
"1.0000","0.0308","0.1328"
"1.0500","0.0327","0.0306"
"1.1000","0.0344","0.0670"
"1.1500","0.0360","0.3349"
"1.2000","0.0377","0.1645"
"1.2500","0.0392","-0.0152"
"1.3000","0.0412","0.1901"
"1.3500","0.0425","0.1171"
"1.4000","0.0444","-0.0652"
"1.4500","0.0461","0.0267"
"1.5000","0.0477","0.0966"
"1.5500","0.0494","0.1449"
"1.6000","0.0510","0.0979"
"1.6500","0.0528","0.1090"
"1.7000","0.0541","0.0725"
"1.7500","0.0561","0.1998"
"1.8000","0.0577","0.2656"
"1.8500","0.0595","0.0956"
"1.9000","0.0610","0.1454"
"1.9500","0.0627","0.2932"
"2.0000","0.0644","0.1181"
"2.0500","0.0658","0.2270"
"2.1000","0.0679","0.2978"
"2.1500","0.0694","0.1765"
"2.2000","0.0711","0.2461"
"2.2500","0.0727","0.0939"
"2.3000","0.0744","0.3186"
"2.3500","0.0760","0.3110"
"2.4000","0.0775","0.2254"
"2.4500","0.0795","0.2540"
"2.5000","0.0809","0.4043"
"2.5500","0.0828","0.1151"
"2.6000","0.0843","0.2757"
"2.6500","0.0861","0.3301"
"2.7000","0.0876","0.3579"
"2.7500","0.0892","0.4426"
"2.8000","0.0911","0.4702"
"2.8500","0.0926","0.3587"
"2.9000","0.0945","0.5049"
