
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0965"
"0.1000","0.0024","1.9322"
"0.2000","0.0101","9.8586"
"0.3000","0.0194","19.2588"
"0.4000","0.0278","27.4458"
"0.5000","0.0362","36.0608"
"0.6000","0.0446","44.3121"
"0.7000","0.0529","52.4764"
"0.8000","0.0612","60.7915"
"0.9000","0.0696","69.1445"
"1.0000","0.0779","77.2387"
"1.1000","0.0862","85.2058"
"1.2000","0.0945","93.1901"
"1.3000","0.1030","101.6310"
"1.4000","0.1113","109.6710"
"1.5000","0.1195","117.6842"
"1.6000","0.1278","125.6327"
"1.7000","0.1362","133.8247"
"1.8000","0.1445","141.8360"
"1.9000","0.1529","149.8250"
"2.0000","0.1612","157.8653"
"2.1000","0.1696","165.7192"
"2.2000","0.1778","173.9019"
"2.3000","0.1862","181.5144"
"2.4000","0.1946","189.5971"
"2.5000","0.2029","197.4717"
"2.6000","0.2112","205.3064"
"2.7000","0.2196","213.2203"
"2.8000","0.2279","221.1190"
"2.9000","0.2362","228.8341"
"3.0000","0.2445","236.6605"
"3.1000","0.2529","244.5140"
"3.2000","0.2612","252.1856"
"3.3000","0.2695","259.9428"
"3.4000","0.2779","267.7504"
"3.5000","0.2863","275.5898"
"3.6000","0.2946","283.1737"
"3.7000","0.3028","290.7893"
"3.8000","0.3112","298.4247"
"3.9000","0.3196","306.0134"
"4.0000","0.3279","313.6984"
"4.1000","0.3362","321.1543"
"4.2000","0.3446","328.8202"
"4.3000","0.3530","336.1626"
"4.4000","0.3612","343.8347"
"4.5000","0.3695","351.2415"
"4.6000","0.3779","358.8617"
"4.7000","0.3862","366.3757"
"4.8000","0.3946","373.6324"
"4.9000","0.4029","381.0971"
"5.0000","0.4113","388.7577"
"5.1000","0.4196","395.9409"
"5.2000","0.4278","403.5037"
"5.3000","0.4362","410.7895"
"5.4000","0.4446","418.0471"
"5.5000","0.4529","425.3457"
"5.6000","0.4612","432.6000"
"5.7000","0.4696","439.7814"
"5.8000","0.4779","447.1472"
"5.9000","0.4862","454.1972"
"6.0000","0.4945","461.3466"
"6.1000","0.5029","468.3072"
"6.2000","0.5112","475.3805"
"6.3000","0.5195","482.7661"
"6.4000","0.5280","489.7390"
"6.5000","0.5363","496.8200"
"6.6000","0.5445","503.8938"
"6.7000","0.5528","510.9049"
"6.8000","0.5612","517.8795"
"6.9000","0.5695","524.8023"
"7.0000","0.5778","531.6110"
"7.1000","0.5863","538.6367"
"7.2000","0.5946","545.5978"
"7.3000","0.6029","552.0840"
"7.4000","0.6112","559.1023"
"7.5000","0.6196","565.7790"
"7.6000","0.6279","572.6961"
"7.7000","0.6362","579.3956"
"7.8000","0.6446","586.0911"
"7.9000","0.6529","592.8536"
"8.0000","0.6612","599.2125"
"8.1000","0.6695","605.8849"
"8.2000","0.6779","612.6038"
"8.3000","0.6862","618.9910"
"8.4000","0.6945","625.3101"
"8.5000","0.7028","632.0042"
"8.6000","0.7113","638.4056"
"8.7000","0.7196","644.6948"
"8.8000","0.7279","651.0905"
"8.9000","0.7362","657.0662"
"9.0000","0.7446","663.3365"
"9.1000","0.7529","669.6651"
"9.2000","0.7612","675.7792"
"9.3000","0.7696","682.2080"
"9.4000","0.7780","688.1495"
"9.5000","0.7862","693.9634"
"9.6000","0.7945","700.0042"
"9.7000","0.8029","705.8670"
"9.8000","0.8112","711.7285"
"9.9000","0.8195","717.5429"
"10.0000","0.8279","723.1848"
"10.1000","0.8363","729.1085"
"10.2000","0.8446","734.4485"
"10.3000","0.8528","739.9198"
"10.4000","0.8612","745.3851"
"10.5000","0.8696","750.7540"
"10.6000","0.8779","756.2124"
"10.7000","0.8862","761.2950"
"10.8000","0.8947","766.7656"
"10.9000","0.9029","771.4379"
"11.0000","0.9112","776.2443"
"11.1000","0.9195","781.2816"
"11.2000","0.9279","785.9532"
"11.3000","0.9362","790.7643"
"11.4000","0.9445","795.1453"
"11.5000","0.9530","799.6349"
"11.6000","0.9613","803.6641"
"11.7000","0.9695","807.6537"
"11.8000","0.9778","811.7840"
"11.9000","0.9863","815.4909"
"12.0000","0.9946","819.0458"
"12.1000","1.0029","822.2782"
"12.2000","1.0113","825.6187"
"12.3000","1.0196","828.4772"
"12.4000","1.0279","830.9636"
"12.5000","1.0361","833.3479"
"12.6000","1.0446","835.4423"
"12.7000","1.0529","837.2317"
"12.8000","1.0612","837.9470"
"12.9000","1.0696","838.6369"
"13.0000","1.0780","838.6349"
"13.1000","1.0863","836.8638"
"13.2000","1.0945","353.4644"
"13.2290","1.0971","-3.1452"

