
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.2509"
"0.0500","0.0001","-0.0270"
"0.1000","0.0008","-0.1314"
"0.1500","0.0011","-0.0947"
"0.2000","0.0031","-0.0641"
"0.2500","0.0058","-0.0875"
"0.3000","0.0077","-0.0714"
"0.3500","0.0094","0.1104"
"0.4000","0.0110","0.0766"
"0.4500","0.0125","-0.0899"
"0.5000","0.0146","-0.0502"
"0.5500","0.0161","0.0172"
"0.6000","0.0178","0.2036"
"0.6500","0.0194","-0.0251"
"0.7000","0.0212","0.1606"
"0.7500","0.0227","0.2411"
"0.8000","0.0244","-0.0559"
"0.8500","0.0263","0.1462"
"0.9000","0.0277","-0.1298"
"0.9500","0.0295","-0.0721"
"1.0000","0.0310","0.0865"
"1.0500","0.0329","0.0129"
"1.1000","0.0344","-0.0137"
"1.1500","0.0360","0.0635"
"1.2000","0.0379","-0.0286"
"1.2500","0.0394","-0.1054"
"1.3000","0.0412","0.1379"
"1.3500","0.0428","0.1162"
"1.4000","0.0446","-0.0298"
"1.4500","0.0459","-0.0216"
"1.5000","0.0477","0.1754"
"1.5500","0.0496","0.0619"
"1.6000","0.0511","0.0247"
"1.6500","0.0529","0.2023"
"1.7000","0.0544","-0.0228"
"1.7500","0.0562","0.0148"
"1.8000","0.0576","0.1300"
"1.8500","0.0595","0.0610"
"1.9000","0.0612","-0.0953"
"1.9500","0.0627","0.0149"
"2.0000","0.0645","0.0418"
"2.0500","0.0661","-0.1319"
"2.1000","0.0679","0.2107"
"2.1500","0.0693","0.1287"
"2.2000","0.0712","-0.0131"
"2.2500","0.0728","0.0547"
"2.3000","0.0743","0.0341"
"2.3500","0.0762","0.1904"
"2.4000","0.0778","-0.0138"
"2.4500","0.0796","-0.0483"
"2.5000","0.0809","-0.0922"
"2.5500","0.0828","0.0917"
"2.6000","0.0844","-0.0975"
"2.6500","0.0861","-0.0035"
"2.7000","0.0879","0.0474"
"2.7500","0.0894","0.0096"
"2.8000","0.0911","0.1388"
"2.8500","0.0925","0.2098"
"2.9000","0.0946","-0.0994"
"2.9500","0.0961","-0.0267"
"3.0000","0.0978","-0.1777"
"3.0500","0.0995","0.2083"
"3.1000","0.1011","0.0341"
"3.1500","0.1028","0.2018"
"3.2000","0.1043","0.0224"
"3.2500","0.1063","0.0036"
"3.3000","0.1077","-0.0541"
"3.3500","0.1095","0.1716"
"3.4000","0.1111","0.0260"
"3.4500","0.1129","0.3224"
"3.5000","0.1145","0.2449"
"3.5500","0.1159","0.1273"
"3.6000","0.1180","0.0202"
"3.6500","0.1194","0.1032"
"3.7000","0.1212","0.0769"
"3.7500","0.1228","0.1889"
"3.8000","0.1246","0.1939"
"3.8500","0.1260","0.1394"
"3.9000","0.1276","0.1435"
"3.9500","0.1296","-0.0314"
"4.0000","0.1311","0.0560"
"4.0500","0.1329","0.0048"
"4.1000","0.1343","-0.0552"
"4.1500","0.1362","0.0689"
"4.2000","0.1376","0.2023"
"4.2500","0.1393","0.1638"
"4.3000","0.1413","0.0683"
"4.3500","0.1427","0.1444"
"4.4000","0.1445","0.0390"
"4.4500","0.1460","0.1091"
"4.5000","0.1479","0.1868"
"4.5500","0.1493","-0.0284"
"4.6000","0.1511","0.0174"
"4.6500","0.1529","0.1320"
"4.7000","0.1544","0.0900"
"4.7500","0.1562","0.1945"
"4.8000","0.1578","0.2622"
"4.8500","0.1596","-0.0463"
"4.9000","0.1609","0.0587"
"4.9500","0.1628","0.1031"
"5.0000","0.1645","0.0956"
"5.0500","0.1661","0.0423"
"5.1000","0.1679","-0.1008"
"5.1500","0.1694","0.1603"
"5.2000","0.1712","0.1326"
"5.2500","0.1725","0.0683"
"5.3000","0.1745","0.1585"
"5.3500","0.1762","-0.1732"
"5.4000","0.1778","-0.2354"
"5.4500","0.1795","0.1315"
"5.5000","0.1811","0.1181"
"5.5500","0.1828","-0.1179"
"5.6000","0.1842","0.0870"
"5.6500","0.1863","0.2077"
"5.7000","0.1877","-0.0230"
"5.7500","0.1895","0.0426"
"5.8000","0.1911","0.2313"
"5.8500","0.1928","0.1857"
"5.9000","0.1945","0.0619"
"5.9500","0.1959","0.0618"
"6.0000","0.1979","-0.1618"
"6.0500","0.1994","0.1118"
"6.1000","0.2012","0.0342"
"6.1500","0.2028","0.0063"
"6.2000","0.2045","0.0976"
"6.2500","0.2061","0.1594"
"6.3000","0.2076","0.2163"
"6.3500","0.2096","0.0532"
"6.4000","0.2111","0.1356"
"6.4500","0.2129","0.2286"
"6.5000","0.2145","0.1057"
"6.5500","0.2162","0.2664"
"6.6000","0.2177","0.0368"
"6.6500","0.2193","0.1288"
"6.7000","0.2213","0.2376"
"6.7500","0.2227","0.1686"
"6.8000","0.2245","0.0883"
"6.8500","0.2261","0.0734"
"6.9000","0.2279","-0.0846"
"6.9500","0.2293","0.0160"
"7.0000","0.2310","0.1219"
"7.0500","0.2329","0.1376"
"7.1000","0.2344","-0.1201"
"7.1500","0.2362","0.0670"
"7.2000","0.2378","-0.0431"
"7.2500","0.2396","0.0169"
"7.3000","0.2409","0.1276"
"7.3500","0.2427","0.2630"
"7.4000","0.2446","-0.0158"
"7.4500","0.2461","0.0608"
"7.5000","0.2479","0.0449"
"7.5500","0.2494","-0.1784"
"7.6000","0.2512","-0.0250"
"7.6500","0.2526","0.1348"
"7.7000","0.2544","0.0667"
"7.7500","0.2562","-0.0468"
"7.8000","0.2577","0.0838"
"7.8500","0.2595","-0.0300"
"7.9000","0.2610","0.0888"
"7.9500","0.2629","0.1039"
"8.0000","0.2643","0.1602"
"8.0500","0.2661","-0.0238"
"8.1000","0.2678","0.0500"
