
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0193"
"0.2500","0.0160","0.8638"
"0.5000","0.0370","1.8663"
"0.7500","0.0580","24.8528"
"1.0000","0.0788","56.8532"
"1.2500","0.0995","113.2384"
"1.5000","0.1204","154.0722"
"1.7500","0.1412","195.3737"
"2.0000","0.1621","243.4008"
"2.2500","0.1829","294.3363"
"2.5000","0.2037","346.6863"
"2.7500","0.2245","402.8108"
"3.0000","0.2453","463.6926"
"3.2500","0.2662","534.1785"
"3.5000","0.2872","613.9838"
"3.7500","0.3079","695.2164"
"4.0000","0.3287","780.9604"
"4.2500","0.3495","870.8799"
"4.5000","0.3704","963.4889"
"4.7500","0.3913","1056.6545"
"5.0000","0.4122","1150.8483"
"5.2500","0.4329","1258.2410"
"5.5000","0.4537","1374.3358"
"5.7500","0.4745","1500.1211"
"6.0000","0.4954","1634.1852"
"6.2500","0.5164","1775.7830"
"6.5000","0.5371","1921.6136"
"6.7500","0.5578","2075.5879"
"7.0000","0.5787","2234.8450"
"7.2500","0.5996","2398.3408"
"7.5000","0.6205","2565.7852"
"7.7500","0.6412","2733.0200"
"8.0000","0.6621","2902.2573"
"8.2500","0.6828","3072.8169"
"8.5000","0.7037","3246.0847"
"8.7500","0.7246","3420.3630"
"9.0000","0.7455","3594.6316"
"9.2500","0.7663","3767.0867"
"9.5000","0.7870","3935.1133"
"9.7500","0.8078","4106.3735"
"10.0000","0.8288","4277.9038"
"10.2500","0.8497","4446.6675"
"10.5000","0.8704","4612.4326"
"10.7500","0.8912","4777.0981"
"11.0000","0.9120","4939.5972"
"11.2500","0.9329","5102.4819"
"11.5000","0.9538","5266.7163"
"11.7500","0.9746","5426.2183"
"12.0000","0.9954","5585.8076"
"12.2500","1.0162","5741.8643"
"12.5000","1.0369","5899.5044"
"12.7500","1.0580","6060.5747"
"13.0000","1.0789","6219.3184"
"13.2500","1.0995","6370.8374"
"13.5000","1.1204","6524.2300"
"13.7500","1.1412","6676.4028"
"14.0000","1.1620","6827.4253"
"14.2500","1.1830","6978.6489"
"14.5000","1.2038","7124.0386"
"14.7500","1.2245","7266.8740"
"15.0000","1.2453","7406.4434"
"15.2500","1.2662","7548.1294"
"15.5000","1.2871","7687.0972"
"15.7500","1.3080","7824.7329"
"16.0000","1.3287","7954.8320"
"16.2500","1.3494","8084.1289"
"16.5000","1.3704","8215.1895"
"16.7500","1.3913","8343.4316"
"17.0000","1.4121","8468.2266"
"17.2500","1.4330","8591.0547"
"17.5000","1.4537","8707.5029"
"17.7500","1.4744","8822.3438"
"18.0000","1.4954","8934.8418"
"18.2500","1.5164","9048.4023"
"18.5000","1.5371","9156.1768"
"18.7500","1.5579","9262.6777"
"19.0000","1.5786","9363.8809"
"19.2500","1.5995","9465.8174"
"19.5000","1.6205","9566.1553"
"19.7500","1.6413","9662.1592"
"20.0000","1.6621","9754.9033"
"20.2500","1.6829","9843.7979"
"20.5000","1.7037","9930.4307"
"20.7500","1.7246","10017.0898"
"21.0000","1.7455","10103.4355"
"21.2500","1.7663","10181.7480"
"21.5000","1.7870","10258.2764"
"21.7500","1.8079","10333.4883"
"22.0000","1.8287","10408.1777"
"22.2500","1.8497","10482.6475"
"22.5000","1.8705","10551.3848"
"22.7500","1.8912","10616.4316"
"23.0000","1.9120","10679.9590"
"23.2500","1.9329","10743.1201"
"23.5000","1.9537","10804.7744"
"23.7500","1.9747","10868.3877"
"24.0000","1.9955","10922.5840"
"24.2500","2.0162","10975.5342"
"24.5000","2.0370","11027.0488"
"24.7500","2.0579","11081.0264"
"25.0000","2.0788","11132.7588"
"25.2500","2.0996","11179.9531"
"25.5000","2.1204","11222.9131"
"25.7500","2.1412","11266.6299"
"26.0000","2.1621","11308.9873"
"26.2500","2.1829","11351.5918"
"26.5000","2.2039","11394.2090"
"26.7500","2.2246","11428.9238"
"27.0000","2.2453","11462.9873"
"27.2500","2.2662","11496.5977"
"27.5000","2.2871","11533.2256"
"27.7500","2.3080","11566.8018"
"28.0000","2.3288","11596.6562"
"28.2500","2.3496","11624.5498"
"28.5000","2.3704","11652.7139"
"28.7500","2.3913","11681.3506"
"29.0000","2.4121","11709.3418"
"29.2500","2.4330","11736.0830"
"29.5000","2.4538","11760.0439"
"29.7500","2.4745","11779.1572"
"30.0000","2.4953","11802.4863"
"30.2500","2.5163","11829.0498"
"30.5000","2.5372","11850.2041"
"30.7500","2.5579","11868.9990"
"31.0000","2.5787","11887.2480"
"31.2500","2.5995","11904.0557"
"31.5000","2.6204","11922.9580"
"31.7500","2.6414","11944.4287"
"32.0000","2.6621","11957.9336"
"32.2500","2.6829","11974.9268"
"32.5000","2.7037","11988.1445"
"32.7500","2.7245","12002.7725"
"33.0000","2.7455","12022.1572"
"33.2500","2.7664","12038.1396"
"33.5000","2.7871","12047.8047"
"33.7500","2.8078","12060.0684"
"34.0000","2.8287","12073.8213"
"34.2500","2.8496","12087.9258"
"34.5000","2.8705","12101.0029"
"34.7500","2.8913","12111.3242"
"35.0000","2.9120","12121.7656"
"35.2500","2.9328","12131.4248"
"35.5000","2.9538","12145.2188"
"35.7500","2.9746","12157.1699"
"36.0000","2.9955","12171.3076"
"36.2500","3.0162","12177.1934"
"36.5000","3.0369","12184.0693"
"36.7500","3.0579","12197.0273"
"37.0000","3.0788","12208.7988"
"37.2500","3.0996","12217.4189"
"37.5000","3.1205","12228.6895"
"37.7500","3.1412","12233.6406"
"38.0000","3.1619","12240.5156"
"38.2500","3.1829","12253.3135"
"38.5000","3.2038","12264.7764"
"38.7500","3.2246","12273.9062"
"39.0000","3.2454","12281.7148"
"39.2500","3.2662","12288.2295"
"39.5000","3.2871","12299.2207"
"39.7500","3.3080","12309.4844"
"40.0000","3.3288","12316.6035"
"40.2500","3.3496","12326.0469"
"40.5000","3.3704","12332.3877"
"40.7500","3.3912","12340.2285"
"41.0000","3.4121","12350.7275"
