
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1960"
"0.1000","0.0004","0.0440"
"0.2000","0.0014","0.2950"
"0.3000","0.0064","0.5241"
"0.4000","0.0101","0.8275"
"0.5000","0.0135","1.1834"
"0.6000","0.0167","1.2888"
"0.7000","0.0202","1.5200"
"0.8000","0.0236","1.7951"
"0.9000","0.0269","1.6689"
"1.0000","0.0303","1.8330"
"1.1000","0.0335","2.1255"
"1.2000","0.0369","2.3045"
"1.3000","0.0400","2.5897"
"1.4000","0.0435","2.5927"
"1.5000","0.0469","2.6391"
"1.6000","0.0502","2.5846"
"1.7000","0.0537","2.7218"
"1.8000","0.0569","2.7517"
"1.9000","0.0603","2.5332"
"2.0000","0.0634","2.7816"
"2.1000","0.0668","2.8582"
"2.2000","0.0702","2.8590"
"2.3000","0.0734","3.0103"
"2.4000","0.0770","3.1414"
"2.5000","0.0803","3.4036"
"2.6000","0.0836","3.6500"
"2.7000","0.0868","3.7800"
"2.8000","0.0901","3.7659"
"2.9000","0.0935","3.7737"
"3.0000","0.0967","3.9132"
"3.1000","0.1003","4.2363"
"3.2000","0.1036","4.1242"
"3.3000","0.1071","4.3090"
"3.4000","0.1102","4.0289"
"3.5000","0.1135","4.3744"
"3.6000","0.1168","4.3951"
"3.7000","0.1200","4.1324"
"3.8000","0.1236","4.5108"
"3.9000","0.1270","4.5249"
"4.0000","0.1303","4.6149"
"4.1000","0.1337","4.7645"
"4.2000","0.1368","4.7958"
"4.3000","0.1402","4.9893"
"4.4000","0.1433","5.2446"
"4.5000","0.1468","5.1606"
"4.6000","0.1503","5.4596"
"4.7000","0.1536","5.5801"
"4.8000","0.1570","5.4413"
"4.9000","0.1602","5.5851"
"5.0000","0.1636","5.6616"
"5.1000","0.1667","5.8013"
"5.2000","0.1701","5.9051"
"5.3000","0.1736","5.9869"
"5.4000","0.1768","5.8981"
"5.5000","0.1804","6.1503"
"5.6000","0.1836","6.2004"
"5.7000","0.1871","6.2204"
"5.8000","0.1901","6.3573"
"5.9000","0.1935","6.6073"
"6.0000","0.1968","6.6594"
"6.1000","0.2000","6.9718"
"6.2000","0.2037","7.2890"
"6.3000","0.2070","7.6414"
"6.4000","0.2103","7.4681"
"6.5000","0.2135","7.7998"
"6.6000","0.2168","8.1677"
"6.7000","0.2201","8.2776"
"6.8000","0.2233","8.3266"
"6.9000","0.2269","8.6519"
"7.0000","0.2303","8.6690"
"7.1000","0.2337","8.8489"
"7.2000","0.2370","9.1789"
"7.3000","0.2403","9.7840"
"7.4000","0.2436","10.3263"
"7.5000","0.2466","10.6928"
"7.6000","0.2502","11.4754"
"7.7000","0.2536","11.8791"
"7.8000","0.2568","12.3827"
"7.9000","0.2604","13.0086"
"8.0000","0.2636","13.7828"
"8.1000","0.2670","14.8173"
"8.2000","0.2700","15.7589"
"8.3000","0.2734","16.6906"
"8.4000","0.2769","17.6992"
"8.5000","0.2801","18.8484"
"8.6000","0.2837","20.4954"
"8.7000","0.2870","23.0626"
"8.8000","0.2903","25.7860"
"8.9000","0.2935","29.0007"
"9.0000","0.2968","32.1610"
"9.1000","0.3002","36.0125"
"9.2000","0.3034","39.9514"
"9.3000","0.3070","44.2713"
"9.4000","0.3103","48.5637"
"9.5000","0.3137","52.6629"
"9.6000","0.3169","56.9270"
"9.7000","0.3202","61.1197"
"9.8000","0.3235","65.6524"
"9.9000","0.3266","70.1387"
"10.0000","0.3303","75.4994"
"10.1000","0.3336","80.2352"
"10.2000","0.3369","85.3429"
"10.3000","0.3403","91.1715"
"10.4000","0.3435","96.5567"
"10.5000","0.3469","102.4179"
"10.6000","0.3500","107.9732"
"10.7000","0.3535","114.3141"
"10.8000","0.3569","120.4845"
"10.9000","0.3602","126.6253"
"11.0000","0.3637","133.0458"
"11.1000","0.3669","139.1335"
"11.2000","0.3703","145.4149"
"11.3000","0.3734","150.8837"
"11.4000","0.3768","156.8918"
"11.5000","0.3802","163.3168"
"11.6000","0.3835","169.0912"
"11.7000","0.3870","175.7639"
"11.8000","0.3903","181.5184"
"11.9000","0.3937","188.2013"
"12.0000","0.3967","193.6280"
"12.1000","0.4001","200.1011"
"12.2000","0.4035","206.4045"
"12.3000","0.4067","212.3454"
"12.4000","0.4103","219.2477"
"12.5000","0.4137","225.6674"
"12.6000","0.4170","231.9141"
"12.7000","0.4202","238.0430"
"12.8000","0.4234","243.9150"
"12.9000","0.4269","250.6131"
"13.0000","0.4300","256.3187"
"13.1000","0.4336","263.3817"
"13.2000","0.4369","269.6517"
"13.3000","0.4404","276.1163"
"13.4000","0.4436","281.9984"
"13.5000","0.4469","288.1208"
"13.6000","0.4502","293.8999"
"13.7000","0.4533","299.4368"
"13.8000","0.4568","306.2001"
"13.9000","0.4602","311.8128"
"14.0000","0.4636","317.8952"
"14.1000","0.4671","324.2788"
"14.2000","0.4703","329.7154"
"14.3000","0.4737","335.6977"
"14.4000","0.4767","340.5507"
"14.5000","0.4801","346.4247"
"14.6000","0.4835","351.9622"
"14.7000","0.4868","357.7678"
"14.8000","0.4904","363.6706"
"14.9000","0.4937","369.2819"
"15.0000","0.4970","374.3418"
"15.1000","0.5002","379.7832"
"15.2000","0.5035","384.8691"
"15.3000","0.5069","390.1648"
"15.4000","0.5100","395.0207"
"15.5000","0.5136","401.1085"
"15.6000","0.5170","406.4105"
"15.7000","0.5203","411.4237"
"15.8000","0.5236","416.7701"
"15.9000","0.5269","421.6262"
"16.0000","0.5302","426.9078"
"16.1000","0.5333","431.0165"
"16.2000","0.5369","436.7823"
"16.3000","0.5403","441.6707"
"16.4000","0.5436","446.7575"
"16.5000","0.5470","451.8595"
"16.6000","0.5502","456.2805"
"16.7000","0.5537","461.5013"
"16.8000","0.5566","465.5159"
"16.9000","0.5602","470.7598"
"17.0000","0.5636","475.3864"
"17.1000","0.5668","480.0200"
"17.2000","0.5703","485.3191"
"17.3000","0.5735","489.5266"
"17.4000","0.5769","494.3447"
"17.5000","0.5801","498.1514"
"17.6000","0.5834","502.8706"
"17.7000","0.5868","507.6310"
"17.8000","0.5901","511.7050"
"17.9000","0.5937","516.7322"
"18.0000","0.5970","521.1436"
"18.1000","0.6003","525.5027"
"18.2000","0.6034","529.2161"
"18.3000","0.6068","533.6429"
"18.4000","0.6102","537.8859"
"18.5000","0.6134","541.8281"
"18.6000","0.6170","546.5382"
"18.7000","0.6203","550.9003"
"18.8000","0.6237","555.1264"
"18.9000","0.6269","558.7799"
"19.0000","0.6301","562.5724"
"19.1000","0.6335","566.8718"
"19.2000","0.6366","570.4085"
"19.3000","0.6402","575.0634"
"19.4000","0.6436","579.0003"
"19.5000","0.6470","583.1953"
"19.6000","0.6503","587.0769"
"19.7000","0.6535","590.8026"
"19.8000","0.6569","594.6677"
"19.9000","0.6600","598.2858"
"20.0000","0.6635","602.3140"
"20.1000","0.6669","606.4545"
"20.2000","0.6702","609.9868"
"20.3000","0.6737","614.2491"
"20.4000","0.6770","617.8194"
"20.5000","0.6803","621.6525"
"20.6000","0.6833","624.5732"
"20.7000","0.6869","628.7167"
"20.8000","0.6901","632.0289"
"20.9000","0.6934","635.6493"
"21.0000","0.6971","640.0928"
"21.1000","0.7003","643.6147"
"21.2000","0.7037","647.1727"
"21.3000","0.7068","650.2230"
"21.4000","0.7101","653.7786"
"21.5000","0.7135","657.3998"
"21.6000","0.7167","660.4389"
"21.7000","0.7203","664.5549"
"21.8000","0.7237","668.3495"
"21.9000","0.7270","671.9372"
"22.0000","0.7303","675.1325"
"22.1000","0.7336","678.4542"
"22.2000","0.7368","681.7208"
"22.3000","0.7400","684.8507"
"22.4000","0.7435","688.4687"
"22.5000","0.7469","691.8979"
"22.6000","0.7503","695.2658"
"22.7000","0.7536","698.7725"
"22.8000","0.7569","701.8715"
"22.9000","0.7603","705.4586"
"23.0000","0.7633","708.0303"
"23.1000","0.7668","711.6924"
"23.2000","0.7703","715.2136"
"23.3000","0.7735","718.0016"
"23.4000","0.7771","721.9166"
"23.5000","0.7803","724.8918"
"23.6000","0.7836","727.9637"
"23.7000","0.7868","730.8167"
"23.8000","0.7901","733.7098"
"23.9000","0.7936","736.9771"
"24.0000","0.7967","739.8775"
"24.1000","0.8003","743.1846"
"24.2000","0.8037","746.4631"
"24.3000","0.8070","749.3425"
"24.4000","0.8101","752.0069"
"24.5000","0.8135","755.0627"
"24.6000","0.8168","757.9080"
"24.7000","0.8200","760.5626"
"24.8000","0.8236","763.9669"
"24.9000","0.8269","766.9069"
"25.0000","0.8304","769.8791"
"25.1000","0.8335","772.4830"
"25.2000","0.8368","775.0567"
"25.3000","0.8402","778.1211"
"25.4000","0.8433","780.1123"
"25.5000","0.8469","783.6688"
"25.6000","0.8503","786.6425"
"25.7000","0.8536","789.0328"
"25.8000","0.8570","791.8986"
"25.9000","0.8602","794.0070"
"26.0000","0.8636","797.0148"
"26.1000","0.8667","799.1152"
"26.2000","0.8701","802.0472"
"26.3000","0.8736","804.8505"
"26.4000","0.8769","807.5469"
"26.5000","0.8803","810.3087"
"26.6000","0.8836","812.7905"
"26.7000","0.8869","815.3613"
"26.8000","0.8900","817.4545"
"26.9000","0.8935","820.1190"
"27.0000","0.8968","822.8375"
"27.1000","0.9001","825.2582"
"27.2000","0.9037","828.3986"
"27.3000","0.9070","830.8087"
"27.4000","0.9104","833.7227"
"27.5000","0.9134","835.5453"
"27.6000","0.9168","838.0876"
"27.7000","0.9202","840.8696"
"27.8000","0.9233","842.9933"
"27.9000","0.9270","846.3397"
"28.0000","0.9303","848.7966"
"28.1000","0.9336","851.4690"
"28.2000","0.9369","853.9424"
"28.3000","0.9401","856.2249"
"28.4000","0.9435","858.5819"
"28.5000","0.9467","861.0468"
"28.6000","0.9502","864.0419"
"28.7000","0.9536","866.5579"
"28.8000","0.9570","869.1240"
"28.9000","0.9603","871.6716"
"29.0000","0.9636","874.4084"
"29.1000","0.9669","876.7576"
"29.2000","0.9700","878.8362"
"29.3000","0.9735","881.8361"
"29.4000","0.9769","884.2917"
"29.5000","0.9801","886.5252"
"29.6000","0.9837","889.7115"
"29.7000","0.9869","892.1490"
