
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0769"
"0.0500","0.0001","-0.1556"
"0.1000","0.0008","0.0878"
"0.1500","0.0011","0.0161"
"0.2000","0.0031","0.0052"
"0.2500","0.0058","0.1225"
"0.3000","0.0078","0.0325"
"0.3500","0.0095","-0.1141"
"0.4000","0.0112","0.1326"
"0.4500","0.0126","0.1262"
"0.5000","0.0146","0.0184"
"0.5500","0.0161","0.0266"
"0.6000","0.0179","0.1255"
"0.6500","0.0195","0.2174"
"0.7000","0.0212","0.0427"
"0.7500","0.0228","-0.0201"
"0.8000","0.0242","0.0421"
"0.8500","0.0264","0.0149"
"0.9000","0.0278","0.2477"
"0.9500","0.0296","0.0901"
"1.0000","0.0311","0.0641"
"1.0500","0.0329","0.1046"
"1.1000","0.0345","-0.2136"
"1.1500","0.0360","-0.1889"
"1.2000","0.0380","-0.0451"
"1.2500","0.0395","-0.0480"
"1.3000","0.0413","-0.0693"
"1.3500","0.0427","0.0754"
"1.4000","0.0446","0.0360"
"1.4500","0.0460","0.0246"
"1.5000","0.0477","0.0550"
"1.5500","0.0497","-0.0287"
"1.6000","0.0511","-0.0930"
"1.6500","0.0530","0.1174"
"1.7000","0.0544","0.0073"
"1.7500","0.0563","0.1603"
"1.8000","0.0577","-0.0550"
"1.8500","0.0594","0.0771"
"1.9000","0.0613","0.2266"
"1.9500","0.0628","0.0971"
"2.0000","0.0646","0.1844"
"2.0500","0.0661","0.0206"
"2.1000","0.0680","0.0901"
"2.1500","0.0693","0.0976"
"2.2000","0.0712","0.0586"
"2.2500","0.0729","0.2263"
"2.3000","0.0745","0.1054"
"2.3500","0.0763","0.1004"
"2.4000","0.0778","0.0205"
"2.4500","0.0796","0.0440"
"2.5000","0.0809","0.0270"
"2.5500","0.0829","0.0136"
"2.6000","0.0846","0.0618"
"2.6500","0.0862","-0.2300"
"2.7000","0.0879","0.1163"
"2.7500","0.0895","0.1488"
"2.8000","0.0912","0.0178"
"2.8500","0.0926","0.0322"
"2.9000","0.0947","0.0562"
"2.9500","0.0962","-0.0963"
"3.0000","0.0979","0.0980"
"3.0500","0.0996","0.1365"
"3.1000","0.1012","0.1533"
"3.1500","0.1029","-0.0311"
"3.2000","0.1043","-0.1554"
"3.2500","0.1062","0.0231"
"3.3000","0.1077","0.0862"
"3.3500","0.1095","0.0279"
"3.4000","0.1112","-0.0442"
"3.4500","0.1129","-0.0596"
"3.5000","0.1145","0.1080"
"3.5500","0.1159","0.2963"
"3.6000","0.1180","0.1799"
"3.6500","0.1194","0.1015"
"3.7000","0.1213","0.0985"
"3.7500","0.1229","-0.0280"
"3.8000","0.1245","0.0147"
"3.8500","0.1261","0.1623"
"3.9000","0.1277","0.0214"
"3.9500","0.1297","0.0308"
"4.0000","0.1311","0.0861"
"4.0500","0.1329","-0.0018"
"4.1000","0.1344","0.1354"
"4.1500","0.1362","0.0071"
"4.2000","0.1378","0.0654"
"4.2500","0.1394","0.0293"
"4.3000","0.1413","0.1909"
"4.3500","0.1428","-0.0188"
"4.4000","0.1446","0.0503"
"4.4500","0.1462","0.2365"
"4.5000","0.1480","0.1759"
"4.5500","0.1493","0.1928"
"4.6000","0.1510","-0.0677"
"4.6500","0.1529","0.0963"
"4.7000","0.1545","0.2321"
"4.7500","0.1563","0.0572"
"4.8000","0.1578","0.0052"
"4.8500","0.1596","0.1170"
"4.9000","0.1609","0.0833"
"4.9500","0.1627","-0.0531"
"5.0000","0.1646","-0.0483"
"5.0500","0.1661","-0.0012"
"5.1000","0.1679","0.0044"
"5.1500","0.1694","-0.2225"
"5.2000","0.1713","-0.0035"
"5.2500","0.1726","0.1646"
"5.3000","0.1745","-0.0712"
"5.3500","0.1763","0.1118"
"5.4000","0.1778","0.2200"
"5.4500","0.1795","0.1460"
"5.5000","0.1811","0.1253"
"5.5500","0.1830","0.0989"
"5.6000","0.1843","0.0731"
"5.6500","0.1862","0.3247"
"5.7000","0.1879","-0.1518"
"5.7500","0.1895","0.0830"
"5.8000","0.1913","0.0469"
"5.8500","0.1929","-0.0044"
"5.9000","0.1946","-0.0275"
"5.9500","0.1959","0.1032"
"6.0000","0.1979","0.0962"
"6.0500","0.1995","0.1483"
"6.1000","0.2012","0.0379"
"6.1500","0.2029","0.1765"
"6.2000","0.2045","-0.0293"
"6.2500","0.2062","-0.0315"
"6.3000","0.2076","0.1486"
"6.3500","0.2097","-0.0136"
"6.4000","0.2112","0.0664"
"6.4500","0.2128","-0.0049"
"6.5000","0.2145","0.2229"
"6.5500","0.2162","0.1918"
"6.6000","0.2179","0.0112"
"6.6500","0.2193","0.0927"
"6.7000","0.2213","0.0754"
"6.7500","0.2227","0.1173"
"6.8000","0.2245","0.0025"
"6.8500","0.2262","0.0413"
"6.9000","0.2279","0.0560"
"6.9500","0.2295","-0.0942"
"7.0000","0.2309","-0.0419"
"7.0500","0.2329","0.2392"
"7.1000","0.2344","0.0874"
"7.1500","0.2363","-0.0029"
"7.2000","0.2378","-0.0709"
"7.2500","0.2396","0.1760"
"7.3000","0.2411","0.1443"
"7.3500","0.2426","0.1804"
"7.4000","0.2447","0.2524"
"7.4500","0.2461","0.2544"
"7.5000","0.2479","-0.0654"
"7.5500","0.2495","0.1699"
"7.6000","0.2513","0.1523"
"7.6500","0.2527","0.0135"
"7.7000","0.2544","-0.0246"
"7.7500","0.2564","0.0537"
"7.8000","0.2577","0.1234"
"7.8500","0.2596","-0.1088"
"7.9000","0.2611","-0.0350"
"7.9500","0.2630","0.1392"
"8.0000","0.2643","0.0915"
