
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1492"
"0.1000","0.0007","1.7118"
"0.2000","0.0024","7.7942"
"0.3000","0.0074","24.0553"
"0.4000","0.0108","34.1858"
"0.5000","0.0142","44.8224"
"0.6000","0.0176","55.0044"
"0.7000","0.0208","64.5889"
"0.8000","0.0241","74.6785"
"0.9000","0.0272","83.5124"
"1.0000","0.0308","93.6657"
"1.1000","0.0341","103.4164"
"1.2000","0.0375","112.4849"
"1.3000","0.0410","121.9705"
"1.4000","0.0443","130.7851"
"1.5000","0.0475","138.9202"
"1.6000","0.0507","147.0659"
"1.7000","0.0540","155.3735"
"1.8000","0.0574","163.9939"
"1.9000","0.0607","171.9394"
"2.0000","0.0642","181.0384"
"2.1000","0.0676","189.3640"
"2.2000","0.0709","197.0900"
"2.3000","0.0740","204.6163"
"2.4000","0.0774","212.7141"
"2.5000","0.0807","220.2073"
"2.6000","0.0839","227.6203"
"2.7000","0.0876","235.7967"
"2.8000","0.0909","243.1008"
"2.9000","0.0943","250.7106"
"3.0000","0.0975","257.8376"
"3.1000","0.1008","265.4114"
"3.2000","0.1042","273.2303"
"3.3000","0.1072","279.6162"
"3.4000","0.1109","288.6246"
"3.5000","0.1142","296.4085"
"3.6000","0.1175","303.9477"
"3.7000","0.1209","311.6557"
"3.8000","0.1241","318.8880"
"3.9000","0.1274","326.3784"
"4.0000","0.1306","333.0464"
"4.1000","0.1341","341.1723"
"4.2000","0.1375","348.4770"
"4.3000","0.1408","355.8645"
"4.4000","0.1443","363.6697"
"4.5000","0.1476","370.6854"
"4.6000","0.1508","377.6823"
"4.7000","0.1539","383.9203"
"4.8000","0.1574","391.4809"
"4.9000","0.1608","398.4803"
"5.0000","0.1641","405.5813"
"5.1000","0.1676","412.8156"
"5.2000","0.1709","419.5559"
"5.3000","0.1743","426.2766"
"5.4000","0.1774","432.5026"
"5.5000","0.1807","439.3170"
"5.6000","0.1841","445.9646"
"5.7000","0.1873","452.1776"
"5.8000","0.1909","459.5359"
"5.9000","0.1942","466.1429"
"6.0000","0.1976","472.7126"
"6.1000","0.2008","478.6212"
"6.2000","0.2040","484.6982"
"6.3000","0.2074","491.4210"
"6.4000","0.2106","497.1273"
"6.5000","0.2142","504.4553"
"6.6000","0.2175","510.6534"
"6.7000","0.2209","517.1647"
"6.8000","0.2243","523.6113"
"6.9000","0.2275","529.1979"
"7.0000","0.2308","535.3270"
"7.1000","0.2339","540.7747"
"7.2000","0.2374","547.5545"
"7.3000","0.2408","553.5120"
"7.4000","0.2441","559.6160"
"7.5000","0.2476","566.1775"
"7.6000","0.2509","571.8857"
"7.7000","0.2542","577.6265"
"7.8000","0.2573","582.6890"
"7.9000","0.2607","588.6824"
"8.0000","0.2641","594.5504"
"8.1000","0.2674","599.9511"
"8.2000","0.2709","606.5757"
"8.3000","0.2743","612.0776"
"8.4000","0.2776","617.4775"
"8.5000","0.2807","622.3074"
"8.6000","0.2841","628.0390"
