
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0926"
"0.0500","0.0001","0.0280"
"0.1000","0.0008","0.8712"
"0.1500","0.0011","0.6230"
"0.2000","0.0027","0.8262"
"0.2500","0.0057","1.0272"
"0.3000","0.0078","1.0298"
"0.3500","0.0093","0.8335"
"0.4000","0.0110","1.2634"
"0.4500","0.0126","1.3866"
"0.5000","0.0142","1.3575"
"0.5500","0.0161","1.2205"
"0.6000","0.0176","1.6049"
"0.6500","0.0195","1.6236"
"0.7000","0.0210","1.8356"
"0.7500","0.0228","1.8972"
"0.8000","0.0242","1.7372"
"0.8500","0.0259","1.8247"
"0.9000","0.0278","1.5821"
"0.9500","0.0292","1.8519"
"1.0000","0.0311","1.7527"
"1.0500","0.0326","1.9395"
"1.1000","0.0345","1.7817"
"1.1500","0.0358","1.9213"
"1.2000","0.0376","2.1984"
"1.2500","0.0394","2.1822"
"1.3000","0.0410","2.1789"
"1.3500","0.0428","2.2268"
"1.4000","0.0443","2.4028"
"1.4500","0.0461","2.2919"
"1.5000","0.0475","2.2239"
"1.5500","0.0494","2.3807"
"1.6000","0.0511","2.2867"
"1.6500","0.0526","2.2662"
"1.7000","0.0544","2.2209"
"1.7500","0.0560","2.2866"
"1.8000","0.0578","2.2072"
"1.8500","0.0591","2.1900"
"1.9000","0.0611","2.4006"
"1.9500","0.0627","2.3708"
"2.0000","0.0643","2.3937"
"2.0500","0.0661","2.3597"
"2.1000","0.0677","2.2512"
"2.1500","0.0694","2.6026"
"2.2000","0.0708","2.5019"
"2.2500","0.0727","2.4464"
"2.3000","0.0744","2.4333"
"2.3500","0.0761","2.1917"
"2.4000","0.0777","2.3636"
"2.4500","0.0793","2.1948"
"2.5000","0.0810","2.5990"
"2.5500","0.0824","2.5448"
"2.6000","0.0844","2.3113"
"2.6500","0.0860","2.4858"
"2.7000","0.0877","2.4281"
"2.7500","0.0893","2.3728"
"2.8000","0.0910","2.2912"
"2.8500","0.0927","2.5040"
"2.9000","0.0942","2.5191"
"2.9500","0.0962","2.4717"
"3.0000","0.0976","2.5261"
"3.0500","0.0994","2.5623"
"3.1000","0.1010","2.5609"
"3.1500","0.1028","2.7613"
"3.2000","0.1044","2.5123"
"3.2500","0.1058","2.5962"
"3.3000","0.1078","2.7470"
"3.3500","0.1093","2.5984"
"3.4000","0.1111","2.6759"
"3.4500","0.1127","2.6506"
"3.5000","0.1144","2.6754"
"3.5500","0.1160","2.5338"
"3.6000","0.1175","2.6013"
"3.6500","0.1195","2.6267"
"3.7000","0.1210","2.6474"
"3.7500","0.1228","2.5702"
"3.8000","0.1243","2.5428"
"3.8500","0.1262","2.6377"
"3.9000","0.1276","2.7495"
"3.9500","0.1293","2.6723"
"4.0000","0.1312","2.6627"
"4.0500","0.1326","2.6309"
"4.1000","0.1345","2.5838"
"4.1500","0.1360","2.6180"
"4.2000","0.1378","2.5057"
"4.2500","0.1392","2.4727"
"4.3000","0.1409","2.6358"
"4.3500","0.1428","2.6452"
"4.4000","0.1442","2.6149"
"4.4500","0.1461","2.4822"
"4.5000","0.1476","2.9027"
"4.5500","0.1495","2.5426"
"4.6000","0.1508","2.5604"
"4.6500","0.1526","2.4667"
"4.7000","0.1544","2.7189"
"4.7500","0.1559","2.5087"
"4.8000","0.1578","2.5998"
"4.8500","0.1593","2.6192"
"4.9000","0.1611","2.6388"
"4.9500","0.1624","2.7098"
"5.0000","0.1644","2.5933"
"5.0500","0.1661","2.7164"
"5.1000","0.1676","2.5433"
"5.1500","0.1695","2.6320"
"5.2000","0.1710","2.5432"
"5.2500","0.1728","2.7215"
"5.3000","0.1741","2.4966"
"5.3500","0.1761","2.6962"
"5.4000","0.1777","2.7579"
"5.4500","0.1793","2.4028"
"5.5000","0.1811","2.5896"
"5.5500","0.1827","2.6956"
"5.6000","0.1845","2.7337"
"5.6500","0.1858","2.8149"
"5.7000","0.1878","2.5999"
"5.7500","0.1894","2.6817"
"5.8000","0.1911","2.5984"
"5.8500","0.1927","2.5544"
"5.9000","0.1944","2.7482"
"5.9500","0.1961","2.6106"
"6.0000","0.1974","2.6793"
"6.0500","0.1995","2.6428"
"6.1000","0.2010","2.6729"
"6.1500","0.2028","2.4834"
"6.2000","0.2043","2.5203"
"6.2500","0.2060","2.6942"
"6.3000","0.2076","2.6524"
"6.3500","0.2091","2.6395"
"6.4000","0.2112","2.6441"
"6.4500","0.2126","2.7268"
"6.5000","0.2145","2.6353"
"6.5500","0.2159","2.7621"
"6.6000","0.2177","2.6417"
"6.6500","0.2193","2.5804"
"6.7000","0.2208","2.7198"
"6.7500","0.2229","2.8698"
"6.8000","0.2243","2.5241"
"6.8500","0.2261","2.5839"
"6.9000","0.2276","2.6964"
"6.9500","0.2295","2.6443"
"7.0000","0.2309","2.4276"
"7.0500","0.2326","2.5419"
"7.1000","0.2345","2.6914"
"7.1500","0.2360","2.7125"
"7.2000","0.2378","2.6269"
"7.2500","0.2393","2.6594"
"7.3000","0.2412","2.5720"
"7.3500","0.2425","2.6766"
"7.4000","0.2443","2.6660"
"7.4500","0.2461","2.7641"
"7.5000","0.2477","2.7841"
"7.5500","0.2495","2.5322"
"7.6000","0.2510","2.7375"
"7.6500","0.2528","2.5472"
"7.7000","0.2541","2.4525"
"7.7500","0.2561","2.8780"
"7.8000","0.2577","2.8541"
"7.8500","0.2593","2.6510"
"7.9000","0.2611","2.7261"
"7.9500","0.2627","2.6184"
"8.0000","0.2644","2.6265"
"8.0500","0.2658","2.5510"
"8.1000","0.2677","2.5604"
"8.1500","0.2693","2.8532"
"8.2000","0.2710","2.7904"
"8.2500","0.2728","2.6465"
"8.3000","0.2744","2.7798"
"8.3500","0.2761","2.6448"
"8.4000","0.2774","2.4657"
"8.4500","0.2794","2.5980"
"8.5000","0.2810","2.5820"
"8.5500","0.2827","2.4783"
"8.6000","0.2844","2.5769"
"8.6500","0.2860","2.7880"
"8.7000","0.2877","2.7552"
"8.7500","0.2891","2.7164"
"8.8000","0.2912","2.6337"
"8.8500","0.2926","2.5662"
"8.9000","0.2944","2.6040"
"8.9500","0.2960","2.5769"
"9.0000","0.2977","2.5753"
"9.0500","0.2994","2.5687"
"9.1000","0.3008","2.7124"
"9.1500","0.3028","2.4820"
"9.2000","0.3043","2.5553"
"9.2500","0.3061","2.4199"
"9.3000","0.3077","2.6885"
"9.3500","0.3095","2.6247"
"9.4000","0.3109","2.6095"
"9.4500","0.3125","2.7258"
"9.5000","0.3145","2.7574"
"9.5500","0.3160","2.7378"
"9.6000","0.3178","2.6928"
"9.6500","0.3193","2.5653"
"9.7000","0.3211","2.7623"
"9.7500","0.3226","2.4921"
"9.8000","0.3242","2.7117"
"9.8500","0.3262","2.4843"
"9.9000","0.3276","2.5400"
"9.9500","0.3294","2.6247"
"10.0000","0.3309","2.5656"
"10.0500","0.3328","2.7364"
"10.1000","0.3342","2.7085"
"10.1500","0.3359","2.5153"
"10.2000","0.3378","2.7194"
"10.2500","0.3393","2.5413"
"10.3000","0.3411","2.6492"
"10.3500","0.3426","2.5392"
"10.4000","0.3445","2.7866"
"10.4500","0.3459","2.6787"
"10.5000","0.3476","2.7556"
"10.5500","0.3495","2.6540"
"10.6000","0.3510","2.6830"
"10.6500","0.3528","2.7765"
"10.7000","0.3543","2.4500"
"10.7500","0.3561","2.4025"
"10.8000","0.3575","2.7240"
"10.8500","0.3593","2.5434"
"10.9000","0.3611","2.6399"
"10.9500","0.3626","2.5099"
"11.0000","0.3645","2.6574"
"11.0500","0.3660","2.7085"
"11.1000","0.3678","2.8194"
"11.1500","0.3692","2.7757"
"11.2000","0.3711","2.6062"
"11.2500","0.3727","2.5923"
"11.3000","0.3743","2.6550"
"11.3500","0.3761","2.7448"
"11.4000","0.3777","2.6999"
"11.4500","0.3795","2.6716"
"11.5000","0.3808","2.4659"
"11.5500","0.3828","2.6960"
"11.6000","0.3844","2.6455"
"11.6500","0.3860","2.6532"
"11.7000","0.3877","2.7097"
"11.7500","0.3893","2.6149"
"11.8000","0.3911","2.4912"
"11.8500","0.3924","2.6307"
"11.9000","0.3945","2.5999"
"11.9500","0.3960","2.7746"
"12.0000","0.3977","2.7692"
"12.0500","0.3994","2.6273"
"12.1000","0.4010","2.5458"
"12.1500","0.4027","2.4845"
"12.2000","0.4041","2.8519"
"12.2500","0.4062","2.7315"
"12.3000","0.4076","2.5767"
"12.3500","0.4094","2.7152"
"12.4000","0.4111","2.5659"
"12.4500","0.4128","2.5465"
"12.5000","0.4143","2.6968"
"12.5500","0.4158","2.6990"
"12.6000","0.4178","2.7336"
"12.6500","0.4193","2.6645"
"12.7000","0.4211","2.7272"
"12.7500","0.4227","2.7666"
"12.8000","0.4245","2.6914"
"12.8500","0.4259","2.6381"
"12.9000","0.4275","2.5438"
"12.9500","0.4296","2.7246"
"13.0000","0.4310","2.5988"
"13.0500","0.4328","2.6991"
"13.1000","0.4342","2.6400"
"13.1500","0.4362","2.4672"
"13.2000","0.4376","2.6135"
"13.2500","0.4392","2.5525"
"13.3000","0.4412","2.9497"
"13.3500","0.4426","2.6889"
"13.4000","0.4445","2.6291"
"13.4500","0.4459","2.7735"
"13.5000","0.4478","2.8095"
"13.5500","0.4492","2.6935"
"13.6000","0.4510","2.7382"
"13.6500","0.4528","2.7878"
"13.7000","0.4543","2.7316"
"13.7500","0.4562","2.5569"
"13.8000","0.4576","2.6410"
"13.8500","0.4595","2.7308"
"13.9000","0.4608","2.7838"
"13.9500","0.4627","2.7706"
"14.0000","0.4645","2.7687"
"14.0500","0.4660","2.7309"
"14.1000","0.4678","2.5960"
"14.1500","0.4693","2.6803"
"14.2000","0.4712","2.8722"
"14.2500","0.4725","2.7585"
"14.3000","0.4744","2.7228"
"14.3500","0.4760","2.7373"
"14.4000","0.4777","2.6326"
"14.4500","0.4794","2.6595"
"14.5000","0.4810","2.6721"
"14.5500","0.4828","2.6794"
"14.6000","0.4841","2.6226"
"14.6500","0.4862","2.6751"
"14.7000","0.4877","2.6574"
"14.7500","0.4894","2.8092"
"14.8000","0.4911","2.5991"
"14.8500","0.4927","2.6304"
"14.9000","0.4944","2.7312"
"14.9500","0.4958","2.6621"
"15.0000","0.4979","2.5272"
"15.0500","0.4993","2.7327"
"15.1000","0.5011","2.7551"
"15.1500","0.5027","2.7382"
"15.2000","0.5044","2.6931"
"15.2500","0.5060","2.4611"
"15.3000","0.5075","2.6092"
"15.3500","0.5095","2.7747"
"15.4000","0.5109","2.6315"
"15.4500","0.5128","2.6610"
"15.5000","0.5144","2.8273"
"15.5500","0.5161","2.8799"
"15.6000","0.5176","2.8946"
"15.6500","0.5192","2.7609"
"15.7000","0.5211","2.8146"
"15.7500","0.5226","2.6006"
"15.8000","0.5245","2.8178"
"15.8500","0.5260","2.4421"
"15.9000","0.5277","2.7339"
"15.9500","0.5292","2.5921"
"16.0000","0.5310","2.7566"
"16.0500","0.5329","2.4319"
"16.1000","0.5343","2.6353"
"16.1500","0.5361","2.8071"
"16.2000","0.5376","2.6405"
"16.2500","0.5395","2.6774"
"16.3000","0.5409","2.7362"
"16.3500","0.5427","2.8234"
"16.4000","0.5445","2.6515"
"16.4500","0.5459","2.7351"
"16.5000","0.5478","2.6086"
"16.5500","0.5494","2.6845"
"16.6000","0.5512","2.7214"
"16.6500","0.5525","2.7555"
"16.7000","0.5543","2.6894"
"16.7500","0.5561","2.5917"
"16.8000","0.5577","2.5339"
"16.8500","0.5595","2.5127"
"16.9000","0.5610","2.7354"
"16.9500","0.5628","2.6137"
"17.0000","0.5641","2.7412"
"17.0500","0.5660","2.8262"
"17.1000","0.5678","2.6857"
"17.1500","0.5693","2.5866"
"17.2000","0.5711","2.5256"
"17.2500","0.5726","2.5124"
"17.3000","0.5744","2.6615"
"17.3500","0.5758","2.5724"
"17.4000","0.5778","2.6743"
"17.4500","0.5794","2.8122"
"17.5000","0.5810","2.7991"
"17.5500","0.5827","2.6213"
"17.6000","0.5843","2.7659"
"17.6500","0.5862","2.8962"
"17.7000","0.5875","2.6599"
"17.7500","0.5894","2.6308"
"17.8000","0.5910","2.8641"
"17.8500","0.5927","2.7075"
"17.9000","0.5944","2.7414"
"17.9500","0.5960","2.7268"
"18.0000","0.5977","2.7769"
"18.0500","0.5991","2.8610"
"18.1000","0.6011","2.7939"
