
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","1.1673"
"0.1000","0.0004","1.5320"
"0.2000","0.0014","4.3076"
"0.3000","0.0064","19.8661"
"0.4000","0.0100","30.1783"
"0.5000","0.0134","40.4256"
"0.6000","0.0170","50.8384"
"0.7000","0.0202","60.0326"
"0.8000","0.0236","69.7703"
"0.9000","0.0267","78.4387"
"1.0000","0.0301","87.7137"
"1.1000","0.0333","96.8040"
"1.2000","0.0366","105.2940"
"1.3000","0.0402","114.8106"
"1.4000","0.0435","120.1470"
"1.5000","0.0469","127.3996"
"1.6000","0.0502","133.7953"
"1.7000","0.0534","139.5652"
"1.8000","0.0568","145.7565"
"1.9000","0.0599","150.4021"
"2.0000","0.0634","156.2928"
"2.1000","0.0668","161.8176"
"2.2000","0.0702","167.5826"
"2.3000","0.0736","172.8153"
"2.4000","0.0769","180.0256"
"2.5000","0.0801","183.7439"
"2.6000","0.0833","186.9017"
"2.7000","0.0867","190.5625"
"2.8000","0.0901","192.9745"
"2.9000","0.0934","195.8148"
"3.0000","0.0969","200.1756"
"3.1000","0.1002","204.4053"
"3.2000","0.1036","210.2542"
"3.3000","0.1066","214.4214"
"3.4000","0.1101","219.8913"
"3.5000","0.1134","225.1271"
"3.6000","0.1166","229.1916"
"3.7000","0.1203","235.6531"
"3.8000","0.1236","240.5984"
"3.9000","0.1269","246.3946"
"4.0000","0.1301","252.5210"
"4.1000","0.1334","256.1105"
"4.2000","0.1368","262.5097"
"4.3000","0.1399","266.7473"
"4.4000","0.1435","274.1506"
"4.5000","0.1469","281.3330"
"4.6000","0.1502","287.0934"
"4.7000","0.1535","292.1827"
"4.8000","0.1567","298.4184"
"4.9000","0.1601","304.2035"
"5.0000","0.1633","310.0679"
"5.1000","0.1668","317.1077"
"5.2000","0.1701","323.4626"
"5.3000","0.1735","330.5508"
"5.4000","0.1769","337.3848"
"5.5000","0.1802","345.1824"
"5.6000","0.1835","352.5643"
"5.7000","0.1866","359.2749"
