
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0248"
"0.0500","0.0001","-0.0785"
"0.1000","0.0007","0.1706"
"0.1500","0.0011","0.0271"
"0.2000","0.0031","0.0434"
"0.2500","0.0058","-0.0065"
"0.3000","0.0077","-0.0559"
"0.3500","0.0094","0.1218"
"0.4000","0.0111","-0.0009"
"0.4500","0.0125","0.0128"
"0.5000","0.0145","-0.1288"
"0.5500","0.0160","-0.0562"
"0.6000","0.0178","-0.0331"
"0.6500","0.0194","0.0169"
"0.7000","0.0212","-0.1096"
"0.7500","0.0228","0.0440"
"0.8000","0.0243","0.0260"
"0.8500","0.0263","-0.1142"
"0.9000","0.0277","-0.0112"
"0.9500","0.0295","-0.0622"
"1.0000","0.0310","0.0747"
"1.0500","0.0329","-0.0317"
"1.1000","0.0344","0.1718"
"1.1500","0.0360","0.0750"
"1.2000","0.0379","0.1169"
"1.2500","0.0394","-0.0032"
"1.3000","0.0413","0.0882"
"1.3500","0.0427","0.0196"
"1.4000","0.0446","-0.0116"
"1.4500","0.0459","0.2166"
"1.5000","0.0477","0.0835"
"1.5500","0.0496","0.1268"
"1.6000","0.0511","0.0837"
"1.6500","0.0529","0.1241"
"1.7000","0.0544","0.1906"
"1.7500","0.0562","0.0874"
"1.8000","0.0576","0.0283"
"1.8500","0.0595","0.0689"
"1.9000","0.0612","0.2224"
"1.9500","0.0627","0.3161"
"2.0000","0.0646","0.2356"
"2.0500","0.0661","0.2203"
"2.1000","0.0679","-0.0858"
"2.1500","0.0692","-0.0713"
"2.2000","0.0711","0.1423"
"2.2500","0.0728","0.0026"
"2.3000","0.0744","0.1534"
"2.3500","0.0762","0.1213"
"2.4000","0.0778","-0.0071"
"2.4500","0.0795","0.0647"
"2.5000","0.0808","0.2524"
"2.5500","0.0828","0.0613"
"2.6000","0.0845","0.1769"
"2.6500","0.0862","0.0571"
"2.7000","0.0879","0.0576"
"2.7500","0.0894","0.1487"
"2.8000","0.0911","-0.0106"
"2.8500","0.0926","-0.0067"
"2.9000","0.0946","0.1386"
"2.9500","0.0961","0.3400"
"3.0000","0.0978","0.0937"
"3.0500","0.0994","0.0228"
"3.1000","0.1011","0.1645"
"3.1500","0.1028","-0.0733"
"3.2000","0.1043","0.2736"
"3.2500","0.1062","0.2369"
"3.3000","0.1077","0.1979"
"3.3500","0.1095","0.3508"
"3.4000","0.1111","0.0097"
"3.4500","0.1129","0.2673"
"3.5000","0.1144","0.1651"
"3.5500","0.1159","0.2257"
"3.6000","0.1179","0.1612"
"3.6500","0.1194","0.4065"
"3.7000","0.1212","0.2125"
"3.7500","0.1227","0.3289"
"3.8000","0.1245","0.4809"
"3.8500","0.1260","0.6514"
"3.9000","0.1276","0.7568"
"3.9500","0.1296","0.7675"
"4.0000","0.1310","0.7764"
"4.0500","0.1328","0.9623"
"4.1000","0.1344","0.8045"
"4.1500","0.1362","1.0397"
"4.2000","0.1377","1.0051"
"4.2500","0.1393","0.9219"
"4.3000","0.1412","1.0065"
"4.3500","0.1427","0.9321"
"4.4000","0.1445","1.2193"
"4.4500","0.1460","1.2231"
"4.5000","0.1479","1.1710"
"4.5500","0.1493","1.1047"
"4.6000","0.1510","1.2741"
"4.6500","0.1529","1.3585"
"4.7000","0.1544","1.6192"
"4.7500","0.1562","1.8949"
"4.8000","0.1577","2.4171"
"4.8500","0.1596","2.5697"
