
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0400"
"0.2500","0.0161","4.9429"
"0.5000","0.0369","13.6034"
"0.7500","0.0577","29.6182"
"1.0000","0.0786","68.0648"
"1.2500","0.0995","126.3557"
"1.5000","0.1203","201.2442"
"1.7500","0.1411","297.8706"
"2.0000","0.1618","407.2642"
"2.2500","0.1827","524.4615"
"2.5000","0.2037","645.6417"
"2.7500","0.2245","767.6606"
"3.0000","0.2452","891.9636"
"3.2500","0.2661","1019.7803"
"3.5000","0.2868","1146.4821"
"3.7500","0.3078","1265.0128"
"4.0000","0.3287","1374.4764"
"4.2500","0.3494","1475.1770"
"4.5000","0.3703","1575.3109"
"4.7500","0.3910","1673.4467"
"5.0000","0.4119","1772.8917"
"5.2500","0.4329","1874.8591"
"5.5000","0.4537","1973.1749"
"5.7500","0.4744","2069.0728"
"6.0000","0.4953","2166.4541"
"6.2500","0.5161","2263.3660"
"6.5000","0.5370","2360.9609"
"6.7500","0.5579","2458.3613"
"7.0000","0.5786","2551.9453"
"7.2500","0.5994","2644.8142"
"7.5000","0.6202","2736.1846"
"7.7500","0.6411","2828.5383"
"8.0000","0.6621","2922.5103"
"8.2500","0.6829","3013.7725"
"8.5000","0.7035","3102.9922"
"8.7500","0.7243","3192.4263"
"9.0000","0.7453","3281.0903"
"9.2500","0.7661","3368.4868"
"9.5000","0.7870","3453.8469"
"9.7500","0.8078","3537.8975"
"10.0000","0.8285","3619.2090"
"10.2500","0.8494","3699.0125"
"10.5000","0.8704","3778.9133"
"10.7500","0.8912","3856.9727"
"11.0000","0.9120","3934.4634"
"11.2500","0.9327","4010.1501"
"11.5000","0.9535","4083.9348"
"11.7500","0.9745","4158.7056"
"12.0000","0.9954","4233.4253"
"12.2500","1.0161","4302.2192"
"12.5000","1.0370","4371.6235"
"12.7500","1.0578","4436.6909"
"13.0000","1.0785","4500.3452"
"13.2500","1.0995","4565.1333"
"13.5000","1.1204","4624.9668"
"13.7500","1.1411","4681.7617"
"14.0000","1.1619","4735.0962"
"14.2500","1.1827","4786.2876"
"14.5000","1.2036","4836.8867"
"14.7500","1.2245","4885.5396"
"15.0000","1.2453","4928.8701"
"15.2500","1.2661","4970.3833"
"15.5000","1.2869","5007.3774"
"15.7500","1.3077","5044.5786"
"16.0000","1.3287","5082.6060"
"16.2500","1.3495","5115.7271"
"16.5000","1.3703","5146.6577"
"16.7500","1.3910","5175.0103"
"17.0000","1.4119","5204.4814"
"17.2500","1.4328","5233.5898"
"17.5000","1.4537","5260.1113"
"17.7500","1.4745","5283.5771"
"18.0000","1.4952","5306.0542"
"18.2500","1.5161","5326.6885"
"18.5000","1.5369","5346.4556"
"18.7500","1.5578","5366.4585"
"19.0000","1.5787","5386.3110"
"19.2500","1.5995","5403.4497"
"19.5000","1.6201","5420.4790"
"19.7500","1.6411","5441.6450"
"20.0000","1.6621","5464.2891"
"20.2500","1.6829","5485.1216"
"20.5000","1.7037","5504.5684"
"20.7500","1.7244","5521.1377"
"21.0000","1.7452","5538.8691"
"21.2500","1.7661","5558.1548"
"21.5000","1.7870","5577.3633"
"21.7500","1.8079","5595.3008"
"22.0000","1.8286","5609.9121"
"22.2500","1.8493","5622.7100"
"22.5000","1.8703","5636.2231"
"22.7500","1.8912","5649.7114"
"23.0000","1.9120","5656.8457"
"23.2500","1.9328","5662.0552"
"23.5000","1.9536","5661.9082"
"23.7500","1.9744","5659.5195"
"24.0000","1.9953","5652.7144"
"24.2500","2.0162","5646.7114"
"24.5000","2.0370","5637.7036"
"24.7500","2.0578","5629.2046"
"25.0000","2.0785","5621.2671"
"25.2500","2.0994","5213.9087"
"25.5000","2.1204","5208.0547"
"25.7500","2.1412","5197.0156"
"26.0000","2.1619","5182.7632"
"26.2500","2.1827","5158.8633"
"26.5000","2.2036","5136.1470"
"26.7500","2.2245","5121.4849"
"27.0000","2.2454","5116.2476"
"27.2500","2.2661","5108.2676"
"27.5000","2.2869","5099.1763"
"27.7500","2.3077","5092.6182"
"28.0000","2.3286","5089.7036"
"28.2500","2.3497","4665.1196"
"28.5000","2.3704","4599.2329"
"28.7500","2.3911","4556.1143"
"29.0000","2.4119","4558.0918"
"29.2500","2.4327","4522.9321"
"29.5000","2.4536","4506.0000"
"29.7500","2.4746","4487.6528"
"30.0000","2.4953","4436.8760"
"30.2500","2.5161","4365.6099"
"30.5000","2.5369","4333.7329"
"30.7500","2.5579","4315.7173"
"31.0000","2.5787","4267.5854"
"31.2500","2.5995","4149.3740"
"31.5000","2.6203","4091.6250"
"31.7500","2.6410","3998.4946"
"32.0000","2.6620","3735.0745"
"32.2500","2.6829","2962.8691"
"32.5000","2.7036","2904.5315"
"32.7500","2.7245","2859.9253"
"33.0000","2.7453","2872.4016"
"33.2500","2.7660","2783.9680"
"33.5000","2.7870","2691.9875"
"33.7500","2.8079","2401.9663"
"34.0000","2.8286","2322.4819"
"34.2500","2.8494","2277.0293"
"34.5000","2.8702","2301.7981"
"34.7500","2.8911","2266.3169"
"35.0000","2.9121","2212.3186"
"35.2500","2.9328","2160.4001"
"35.5000","2.9536","2112.3989"
"35.7500","2.9744","2072.5972"
"36.0000","2.9952","2108.2666"
"36.2500","3.0162","2061.6487"
"36.5000","3.0370","2018.7722"
"36.7000","3.0536","1413.7465"

