
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-5.0596"
"0.2500","0.0032","8.5710"
"0.5000","0.0095","37.4446"
"0.7500","0.0145","60.4852"
"1.0000","0.0203","86.0841"
"1.2500","0.0256","109.6327"
"1.5000","0.0310","134.2611"
"1.7500","0.0367","161.0784"
"2.0000","0.0418","184.1448"
"2.2500","0.0475","209.8762"
"2.5000","0.0527","232.9375"
"2.7500","0.0580","256.0830"
"3.0000","0.0637","280.7823"
"3.2500","0.0687","301.3527"
"3.5000","0.0744","325.6790"
"3.7500","0.0796","346.1254"
"4.0000","0.0851","366.5966"
"4.2500","0.0907","385.3279"
"4.5000","0.0958","398.6938"
"4.7500","0.1016","418.3151"
"5.0000","0.1066","434.1820"
"5.2500","0.1124","458.1087"
"5.5000","0.1175","478.1783"
"5.7500","0.1231","503.0700"
"6.0000","0.1286","529.7892"
"6.2500","0.1338","554.7651"
"6.5000","0.1396","586.9913"
"6.7500","0.1447","613.2332"
"7.0000","0.1504","646.1874"
"7.2500","0.1557","677.4566"
"7.5000","0.1609","708.6503"
"7.7500","0.1666","745.7020"
"8.0000","0.1717","778.1329"
"8.2500","0.1773","817.7462"
"8.5000","0.1826","854.4373"
"8.7500","0.1879","892.3361"
"9.0000","0.1936","934.8865"
"9.2500","0.1986","972.1143"
"9.5000","0.2045","1018.4951"
"9.7500","0.2096","1057.7504"
"10.0000","0.2153","1104.0901"
"10.2500","0.2206","1147.6774"
"10.5000","0.2260","1191.3329"
"10.7500","0.2316","1239.5411"
"11.0000","0.2368","1282.2017"
"11.2500","0.2424","1330.9531"
"11.5000","0.2477","1376.9583"
"11.7500","0.2531","1424.2114"
"12.0000","0.2586","1473.7137"
"12.2500","0.2638","1520.2021"
"12.5000","0.2694","1571.6814"
"12.7500","0.2747","1619.6995"
"13.0000","0.2800","1669.3831"
"13.2500","0.2856","1722.5973"
"13.5000","0.2907","1770.9111"
"13.7500","0.2966","1828.2821"
"14.0000","0.3016","1875.0782"
"14.2500","0.3074","1932.1628"
"14.5000","0.3127","1984.0166"
"14.7500","0.3181","2036.3696"
"15.0000","0.3238","2093.3792"
"15.2500","0.3288","2142.4006"
"15.5000","0.3346","2200.7627"
"15.7500","0.3397","2251.8057"
"16.0000","0.3452","2306.0120"
"16.2500","0.3508","2363.5852"
"16.5000","0.3559","2413.7083"
"16.7500","0.3616","2471.6187"
"17.0000","0.3667","2523.2656"
"17.2500","0.3721","2578.4465"
"17.5000","0.3778","2636.2886"
"17.7500","0.3828","2686.9939"
"18.0000","0.3887","2747.9980"
"18.2500","0.3936","2797.7241"
"18.5000","0.3995","2859.2468"
"18.7500","0.4046","2911.6050"
"19.0000","0.4102","2968.8145"
"19.2500","0.4157","3025.9907"
"19.5000","0.4209","3079.1531"
"19.7500","0.4267","3139.4631"
"20.0000","0.4318","3191.3911"
"20.2500","0.4374","3250.3828"
"20.5000","0.4427","3305.0354"
"20.7500","0.4480","3359.6509"
"21.0000","0.4536","3418.9724"
"21.2500","0.4588","3471.5107"
"21.5000","0.4644","3529.7927"
"21.7500","0.4697","3584.8669"
"22.0000","0.4750","3639.8076"
"22.2500","0.4806","3698.6719"
"22.5000","0.4857","3750.7019"
"22.7500","0.4916","3812.2065"
"23.0000","0.4966","3863.7166"
"23.2500","0.5024","3923.5002"
"23.5000","0.5077","3978.1172"
"23.7500","0.5131","4034.1907"
"24.0000","0.5187","4093.1992"
"24.2500","0.5239","4144.9434"
"24.5000","0.5295","4203.4609"
"24.7500","0.5347","4256.8618"
"25.0000","0.5401","4311.0913"
"25.2500","0.5458","4369.3032"
"25.5000","0.5509","4420.0659"
"25.7500","0.5565","4477.0571"
"26.0000","0.5617","4529.6099"
"26.2500","0.5671","4583.6846"
"26.5000","0.5728","4641.8765"
"26.7500","0.5778","4690.3950"
"27.0000","0.5837","4750.1499"
"27.2500","0.5887","4797.1260"
"27.5000","0.5945","4855.2915"
"27.7500","0.5997","4905.6118"
"28.0000","0.6051","4958.4995"
"28.2500","0.6108","5013.8154"
"28.5000","0.6158","5061.1680"
"28.7500","0.6217","5119.1216"
"29.0000","0.6268","5165.6899"
"29.2500","0.6324","5218.9800"
"29.5000","0.6378","5269.2319"
"29.7500","0.6430","5316.8154"
"30.0000","0.6487","5371.3599"
"30.2500","0.6538","5416.3667"
"30.5000","0.6594","5468.5664"
"30.7500","0.6647","5516.3164"
"31.0000","0.6699","5562.8457"
"31.2500","0.6757","5616.1748"
"31.5000","0.6807","5658.2422"
"31.7500","0.6866","5712.3306"
"32.0000","0.6916","5754.8672"
"32.2500","0.6974","5805.7017"
"32.5000","0.7028","5852.3530"
"32.7500","0.7080","5896.2485"
"33.0000","0.7137","5945.9141"
"33.2500","0.7189","5987.4600"
"33.5000","0.7245","6034.3423"
"33.7500","0.7298","6077.7422"
"34.0000","0.7352","6121.0117"
"34.2500","0.7407","6166.3462"
"34.5000","0.7459","6206.9604"
"34.7500","0.7515","6251.9351"
"35.0000","0.7568","6292.3057"
"35.2500","0.7621","6332.4287"
"35.5000","0.7677","6376.6094"
"35.7500","0.7728","6413.2749"
"36.0000","0.7787","6460.1733"
"36.2500","0.7837","6493.9746"
"36.5000","0.7895","6537.8965"
"36.7500","0.7948","6575.1978"
"37.0000","0.8002","6612.8911"
"37.2500","0.8059","6654.3096"
"37.5000","0.8109","6686.0981"
"37.7500","0.8166","6726.5903"
"38.0000","0.8218","6759.6665"
"38.2500","0.8272","6795.3994"
"38.5000","0.8329","6832.9185"
"38.7500","0.8380","6863.1553"
"39.0000","0.8436","6900.1899"
"39.2500","0.8488","6930.6436"
"39.5000","0.8542","6962.3960"
"39.7500","0.8598","6996.9229"
"40.0000","0.8649","7023.8389"
"40.2500","0.8707","7060.3848"
"40.5000","0.8757","7084.4478"
"40.7500","0.8816","7120.5894"
"41.0000","0.8867","7145.5947"
"41.2500","0.8923","7176.4419"
"41.5000","0.8978","7205.8052"
"41.7500","0.9030","7229.7432"
"42.0000","0.9088","7261.2954"
"42.2500","0.9138","7282.1504"
"42.5000","0.9194","7310.6421"
"42.7500","0.9248","7334.5913"
"43.0000","0.9301","7356.7466"
"43.2500","0.9358","7384.5908"
"43.5000","0.9409","7403.2695"
"43.7500","0.9465","7428.4189"
"44.0000","0.9518","7448.8906"
"44.2500","0.9571","7468.0918"
"44.5000","0.9627","7491.8584"
"44.7500","0.9678","7507.6943"
"45.0000","0.9737","7533.2246"
"45.2500","0.9787","7546.9316"
"45.5000","0.9845","7569.7021"
"45.7500","0.9898","7586.2407"
"46.0000","0.9952","7602.6016"
"46.2500","1.0009","7622.8633"
"46.5000","1.0060","7634.8198"
"46.7500","1.0116","7653.0474"
"47.0000","1.0168","7665.9883"
"47.2500","1.0221","7678.6226"
"47.5000","1.0278","7696.3550"
"47.7500","1.0329","7704.9150"
"48.0000","1.0386","7720.5308"
"48.2500","1.0438","7730.9268"
"48.5000","1.0492","7742.1738"
"48.7500","1.0549","7757.2739"
"49.0000","1.0599","7762.4097"
"49.2500","1.0658","7779.4106"
"49.5000","1.0707","7782.8867"
"49.7500","1.0765","7796.9136"
"50.0000","1.0818","7803.5571"
"50.2500","1.0872","7812.1172"
"50.5000","1.0929","7823.3740"
"50.7500","1.0979","7826.6240"
"51.0000","1.1038","7839.3638"
"51.2500","1.1089","7842.2124"
"51.5000","1.1144","7850.2500"
"51.7500","1.1199","7856.8369"
"52.0000","1.1250","7858.9688"
"52.2500","1.1308","7868.3892"
"52.5000","1.1359","7868.7266"
"52.7500","1.1414","7875.5347"
"53.0000","1.1468","7879.0381"
"53.2500","1.1520","7879.9756"
"53.5000","1.1578","7888.2939"
"53.7500","1.1628","7885.8911"
"54.0000","1.1687","7895.2251"
"54.2500","1.1737","7892.7109"
"54.5000","1.1794","7898.8989"
"54.7500","1.1848","7900.8115"
"55.0000","1.1901","7900.8804"
"55.2500","1.1958","7906.2866"
"55.5000","1.2009","7903.2563"
"55.7500","1.2065","7906.1670"
"56.0000","1.2119","7906.6479"
"56.2500","1.2172","7905.7939"
"56.5000","1.2228","7907.5723"
"56.7500","1.2280","7905.0288"
"57.0000","1.2336","7906.9717"
"57.2500","1.2389","7905.0527"
"57.5000","1.2442","7902.5088"
"57.7500","1.2498","7904.8843"
"58.0000","1.2549","7899.0879"
"58.2500","1.2608","7904.1318"
"58.5000","1.2658","7896.4985"
"58.7500","1.2716","7899.6011"
"59.0000","1.2769","7896.5781"
"59.2500","1.2822","7893.3818"
"59.5000","1.2880","7895.6440"
"59.7500","1.2930","7887.1914"
"60.0000","1.2987","7888.4609"
"60.0710","1.3000","7884.8228"
"60.0720","1.3000","7884.6948"
"60.3220","1.3175","8040.3379"
"60.5720","1.3384","8209.8506"
"60.8220","1.3594","8352.0723"
"61.0720","1.3804","8463.7598"
"61.3220","1.4011","8541.1299"
"61.5720","1.4219","8593.9941"
"61.8220","1.4427","8620.8154"
"62.0720","1.4635","8629.4609"
"62.3220","1.4845","8625.8467"
"62.5720","1.5054","8608.3281"
"62.8220","1.5261","8581.2812"
"63.0720","1.5469","8549.0000"
"63.3220","1.5677","8513.5352"
"63.5720","1.5886","8478.1201"
"63.8220","1.6096","8441.3086"
"64.0720","1.6302","8401.3203"
"64.3220","1.6511","8364.2490"
"64.5720","1.6718","8326.7305"
"64.8220","1.6927","8291.7607"
"65.0720","1.7137","8261.4150"
"65.3220","1.7345","8228.9883"
"65.5720","1.7553","8197.6787"
"65.8220","1.7760","8166.6104"
"66.0720","1.7969","8139.6274"
"66.3220","1.8178","8115.5142"
"66.5720","1.8387","8091.4243"
"66.8220","1.8594","8066.1729"
"67.0720","1.8802","8042.8325"
"67.3220","1.9010","8021.2773"
"67.5720","1.9219","8001.0176"
"67.8220","1.9429","7982.4404"
"68.0720","1.9637","7964.2432"
"68.3220","1.9844","7944.5063"
"68.5720","2.0051","7926.6831"
"68.8220","2.0261","7912.2188"
"69.0720","2.0470","7896.8281"
"69.3220","2.0678","7881.6494"
"69.5720","2.0886","7866.8467"
"69.8220","2.1094","7850.8638"
"70.0720","2.1302","7836.7866"
"70.3220","2.1511","7824.4448"
"70.5720","2.1720","7811.7246"
"70.8220","2.1928","7799.1890"
"71.0720","2.2135","7785.5898"
"71.3220","2.2343","7772.8154"
"71.5720","2.2553","7762.7866"
"71.8220","2.2762","7753.6792"
"72.0720","2.2970","7741.6660"
"72.3220","2.3177","7729.7925"
"72.5720","2.3385","7718.4775"
"72.8220","2.3593","7709.2202"
"73.0720","2.3803","7700.5459"
"73.3220","2.4012","7691.8965"
"73.5720","2.4220","7681.2476"
"73.8220","2.4427","7671.8984"
"74.0720","2.4635","7661.8931"
"74.3220","2.4844","7654.2720"
"74.5720","2.5054","7647.8486"
"74.8220","2.5261","7638.2368"
"75.0720","2.5468","7628.0405"
"75.3220","2.5677","7621.2720"
"75.5720","2.5886","7613.5630"
"75.8220","2.6094","7606.5435"
"76.0720","2.6304","7601.1665"
"76.3220","2.6511","7591.0659"
"76.5720","2.6718","7582.2563"
"76.8220","2.6927","7576.0200"
"77.0720","2.7135","7569.5112"
"77.3220","2.7345","7564.1440"
"77.5720","2.7553","7557.6582"
"77.8220","2.7760","7547.9658"
"78.0720","2.7969","7541.3799"
"78.3220","2.8178","7536.1133"
"78.5720","2.8386","7529.7065"
"78.8220","2.8594","7522.8989"
"79.0720","2.8803","7516.2104"
"79.3220","2.9010","7508.5776"
"79.5720","2.9218","7502.2334"
"79.8220","2.9428","7500.5093"
"80.0720","2.9637","7495.0942"
"80.3220","2.9844","7488.4312"
"80.5720","3.0052","7481.8916"
"80.8220","3.0260","7476.2554"
"81.0720","3.0470","7473.3540"
"81.3220","3.0679","7469.4067"
"81.5720","3.0886","7463.0552"
"81.8220","3.1095","7457.8496"
"82.0720","3.1302","7450.4854"
"82.3220","3.1510","7445.6631"
"82.5720","3.1720","7444.3916"
"82.8220","3.1929","7439.8267"
"83.0720","3.2136","7433.4219"
"83.3220","3.2344","7428.0918"
"83.5720","3.2552","7424.3491"
"83.8220","3.2761","7421.5576"
"84.0720","3.2970","7419.1602"
"84.3220","3.3177","7412.7578"
"84.5720","3.3386","7409.0093"
"84.8220","3.3594","7403.6948"
"85.0720","3.3802","7400.4961"
