
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-5.4330"
"0.2500","0.0154","132.7000"
"0.5000","0.0364","283.3467"
"0.7500","0.0572","427.6559"
"1.0000","0.0781","581.0483"
"1.2500","0.0989","746.8447"
"1.5000","0.1198","923.8297"
"1.7500","0.1406","1107.2252"
"2.0000","0.1613","1301.8295"
"2.2500","0.1822","1511.1218"
"2.5000","0.2031","1731.9226"
"2.7500","0.2240","1957.0258"
"3.0000","0.2448","2180.1628"
"3.2500","0.2655","2401.5623"
"3.5000","0.2863","2620.9707"
"3.7500","0.3073","2835.7307"
"4.0000","0.3281","3039.9849"
"4.2500","0.3490","3236.1987"
"4.5000","0.3697","3421.8748"
"4.7500","0.3905","3598.8960"
"5.0000","0.4113","3772.2065"
"5.2500","0.4323","3942.0825"
"5.5000","0.4531","4104.8081"
"5.7500","0.4739","4263.4927"
"6.0000","0.4947","4415.1260"
"6.2500","0.5155","4563.7178"
"6.5000","0.5364","4712.0757"
"6.7500","0.5573","4857.3027"
"7.0000","0.5781","4996.0503"
"7.2500","0.5989","5132.7520"
"7.5000","0.6197","5264.5405"
"7.7500","0.6405","5393.4893"
"8.0000","0.6615","5523.5811"
"8.2500","0.6823","5647.4116"
"8.5000","0.7031","5766.9126"
"8.7500","0.7239","5880.8296"
"9.0000","0.7447","5994.1294"
"9.2500","0.7656","6107.1475"
"9.5000","0.7865","6216.2788"
"9.7500","0.8073","6319.0542"
"10.0000","0.8281","6421.5796"
"10.2500","0.8489","6517.4492"
"10.5000","0.8697","6612.2861"
"10.7500","0.8906","6708.7593"
"11.0000","0.9115","6798.8584"
"11.2500","0.9322","6883.3286"
"11.5000","0.9530","6966.4263"
"11.7500","0.9739","7048.0117"
"12.0000","0.9948","7130.1436"
"12.2500","1.0157","7208.2251"
"12.5000","1.0365","7280.6025"
"12.7500","1.0572","7350.8955"
"13.0000","1.0781","7419.5190"
"13.2500","1.0989","7485.9819"
"13.5000","1.1198","7554.0073"
"13.7500","1.1407","7617.2217"
"14.0000","1.1614","7675.2417"
"14.2500","1.1822","7733.0244"
"14.5000","1.2031","7789.8232"
"14.7500","1.2240","7846.3198"
"15.0000","1.2448","7900.0493"
"15.2500","1.2656","7950.0415"
"15.5000","1.2864","7996.3052"
"15.7500","1.3072","8043.9819"
"16.0000","1.3281","8089.6294"
"16.2500","1.3490","8134.8867"
"16.5000","1.3698","8177.9131"
"16.7500","1.3906","8216.6191"
"17.0000","1.4113","8253.6865"
"17.2500","1.4323","8293.7412"
"17.5000","1.4532","8332.4473"
"17.7500","1.4739","8365.5303"
"18.0000","1.4948","8400.4150"
"18.2500","1.5156","8430.4023"
"18.5000","1.5363","8461.5703"
"18.7500","1.5573","8493.5938"
"19.0000","1.5782","8524.2812"
"19.2500","1.5990","8551.9209"
"19.5000","1.6198","8578.7910"
"19.7500","1.6405","8601.5215"
"20.0000","1.6614","8628.5459"
"20.2500","1.6824","8657.4082"
"20.5000","1.7031","8678.8770"
"20.7500","1.7239","8700.7705"
"21.0000","1.7447","8723.5215"
"21.2500","1.7656","8745.0762"
"21.5000","1.7864","8767.9434"
"21.7500","1.8074","8790.6689"
"22.0000","1.8281","8808.7783"
"22.2500","1.8488","8825.1992"
"22.5000","1.8697","8844.6846"
"22.7500","1.8906","8864.1514"
"23.0000","1.9115","8886.0684"
"23.2500","1.9323","8903.2686"
"23.5000","1.9530","8916.6016"
"23.7500","1.9739","8933.5762"
"24.0000","1.9948","8951.2793"
"24.2500","2.0156","8968.6338"
"24.5000","2.0365","8985.1064"
"24.7500","2.0573","9000.9561"
"25.0000","2.0780","9011.6699"
"25.2500","2.0988","9026.9092"
"25.5000","2.1198","9045.8496"
"25.7500","2.1406","9060.2900"
"26.0000","2.1615","9075.9326"
"26.2500","2.1822","9087.0615"
"26.5000","2.2030","9099.6895"
"26.7500","2.2240","9115.7568"
"27.0000","2.2448","9130.9424"
"27.2500","2.2656","9142.1543"
"27.5000","2.2864","9155.4004"
"27.7500","2.3073","9166.6602"
"28.0000","2.3280","9178.0576"
"28.2500","2.3490","9194.6660"
"28.5000","2.3699","9207.9863"
"28.7500","2.3906","9218.2080"
"29.0000","2.4114","9227.9932"
"29.2500","2.4323","9240.2656"
"29.5000","2.4531","9252.2471"
"29.7500","2.4740","9265.5039"
"30.0000","2.4947","9274.0186"
"30.2500","2.5156","9285.8467"
"30.5000","2.5364","9294.6250"
"30.7500","2.5572","9306.1660"
"31.0000","2.5782","9319.7402"
"31.2500","2.5990","9331.0625"
"31.5000","2.6198","9340.4277"
"31.7500","2.6405","9347.9346"
"32.0000","2.6614","9358.9609"
"32.2500","2.6823","9371.2754"
"32.5000","2.7032","9383.8623"
"32.7500","2.7239","9390.9395"
"33.0000","2.7448","9402.6523"
"33.2500","2.7655","9409.3916"
"33.5000","2.7864","9419.5010"
"33.7500","2.8073","9433.7920"
"34.0000","2.8282","9444.2852"
"34.2500","2.8489","9451.2354"
"34.5000","2.8697","9459.6230"
"34.7500","2.8906","9471.0254"
"35.0000","2.9115","9482.8770"
"35.2500","2.9323","9494.0166"
"35.5000","2.9531","9503.0898"
"35.7500","2.9739","9509.7656"
"36.0000","2.9947","9519.6045"
"36.2500","3.0156","9529.7188"
"36.5000","3.0365","9540.9688"
"36.7500","3.0573","9552.1299"
"37.0000","3.0781","9558.1172"
"37.2500","3.0988","9564.7910"
"37.5000","3.1198","9575.9775"
"37.7500","3.1407","9587.5342"
"38.0000","3.1614","9594.6826"
"38.2500","3.1823","9604.1201"
"38.5000","3.2031","9609.1553"
"38.7500","3.2239","9616.5801"
"39.0000","3.2448","9625.1025"
"39.2500","3.2657","9631.9678"
"39.5000","3.2864","9635.4609"
"39.7500","3.3072","9638.0762"
"40.0000","3.3280","9639.8828"
"40.2500","3.3489","9642.4023"
"40.5000","3.3699","9649.9912"
"40.7500","3.3907","9646.4160"
"41.0000","3.4114","9641.3936"
"41.2500","3.4323","9638.6592"
"41.5000","3.4531","9637.4814"
"41.7500","3.4739","9641.0918"
"42.0000","3.4949","9647.9297"
"42.2500","3.5156","9650.1523"
"42.5000","3.5363","9651.8057"
"42.7500","3.5572","9655.7617"
"43.0000","3.5781","9661.0068"
"43.2500","3.5990","9669.1523"
"43.5000","3.6198","9674.7012"
"43.7500","3.6405","9676.6699"
"44.0000","3.6613","9682.8486"
"44.2500","3.6823","9690.1260"
"44.5000","3.7031","9697.5801"
"44.7500","3.7240","9706.1602"
"45.0000","3.7448","9712.7695"
"45.2500","3.7655","9714.0889"
"45.5000","3.7863","9717.1504"
"45.7500","3.8073","9725.0791"
"46.0000","3.8282","9730.1279"
"46.2500","3.8490","9732.5771"
"46.5000","3.8697","9730.3281"
"46.7500","3.8905","9728.5820"
"47.0000","3.9115","9733.3984"
"47.2500","3.9323","9735.6396"
"47.5000","3.9531","9732.7783"
"47.7500","3.9740","9732.2383"
"48.0000","3.9947","9731.5449"
"48.2500","4.0155","9731.7217"
"48.5000","4.0365","9739.2148"
"48.7500","4.0573","9740.6445"
"49.0000","4.0781","9741.5615"
"49.2500","4.0989","9740.1035"
"49.5000","4.1197","9739.6465"
"49.7500","4.1406","9740.1816"
"50.0000","4.1615","9738.8516"
"50.2500","4.1823","9732.0986"
"50.5000","4.2031","9725.6494"
"50.7500","4.2239","9708.4697"
"51.0000","4.2447","9672.2168"
"51.2500","4.2657","9575.3369"
"51.5000","4.2865","9465.3262"
"51.7500","4.3073","9425.1396"
"52.0000","4.3280","9398.6113"
"52.2500","4.3489","9384.7959"
"52.5000","4.3698","9373.0938"
"52.7500","4.3907","9365.5332"
"53.0000","4.4114","9354.0293"
"53.2500","4.4323","9348.0137"
"53.5000","4.4531","9342.6455"
"53.7500","4.4739","9341.5654"
"54.0000","4.4948","9344.9902"
