Time,Displacement,Force
(s),(mm),(N)
0,0,-0.0684
4.25,0.3491,16.8183
4.5,0.3701,17.3945
4.75,0.3909,42.1426
5,0.4116,94.221
5.25,0.4324,158.625
5.5,0.4533,236.0549
5.75,0.4741,325.647
6,0.4951,426.8963
6.25,0.5159,531.71
6.5,0.5366,627.7699
6.75,0.5574,731.1823
7,0.5784,846.5042
7.25,0.5992,970.4983
7.5,0.6201,1104.2545
7.75,0.6408,1249.9824
8,0.6616,1406.3702
8.25,0.6825,1571.293
8.5,0.7034,1738.5452
8.75,0.7241,1903.5212
9,0.745,2067.3828
9.25,0.7658,2223.9971
9.5,0.7865,2370.2583
9.75,0.8075,2518.3013
10,0.8284,2661.5283
10.25,0.8492,2796.4727
10.5,0.8699,2925.6653
10.75,0.8908,3052.137
11,0.9116,3173.2712
11.25,0.9326,3293.7891
11.5,0.9533,3406.2725
11.75,0.9742,3517.4187
12,0.995,3623.4136
12.25,1.0158,3727.4358
12.5,1.0367,3830.4656
12.75,1.0575,3930.2332
13,1.0783,4025.554
13.25,1.0991,4117.8242
13.5,1.12,4206.8076
13.75,1.1408,4294.2632
14,1.1617,4380.4604
14.25,1.1825,4460.9565
14.5,1.2033,4539.5361
14.75,1.2241,4615.4868
15,1.245,4688.2827
15.25,1.2658,4759.9424
15.5,1.2867,4829.7817
15.75,1.3075,4893.4463
16,1.3283,4954.4644
16.25,1.3491,5013.9272
16.5,1.37,5072.2104
16.75,1.3909,5128.5767
17,1.4117,5178.8765
17.25,1.4324,5227.1128
17.5,1.4533,5273.7891
17.75,1.4742,5318.4209
18,1.495,5361.3789
18.25,1.5159,5402.6743
18.5,1.5366,5438.1597
18.75,1.5574,5471.8423
19,1.5783,5506.0879
19.25,1.5992,5539.2646
19.5,1.62,5568.5586
19.75,1.6408,5594.1079
20,1.6617,5617.7607
20.25,1.6825,5640.0464
20.5,1.7033,5661.6997
20.75,1.7242,5682.3423
21,1.745,5700.3345
21.25,1.7659,5718.3188
21.5,1.7866,5731.8706
21.75,1.8074,5745.918
22,1.8285,5763.3901
22.25,1.8492,5772.9355
22.5,1.8699,5782.854
22.75,1.8908,5792.3018
23,1.9116,5800.4399
23.25,1.9325,5807.6113
