
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1092"
"0.0500","0.0001","0.0870"
"0.1000","0.0006","-0.1360"
"0.1500","0.0009","0.1056"
"0.2000","0.0023","0.1079"
"0.2500","0.0051","0.2573"
"0.3000","0.0071","-0.0677"
"0.3500","0.0089","0.0240"
"0.4000","0.0107","0.1235"
"0.4500","0.0123","-0.0055"
"0.5000","0.0140","-0.0731"
"0.5500","0.0156","0.1992"
"0.6000","0.0174","0.2029"
"0.6500","0.0187","-0.1190"
"0.7000","0.0208","-0.1338"
"0.7500","0.0223","-0.0291"
"0.8000","0.0240","-0.0670"
"0.8500","0.0257","0.0212"
"0.9000","0.0273","-0.0444"
"0.9500","0.0290","0.0223"
"1.0000","0.0304","0.0837"
"1.0500","0.0324","-0.0687"
"1.1000","0.0339","-0.0101"
"1.1500","0.0356","-0.1781"
"1.2000","0.0373","-0.0921"
"1.2500","0.0390","0.1017"
"1.3000","0.0406","0.0689"
"1.3500","0.0421","-0.0063"
"1.4000","0.0441","-0.0132"
"1.4500","0.0456","-0.0242"
"1.5000","0.0474","-0.1379"
"1.5500","0.0490","0.1243"
"1.6000","0.0507","0.0636"
"1.6500","0.0522","0.0324"
"1.7000","0.0538","0.0241"
"1.7500","0.0558","-0.1013"
"1.8000","0.0572","-0.0003"
"1.8500","0.0590","0.0166"
"1.9000","0.0606","0.1588"
"1.9500","0.0624","0.1556"
"2.0000","0.0639","-0.0654"
"2.0500","0.0655","0.0932"
"2.1000","0.0674","0.0058"
"2.1500","0.0689","0.0509"
"2.2000","0.0707","0.0572"
"2.2500","0.0723","-0.0314"
"2.3000","0.0742","0.0536"
"2.3500","0.0755","-0.1266"
"2.4000","0.0771","0.1603"
"2.4500","0.0791","0.1587"
"2.5000","0.0806","-0.1500"
"2.5500","0.0824","0.0604"
"2.6000","0.0839","0.0546"
"2.6500","0.0857","0.0251"
"2.7000","0.0871","0.0676"
"2.7500","0.0889","-0.0082"
"2.8000","0.0908","0.0621"
"2.8500","0.0922","0.2683"
"2.9000","0.0940","0.1541"
"2.9500","0.0956","0.0455"
"3.0000","0.0974","-0.1005"
"3.0500","0.0988","0.0259"
"3.1000","0.1006","0.1010"
"3.1500","0.1024","-0.0548"
"3.2000","0.1039","-0.2038"
"3.2500","0.1057","0.2994"
"3.3000","0.1073","0.1839"
