
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","5.6577"
"0.2500","0.0162","100.3155"
"0.5000","0.0370","251.1778"
"0.7500","0.0578","427.3510"
"1.0000","0.0786","633.3112"
"1.2500","0.0994","857.3958"
"1.5000","0.1202","1107.5397"
"1.7500","0.1412","1374.1022"
"2.0000","0.1620","1642.3568"
"2.2500","0.1828","1916.8036"
"2.5000","0.2035","2210.4724"
"2.7500","0.2244","2500.3057"
"3.0000","0.2452","2780.4287"
"3.2500","0.2662","3049.4563"
"3.5000","0.2869","3302.4028"
"3.7500","0.3077","3542.5916"
"4.0000","0.3285","3767.2534"
"4.2500","0.3493","3979.7615"
"4.5000","0.3703","4179.6050"
"4.7500","0.3912","4363.4204"
"5.0000","0.4119","4528.9482"
"5.2500","0.4327","4677.0386"
"5.5000","0.4535","4812.3433"
"5.7500","0.4745","4937.1167"
"6.0000","0.4954","5051.4287"
"6.2500","0.5161","5155.8057"
"6.5000","0.5369","5254.5654"
"6.7500","0.5577","5348.0068"
"7.0000","0.5786","5439.0278"
"7.2500","0.5995","5529.3062"
"7.5000","0.6204","5615.3379"
"7.7500","0.6411","5695.9165"
"8.0000","0.6619","5774.4673"
"8.2500","0.6828","5851.9668"
"8.5000","0.7036","5928.0405"
"8.7500","0.7245","6003.5859"
"9.0000","0.7453","6071.5103"
"9.2500","0.7661","6138.0698"
"9.5000","0.7869","6203.4985"
"9.7500","0.8078","6267.5728"
"10.0000","0.8286","6329.6421"
"10.2500","0.8495","6388.8608"
"10.5000","0.8702","6443.8477"
"10.7500","0.8910","6496.0435"
"11.0000","0.9119","6549.9609"
"11.2500","0.9328","6603.0288"
"11.5000","0.9536","6650.7168"
"11.7500","0.9744","6696.3369"
"12.0000","0.9952","6739.6553"
"12.2500","1.0160","6782.4478"
"12.5000","1.0369","6823.9727"
"12.7500","1.0578","6863.5039"
"13.0000","1.0786","6899.1416"
"13.2500","1.0994","6934.5498"
"13.5000","1.1202","6964.9023"
"13.7500","1.1410","6996.7373"
"14.0000","1.1621","7029.4194"
"14.2500","1.1828","7056.3555"
"14.5000","1.2036","7081.7910"
"14.7500","1.2244","7106.3804"
"15.0000","1.2452","7129.3965"
"15.2500","1.2661","7152.7378"
"15.5000","1.2871","7176.5391"
"15.7500","1.3078","7193.0347"
"16.0000","1.3285","7211.8252"
"16.2500","1.3494","7228.7471"
"16.5000","1.3702","7244.8804"
"16.7500","1.3912","7263.4155"
"17.0000","1.4120","7278.4536"
"17.2500","1.4327","7288.8447"
"17.5000","1.4535","7300.8931"
"17.7500","1.4744","7313.3438"
"18.0000","1.4953","7325.1465"
"18.2500","1.5162","7336.1553"
"18.5000","1.5370","7345.0083"
"18.7500","1.5577","7351.9429"
"19.0000","1.5785","7358.1187"
"19.2500","1.5995","7368.7793"
"19.5000","1.6203","7375.9092"
"19.7500","1.6412","7383.6924"
"20.0000","1.6619","7387.1494"
"20.2500","1.6827","7391.8110"
"20.5000","1.7036","7398.3052"
"20.7500","1.7245","7404.0522"
"21.0000","1.7453","7406.9629"
"21.2500","1.7662","7412.5791"
"21.5000","1.7869","7413.0347"
"21.7500","1.8077","7414.7700"
"22.0000","1.8287","7421.0117"
"22.2500","1.8495","7423.9380"
"22.5000","1.8703","7424.9819"
"22.7500","1.8911","7425.1675"
"23.0000","1.9119","7426.8496"
"23.2500","1.9327","7428.3975"
"23.5000","1.9537","7432.3306"
"23.7500","1.9744","7430.4634"
"24.0000","1.9953","7432.7266"
"24.2500","2.0161","7431.1113"
"24.5000","2.0369","7430.5752"
"24.7500","2.0578","7432.6328"
"25.0000","2.0787","7434.9365"
"25.2500","2.0995","7434.8047"
"25.5000","2.1202","7431.9312"
"25.7500","2.1411","7432.2837"
"26.0000","2.1620","7433.3931"
"26.2500","2.1829","7434.7422"
"26.5000","2.2036","7431.3955"
"26.7500","2.2245","7430.2935"
"27.0000","2.2452","7427.2998"
"27.2500","2.2661","7425.9097"
"27.5000","2.2870","7426.6567"
"27.7500","2.3078","7424.5835"
"28.0000","2.3286","7420.7686"
"28.2500","2.3494","7417.6831"
"28.5000","2.3703","7413.5796"
"28.7500","2.3912","7411.4478"
"29.0000","2.4121","7408.6665"
"29.2500","2.4328","7400.8696"
"29.5000","2.4536","7393.1836"
"29.7500","2.4744","7384.2598"
"30.0000","2.4953","7375.1377"
"30.2500","2.5161","7365.4561"
"30.5000","2.5370","7353.1396"
"30.7500","2.5578","7332.6528"
"31.0000","2.5785","7306.2407"
"31.2500","2.5994","7275.0210"
"31.5000","2.6204","7238.0020"
"31.7500","2.6412","7190.7988"
"32.0000","2.6620","7136.2168"
"32.2500","2.6828","7070.6987"
"32.5000","2.7036","6993.8281"
"32.7500","2.7245","6885.3462"
"33.0000","2.7454","6776.7290"
"33.2500","2.7661","6687.2666"
"33.5000","2.7870","6623.9238"
"33.7500","2.8077","6571.4702"
"34.0000","2.8285","6526.3853"
"34.2500","2.8496","6467.9517"
"34.5000","2.8703","6410.7368"
"34.7500","2.8911","6375.9082"
"35.0000","2.9119","6352.6138"
"35.2500","2.9327","6334.6982"
"35.5000","2.9536","6320.7231"
"35.7500","2.9746","6291.2651"
"36.0000","2.9953","6240.2090"
"36.2500","3.0160","6175.5713"
"36.5000","3.0369","6089.2871"
"36.7500","3.0577","6000.9199"
"37.0000","3.0787","5930.9082"
"37.2500","3.0995","5882.3369"
"37.5000","3.1202","5845.6104"
"37.7500","3.1410","5813.4551"
"38.0000","3.1619","5787.3130"
"38.2500","3.1828","5760.0562"
"38.5000","3.2037","5732.6284"
"38.7500","3.2245","5699.0190"
"39.0000","3.2452","5651.7539"
"39.2500","3.2660","5586.1445"
"39.5000","3.2870","5506.5337"
"39.7500","3.3078","5436.1694"
"40.0000","3.3287","5360.8369"
"40.2500","3.3494","5281.2827"
"40.5000","3.3702","5199.5566"
"40.7500","3.3911","5129.5469"
