
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1640"
"0.2500","0.0151","3.9018"
"0.5000","0.0360","7.8638"
"0.7500","0.0568","14.7019"
"1.0000","0.0777","24.7713"
"1.2500","0.0985","39.5091"
"1.5000","0.1192","60.8709"
"1.7500","0.1402","89.8617"
"2.0000","0.1611","126.6968"
"2.2500","0.1819","169.2084"
"2.5000","0.2026","216.5689"
"2.7500","0.2234","267.2783"
"3.0000","0.2443","321.6011"
"3.2500","0.2652","378.4408"
"3.5000","0.2860","437.3316"
"3.7500","0.3069","497.7286"
"4.0000","0.3276","558.5708"
"4.2500","0.3484","620.4551"
"4.5000","0.3693","683.4410"
"4.7500","0.3902","747.8445"
"5.0000","0.4110","812.3143"
"5.2500","0.4318","879.0757"
"5.5000","0.4526","947.4169"
"5.7500","0.4734","1015.6761"
"6.0000","0.4944","1084.2828"
"6.2500","0.5152","1149.5079"
"6.5000","0.5360","1211.8037"
"6.7500","0.5568","1270.9811"
"7.0000","0.5776","1327.5450"
"7.2500","0.5985","1382.5969"
"7.5000","0.6194","1434.8044"
"7.7500","0.6402","1483.1488"
"8.0000","0.6609","1529.1727"
"8.2500","0.6818","1571.9163"
"8.5000","0.7027","1613.5779"
"8.7500","0.7236","1652.6742"
"9.0000","0.7444","1687.6299"
"9.2500","0.7652","1720.7518"
"9.5000","0.7859","1749.7020"
"9.7500","0.8068","1775.3761"
"10.0000","0.8277","1799.1949"
"10.2500","0.8486","1818.3572"
"10.5000","0.8693","1831.1122"
"10.7500","0.8901","1837.0477"
"11.0000","0.9110","1833.8423"
"11.2500","0.9319","1825.8236"
"11.5000","0.9527","1821.4899"
"11.7500","0.9735","1813.2456"
"12.0000","0.9943","1800.0621"
"12.2500","1.0151","1780.9330"
"12.5000","1.0360","1758.1979"
"12.7500","1.0569","1732.6687"
"13.0000","1.0777","1710.3920"
"13.2500","1.0985","1688.2947"
"13.5000","1.1193","1665.5665"
"13.7500","1.1401","1637.0941"
"14.0000","1.1611","1613.7963"
"14.2500","1.1819","1588.8203"
"14.5000","1.2027","1561.1766"
"14.7500","1.2235","1534.5338"
"15.0000","1.2443","1503.8156"
"15.2500","1.2651","1473.4490"
"15.5000","1.2861","1436.5834"
"15.7500","1.3069","1395.0916"
"16.0000","1.3277","1356.6051"
"16.2500","1.3484","1277.6176"
"16.5000","1.3693","1235.5593"
"16.7500","1.3902","1192.1587"
"17.0000","1.4111","1145.0669"
"17.2500","1.4318","1108.8372"
"17.5000","1.4526","1085.2025"
"17.7500","1.4735","1067.4756"
"18.0000","1.4943","1054.5017"
"18.2500","1.5152","1045.3721"
"18.5000","1.5360","1040.3688"
"18.7500","1.5568","1030.4620"
"19.0000","1.5776","1025.7360"
"19.2500","1.5985","1028.8121"
"19.5000","1.6194","1033.3928"
"19.7500","1.6403","1033.9429"
"20.0000","1.6610","1031.5044"
"20.2500","1.6817","1021.4451"
"20.5000","1.7027","1024.0240"
"20.7500","1.7235","1016.4498"
"21.0000","1.7443","1015.9885"
"21.2500","1.7652","1014.2220"
"21.5000","1.7860","1012.7505"
"21.7500","1.8067","1013.5020"
"22.0000","1.8277","1016.0757"
"22.2500","1.8486","1018.3931"
"22.5000","1.8693","1018.8429"
"22.7500","1.8902","970.6885"
"23.0000","1.9109","956.4301"
"23.2500","1.9318","964.7382"
"23.5000","1.9527","968.7202"
"23.7500","1.9735","975.5384"
"24.0000","1.9944","983.4507"
"24.2500","2.0151","991.7841"
"24.5000","2.0359","1000.2974"
"24.7500","2.0568","1001.1909"
"25.0000","2.0777","1005.2803"
"25.2500","2.0985","1011.5247"
"25.5000","2.1193","1017.6985"
"25.7500","2.1401","1023.8395"
"26.0000","2.1610","1029.8851"
"26.2500","2.1819","1035.2637"
"26.5000","2.2027","1041.2589"
"26.6950","2.2188","1045.5811"

