
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0473"
"0.2500","0.0160","52.6336"
"0.5000","0.0371","129.6148"
"0.7500","0.0579","202.1133"
"1.0000","0.0789","279.1845"
"1.2500","0.0996","372.5448"
"1.5000","0.1203","482.4375"
"1.7500","0.1412","613.6725"
"2.0000","0.1621","754.7172"
"2.2500","0.1829","903.6341"
"2.5000","0.2038","1061.6910"
"2.7500","0.2246","1226.2469"
"3.0000","0.2453","1405.6873"
"3.2500","0.2663","1594.1268"
"3.5000","0.2871","1785.9656"
"3.7500","0.3080","1977.8972"
"4.0000","0.3288","2168.8582"
"4.2500","0.3495","2358.8618"
"4.5000","0.3704","2551.5415"
"4.7500","0.3912","2744.9150"
"5.0000","0.4121","2938.9644"
"5.2500","0.4329","3127.5249"
"5.5000","0.4538","3309.5886"
"5.7500","0.4745","3485.8054"
"6.0000","0.4953","3659.4712"
"6.2500","0.5164","3832.4817"
"6.5000","0.5371","3994.4441"
"6.7500","0.5579","4152.4390"
"7.0000","0.5787","4303.6152"
"7.2500","0.5995","4451.5942"
"7.5000","0.6205","4598.2510"
"7.7500","0.6413","4740.1885"
"8.0000","0.6621","4876.8677"
"8.2500","0.6829","5011.3633"
"8.5000","0.7037","5140.1191"
"8.7500","0.7245","5268.1206"
"9.0000","0.7455","5396.7344"
"9.2500","0.7663","5517.6748"
"9.5000","0.7871","5635.1499"
"9.7500","0.8078","5747.0967"
"10.0000","0.8288","5861.0059"
"10.2500","0.8497","5973.2822"
"10.5000","0.8704","6077.7773"
"10.7500","0.8913","6181.0312"
"11.0000","0.9121","6281.2104"
"11.2500","0.9328","6376.0288"
"11.5000","0.9537","6472.5415"
"11.7500","0.9747","6567.2354"
"12.0000","0.9955","6655.3354"
"12.2500","1.0162","6740.3784"
"12.5000","1.0370","6822.6641"
"12.7500","1.0579","6904.4165"
"13.0000","1.0788","6986.0684"
"13.2500","1.0997","7062.0464"
"13.5000","1.1204","7134.5830"
"13.7500","1.1412","7204.8618"
"14.0000","1.1620","7273.4380"
"14.2500","1.1830","7341.3252"
"14.5000","1.2038","7407.4766"
"14.7500","1.2247","7470.5874"
"15.0000","1.2453","7526.6719"
"15.2500","1.2661","7583.9990"
"15.5000","1.2871","7642.4702"
"15.7500","1.3080","7699.0894"
"16.0000","1.3288","7750.0625"
"16.2500","1.3496","7801.3062"
"16.5000","1.3704","7847.5020"
"16.7500","1.3912","7894.8184"
"17.0000","1.4121","7941.4136"
"17.2500","1.4330","7986.2139"
"17.5000","1.4538","8028.8911"
"17.7500","1.4745","8066.4053"
"18.0000","1.4953","8103.1123"
"18.2500","1.5163","8144.0674"
"18.5000","1.5372","8182.1865"
"18.7500","1.5579","8215.6475"
"19.0000","1.5787","8249.7588"
"19.2500","1.5996","8281.5195"
"19.5000","1.6203","8312.8965"
"19.7500","1.6413","8346.1572"
"20.0000","1.6622","8376.0039"
"20.2500","1.6829","8403.1426"
"20.5000","1.7037","8430.3145"
"20.7500","1.7246","8457.2451"
"21.0000","1.7454","8483.4668"
"21.2500","1.7664","8512.1875"
"21.5000","1.7871","8534.6201"
"21.7500","1.8078","8554.7422"
"22.0000","1.8287","8578.7764"
"22.2500","1.8496","8601.3008"
"22.5000","1.8705","8623.3730"
"22.7500","1.8913","8645.1006"
"23.0000","1.9121","8663.1045"
"23.2500","1.9328","8680.2979"
"23.5000","1.9538","8699.1748"
"23.7500","1.9746","8719.3828"
"24.0000","1.9955","8736.6494"
"24.2500","2.0163","8754.5996"
"24.5000","2.0371","8768.5156"
"24.7500","2.0579","8785.1201"
"25.0000","2.0788","8802.9023"
"25.2500","2.0996","8819.2900"
"25.5000","2.1205","8835.3242"
"25.7500","2.1413","8850.0938"
"26.0000","2.1620","8863.4814"
"26.2500","2.1829","8878.2959"
"26.5000","2.2039","8896.1797"
"26.7500","2.2247","8909.8447"
"27.0000","2.2454","8923.8145"
"27.2500","2.2662","8935.4443"
"27.5000","2.2870","8949.2393"
"27.7500","2.3080","8965.1826"
"28.0000","2.3288","8978.6133"
"28.2500","2.3496","8989.3447"
"28.5000","2.3704","9001.5215"
"28.7500","2.3912","9011.9385"
"29.0000","2.4120","9024.1904"
"29.2500","2.4330","9040.0293"
"29.5000","2.4539","9053.0391"
"29.7500","2.4746","9062.8330"
"30.0000","2.4954","9071.3066"
"30.2500","2.5163","9083.2959"
"30.5000","2.5372","9096.7188"
"30.7500","2.5580","9107.1484"
"31.0000","2.5788","9117.0117"
"31.2500","2.5996","9127.1797"
"31.5000","2.6204","9136.4023"
"31.7500","2.6412","9147.2480"
"32.0000","2.6622","9160.9424"
"32.2500","2.6830","9170.4395"
"32.5000","2.7038","9179.7646"
"32.7500","2.7245","9187.2988"
"33.0000","2.7454","9198.6475"
"33.2500","2.7663","9211.6973"
"33.5000","2.7871","9219.9014"
"33.7500","2.8079","9228.8887"
"34.0000","2.8287","9238.4512"
"34.2500","2.8495","9247.0850"
"34.5000","2.8704","9257.6738"
"34.7500","2.8913","9268.2588"
"35.0000","2.9122","9279.3311"
"35.2500","2.9329","9284.9990"
"35.5000","2.9536","9291.9795"
"35.7500","2.9746","9304.3818"
"36.0000","2.9955","9315.4199"
"36.2500","3.0163","9322.8945"
"36.5000","3.0371","9331.2891"
"36.7500","3.0579","9337.3418"
"37.0000","3.0787","9346.0615"
"37.2500","3.0997","9356.4746"
"37.5000","3.1205","9363.5117"
"37.7500","3.1413","9371.7617"
"38.0000","3.1620","9376.0889"
"38.2500","3.1828","9380.8584"
"38.5000","3.2038","9390.8447"
"38.7500","3.2247","9399.5762"
"39.0000","3.2454","9402.7422"
"39.2500","3.2663","9408.5020"
"39.5000","3.2871","9413.4004"
"39.7500","3.3079","9418.6846"
"40.0000","3.3288","9426.2236"
"40.2500","3.3497","9432.4502"
"40.5000","3.3704","9436.6123"
"40.7500","3.3912","9439.9619"
"41.0000","3.4121","9445.7041"
"41.2500","3.4329","9450.9404"
"41.5000","3.4539","9460.1973"
"41.7500","3.4746","9460.7988"
"42.0000","3.4953","9460.0635"
"42.2500","3.5163","9464.7695"
"42.5000","3.5371","9466.3418"
"42.7500","3.5579","9467.8594"
"43.0000","3.5789","9473.2031"
"43.2500","3.5996","9472.2178"
"43.5000","3.6203","9470.8965"
"43.7500","3.6412","9475.6465"
"44.0000","3.6622","9479.5371"
"44.2500","3.6830","9482.7334"
"44.5000","3.7038","9485.4404"
"44.7500","3.7245","9483.7158"
"45.0000","3.7454","9486.4238"
"45.2500","3.7663","9489.5420"
"45.5000","3.7871","9490.7158"
"45.7500","3.8080","9494.3555"
"46.0000","3.8288","9492.0381"
"46.2500","3.8495","9491.9453"
"46.5000","3.8703","9490.4912"
"46.7500","3.8913","9493.5566"
"47.0000","3.9122","9489.6777"
"47.2500","3.9329","9482.7344"
"47.5000","3.9538","9473.1660"
"47.7500","3.9745","9460.2500"
"48.0000","3.9955","9445.2129"
"48.2500","4.0164","9419.4141"
"48.5000","4.0371","9389.3457"
"48.7500","4.0579","9361.9307"
"49.0000","4.0787","9334.0898"
"49.2500","4.0996","9308.9736"
"49.5000","4.1205","9282.3994"
"49.7500","4.1414","9248.9121"
"50.0000","4.1621","9219.1455"
"50.2500","4.1829","9192.9854"
"50.5000","4.2037","9176.6621"
"50.7500","4.2247","9165.8350"
"51.0000","4.2455","9148.4404"
"51.2500","4.2663","9130.3145"
"51.5000","4.2871","9114.1875"
"51.7500","4.3079","9097.3770"
"52.0000","4.3287","9081.8779"
"52.2500","4.3497","9069.8262"
"52.5000","4.3705","9044.6387"
"52.7500","4.3913","9016.7236"
"53.0000","4.4120","8975.3252"
"53.2500","4.4329","8945.5068"
"53.5000","4.4538","8923.4883"
"53.7500","4.4747","8909.2021"
"54.0000","4.4955","8887.0029"
"54.2500","4.5162","8857.6953"
"54.5000","4.5371","8831.5303"
"54.7500","4.5580","8806.0830"
"55.0000","4.5788","8780.9141"
"55.2500","4.5997","8756.0195"
"55.5000","4.6204","8727.9404"
"55.7500","4.6411","8701.6465"
"56.0000","4.6621","8675.2500"
"56.2500","4.6830","8645.7285"
"56.5000","4.7038","8611.8320"
"56.7500","4.7247","8573.6719"
"57.0000","4.7454","8524.8564"
"57.2500","4.7662","8469.7910"
"57.5000","4.7872","8405.3379"
"57.7500","4.8080","8330.5918"
"58.0000","4.8288","8262.8740"
"58.2500","4.8496","8192.5029"
"58.5000","4.8703","8128.4604"
"58.7500","4.8913","8076.2827"
"59.0000","4.9122","8014.0591"
"59.2500","4.9329","7947.3794"
"59.5000","4.9538","7894.4512"
"59.7500","4.9746","7836.7153"
"60.0000","4.9954","7778.3130"
"60.2500","5.0163","7721.1694"
"60.5000","5.0372","7643.9448"
"60.7500","5.0579","7570.7012"
"61.0000","5.0787","7511.1250"
"61.2500","5.0996","7464.0581"
"61.5000","5.1204","7423.2495"
"61.7500","5.1414","7387.7900"
"62.0000","5.1621","7348.2656"
"62.2500","5.1828","7306.3628"
"62.5000","5.2038","7262.7842"
"62.7500","5.2246","7213.1128"
"63.0000","5.2455","7160.3784"
"63.2500","5.2664","7101.8169"
"63.5000","5.2871","7019.9795"
"63.7500","5.3078","6927.2915"
"64.0000","5.3288","6832.9448"
"64.2500","5.3496","6693.4116"
"64.5000","5.3705","6592.8311"
"64.7500","5.3913","6588.0229"
"65.0000","5.4120","6582.3936"
"65.2500","5.4329","6582.2974"
"65.5000","5.4538","6577.5161"
"65.7500","5.4746","6561.6504"
"66.0000","5.4955","6550.3896"
"66.2500","5.5163","6540.0625"
"66.5000","5.5370","6524.5728"
"66.7500","5.5579","6504.1304"
"67.0000","5.5788","6487.2905"
"67.2500","5.5997","6463.7827"
"67.5000","5.6204","6437.5298"
"67.7500","5.6413","6410.1963"
"68.0000","5.6620","6380.1699"
"68.2500","5.6829","6348.5244"
"68.5000","5.7039","6308.8359"
"68.7500","5.7246","6255.8882"
"69.0000","5.7454","6193.7603"
"69.2500","5.7662","6146.2397"
"69.5000","5.7871","6104.1816"
"69.7500","5.8080","6077.4131"
"70.0000","5.8288","6056.5581"
"70.2500","5.8496","6032.7456"
"70.5000","5.8704","6015.1089"
"70.7500","5.8912","6005.9526"
"71.0000","5.9122","5980.2817"
"71.2500","5.9330","5966.4009"
"71.5000","5.9538","5959.9199"
"71.7500","5.9746","5954.0361"
"72.0000","5.9954","5942.6729"
"72.2500","6.0163","5940.5801"
"72.5000","6.0372","5945.0161"
"72.7500","6.0580","5943.3096"
"73.0000","6.0788","5940.0464"
"73.2500","6.0995","5934.0063"
"73.5000","6.1204","5929.5815"
"73.7500","6.1413","5924.7861"
"74.0000","6.1621","5915.9980"
"74.2500","6.1830","5904.7202"
"74.5000","6.2037","5892.4409"
"74.7500","6.2246","5882.1006"
"75.0000","6.2454","5871.7500"
"75.2500","6.2663","5856.3125"
"75.5000","6.2872","5822.5962"
"75.7500","6.3079","5748.9985"
"76.0000","6.3287","5509.1421"
"76.2500","6.3497","5277.2324"
"76.5000","6.3705","5214.1660"
"76.7500","6.3913","5193.8687"
"77.0000","6.4121","5190.9512"
"77.2500","6.4329","5192.6680"
"77.5000","6.4538","5197.2515"
"77.7500","6.4747","5201.7329"
"78.0000","6.4955","5206.8115"
"78.2500","6.5163","5212.5449"
"78.5000","6.5370","5217.1377"
"78.7500","6.5578","5222.4116"
"79.0000","6.5788","5234.2070"
"79.2500","6.5997","5244.1274"
"79.5000","6.6204","5251.9771"
"79.7500","6.6413","5259.7339"
"80.0000","6.6620","5262.0229"
"80.2500","6.6829","5266.9272"
"80.5000","6.7038","5275.6289"
"80.7500","6.7247","5282.1055"
"81.0000","6.7454","5284.8535"
"81.2500","6.7662","5286.1152"
"81.5000","6.7871","5287.2183"
"81.7500","6.8079","5290.8359"
"82.0000","6.8289","5298.0503"
"82.2500","6.8496","5298.1406"
"82.5000","6.8703","5293.7080"
"82.7500","6.8913","5290.8115"
"83.0000","6.9121","5284.4746"
"83.2500","6.9329","5282.9478"
"83.5000","6.9538","5285.2988"
"83.7500","6.9746","5287.3833"
"84.0000","6.9953","5287.6787"
"84.2500","7.0162","5289.0635"
"84.5000","7.0371","5286.6006"
"84.7500","7.0580","5281.6416"
"85.0000","7.0788","5269.3730"
"85.2500","7.0995","5249.5020"
"85.5000","7.1204","5207.7173"
"85.7500","7.1413","5149.9453"
"86.0000","7.1621","5091.3999"
"86.2500","7.1830","5009.6128"
"86.5000","7.2038","4948.0234"
"86.7500","7.2245","4905.3882"
"87.0000","7.2454","4879.0698"
"87.2500","7.2663","4859.4683"
"87.5000","7.2872","4844.0957"
"87.7500","7.3079","4826.2676"
"88.0000","7.3288","4808.2720"
"88.2500","7.3496","4789.7271"
"88.5000","7.3705","4771.8677"
"88.7500","7.3913","4752.0527"
"89.0000","7.4121","4726.3237"
"89.2500","7.4330","4697.6958"
"89.5000","7.4537","4660.0591"
"89.7500","7.4746","4623.2744"
"90.0000","7.4956","4555.5620"
"90.2500","7.5163","4531.9609"
"90.5000","7.5371","4517.5195"
"90.7500","7.5579","4505.9800"
"91.0000","7.5788","4492.5679"
"91.2500","7.5997","4476.5762"
"91.5000","7.6205","4458.7422"
"91.7500","7.6413","4443.5190"
"92.0000","7.6621","4430.7622"
"92.2500","7.6829","4418.1025"
"92.5000","7.7038","4404.7339"
"92.7500","7.7247","4394.8262"
"93.0000","7.7455","4385.2866"
"93.2500","7.7663","4376.8232"
"93.5000","7.7870","4365.8149"
"93.7500","7.8079","4356.3130"
"94.0000","7.8288","4343.9810"
"94.2500","7.8496","4314.4404"
"94.5000","7.8705","4258.1875"
"94.7500","7.8912","4216.3779"
"95.0000","7.9121","4193.3047"
"95.2500","7.9330","4176.2827"
"95.5000","7.9538","4161.3032"
"95.7500","7.9747","4149.0078"
"96.0000","7.9954","4137.9312"
"96.2500","8.0162","4128.1265"
"96.5000","8.0371","4119.3428"
"96.7500","8.0580","4110.7988"
"97.0000","8.0788","4100.2285"
"97.2500","8.0997","4091.7996"
"97.5000","8.1204","4083.1211"
"97.7500","8.1415","3063.5032"
"98.0000","8.1622","2884.0938"
"98.2500","8.1829","2833.1594"
"98.5000","8.2038","2810.6533"
"98.7500","8.2246","2799.1860"
"99.0000","8.2453","2791.7405"
"99.2500","8.2663","2787.8855"

