
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0331"
"0.0500","0.0001","-0.1733"
"0.1000","0.0008","0.2104"
"0.1500","0.0011","0.1799"
"0.2000","0.0027","0.1206"
"0.2500","0.0058","0.1123"
"0.3000","0.0077","0.1069"
"0.3500","0.0094","0.0920"
"0.4000","0.0111","0.0967"
"0.4500","0.0127","0.0971"
"0.5000","0.0141","-0.0692"
"0.5500","0.0161","0.1876"
"0.6000","0.0177","0.2321"
"0.6500","0.0195","-0.0111"
"0.7000","0.0211","-0.0396"
"0.7500","0.0228","0.1923"
"0.8000","0.0243","0.1059"
"0.8500","0.0258","0.2115"
"0.9000","0.0279","0.1023"
"0.9500","0.0294","0.0471"
"1.0000","0.0311","0.1811"
"1.0500","0.0327","0.0671"
"1.1000","0.0345","0.1397"
"1.1500","0.0360","-0.0892"
"1.2000","0.0376","-0.0200"
"1.2500","0.0395","0.1360"
"1.3000","0.0410","0.0535"
"1.3500","0.0428","0.2018"
"1.4000","0.0443","0.4097"
"1.4500","0.0462","0.1849"
"1.5000","0.0476","0.2057"
"1.5500","0.0492","0.3638"
"1.6000","0.0512","0.2276"
"1.6500","0.0527","0.0319"
"1.7000","0.0545","0.2808"
"1.7500","0.0560","0.0162"
"1.8000","0.0579","0.1273"
"1.8500","0.0592","-0.0447"
"1.9000","0.0609","0.3169"
"1.9500","0.0629","0.0543"
"2.0000","0.0644","0.0032"
"2.0500","0.0662","0.1902"
"2.1000","0.0677","0.0889"
"2.1500","0.0695","0.1081"
"2.2000","0.0709","0.1061"
"2.2500","0.0727","-0.0789"
"2.3000","0.0745","0.1303"
"2.3500","0.0760","0.1849"
"2.4000","0.0778","-0.0191"
"2.4500","0.0793","0.1827"
"2.5000","0.0812","0.2102"
"2.5500","0.0825","0.3365"
"2.6000","0.0844","0.0650"
"2.6500","0.0861","0.2074"
"2.7000","0.0876","0.2139"
"2.7500","0.0895","0.0954"
"2.8000","0.0910","0.0487"
"2.8500","0.0928","0.1757"
"2.9000","0.0941","0.1690"
"2.9500","0.0961","0.1215"
"3.0000","0.0978","0.2032"
"3.0500","0.0994","0.1429"
"3.1000","0.1011","0.1448"
"3.1500","0.1027","0.1784"
"3.2000","0.1045","0.1671"
"3.2500","0.1058","0.1208"
"3.3000","0.1078","0.1591"
"3.3500","0.1094","0.0324"
"3.4000","0.1111","0.2429"
"3.4500","0.1128","0.2023"
"3.5000","0.1144","0.1196"
"3.5500","0.1161","0.0992"
"3.6000","0.1175","0.0313"
"3.6500","0.1196","0.2169"
"3.7000","0.1211","0.1089"
"3.7500","0.1228","0.0790"
"3.8000","0.1244","0.0084"
"3.8500","0.1262","0.1100"
"3.9000","0.1277","0.1875"
"3.9500","0.1292","0.0706"
"4.0000","0.1313","0.4005"
"4.0500","0.1327","0.1422"
"4.1000","0.1345","-0.1185"
"4.1500","0.1360","-0.0781"
"4.2000","0.1379","0.1965"
"4.2500","0.1394","-0.1211"
"4.3000","0.1408","0.1982"
"4.3500","0.1429","0.1560"
"4.4000","0.1444","0.2114"
"4.4500","0.1462","0.1040"
"4.5000","0.1476","0.0352"
"4.5500","0.1495","0.0597"
"4.6000","0.1509","0.0222"
"4.6500","0.1526","0.1605"
"4.7000","0.1546","0.0113"
"4.7500","0.1560","0.2207"
"4.8000","0.1578","0.3403"
"4.8500","0.1593","-0.0496"
"4.9000","0.1612","0.0782"
"4.9500","0.1626","0.0839"
"5.0000","0.1643","0.1987"
"5.0500","0.1662","0.1811"
"5.1000","0.1677","0.2039"
"5.1500","0.1695","0.1384"
"5.2000","0.1710","0.2665"
"5.2500","0.1729","0.1569"
"5.3000","0.1742","0.0869"
"5.3500","0.1760","-0.0417"
"5.4000","0.1778","0.0399"
"5.4500","0.1794","0.0730"
"5.5000","0.1812","0.2625"
"5.5500","0.1826","0.0871"
"5.6000","0.1845","0.0642"
"5.6500","0.1858","0.1857"
"5.7000","0.1878","0.1336"
"5.7500","0.1895","0.2622"
"5.8000","0.1911","0.1748"
"5.8500","0.1928","0.1052"
"5.9000","0.1944","0.1578"
"5.9500","0.1961","0.0469"
"6.0000","0.1975","0.0500"
"6.0500","0.1995","0.2043"
"6.1000","0.2011","0.2584"
"6.1500","0.2028","-0.0239"
"6.2000","0.2044","-0.0038"
"6.2500","0.2061","0.0700"
"6.3000","0.2078","0.1407"
"6.3500","0.2091","-0.0254"
"6.4000","0.2112","0.1246"
"6.4500","0.2127","0.1055"
"6.5000","0.2144","0.0214"
"6.5500","0.2161","0.1324"
"6.6000","0.2178","0.3298"
"6.6500","0.2194","0.2492"
"6.7000","0.2208","0.1146"
"6.7500","0.2229","0.0246"
"6.8000","0.2244","0.1396"
"6.8500","0.2262","0.0194"
"6.9000","0.2277","0.2903"
"6.9500","0.2294","0.2147"
"7.0000","0.2310","0.1016"
"7.0500","0.2326","0.1286"
"7.1000","0.2346","0.1751"
"7.1500","0.2360","-0.0478"
"7.2000","0.2378","0.1256"
"7.2500","0.2394","0.2081"
"7.3000","0.2412","0.3440"
"7.3500","0.2427","0.1902"
"7.4000","0.2443","0.0498"
