
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0449"
"0.0500","0.0001","0.0452"
"0.1000","0.0007","0.9254"
"0.1500","0.0012","1.4614"
"0.2000","0.0031","4.0477"
"0.2500","0.0056","7.1020"
"0.3000","0.0077","9.7124"
"0.3500","0.0094","11.9802"
"0.4000","0.0111","13.9055"
"0.4500","0.0128","15.9619"
"0.5000","0.0145","18.2168"
"0.5500","0.0158","19.6055"
"0.6000","0.0178","21.9351"
"0.6500","0.0194","23.6805"
"0.7000","0.0212","25.8564"
"0.7500","0.0227","27.6736"
"0.8000","0.0244","29.6491"
"0.8500","0.0261","31.4369"
"0.9000","0.0275","32.9906"
"0.9500","0.0296","35.2075"
"1.0000","0.0310","36.8178"
"1.0500","0.0328","38.9343"
"1.1000","0.0343","40.8323"
"1.1500","0.0361","42.8610"
"1.2000","0.0377","44.3205"
"1.2500","0.0393","46.0047"
"1.3000","0.0413","48.0157"
"1.3500","0.0427","49.5910"
"1.4000","0.0445","51.4182"
"1.4500","0.0460","52.9953"
"1.5000","0.0479","54.9206"
"1.5500","0.0493","56.2103"
"1.6000","0.0510","57.6230"
"1.6500","0.0529","59.6838"
"1.7000","0.0544","61.0146"
"1.7500","0.0563","62.6357"
"1.8000","0.0577","63.9381"
"1.8500","0.0596","65.5597"
"1.9000","0.0609","66.7256"
"1.9500","0.0627","68.3393"
"2.0000","0.0646","69.7770"
"2.0500","0.0661","70.9199"
"2.1000","0.0679","72.2981"
"2.1500","0.0693","73.5367"
"2.2000","0.0712","74.9362"
"2.2500","0.0726","75.8999"
"2.3000","0.0745","76.9690"
"2.3500","0.0762","78.1552"
"2.4000","0.0777","79.0968"
"2.4500","0.0795","80.1388"
"2.5000","0.0811","81.0259"
"2.5500","0.0829","82.0765"
"2.6000","0.0842","82.6126"
"2.6500","0.0861","83.5789"
"2.7000","0.0878","84.2166"
"2.7500","0.0894","84.8095"
"2.8000","0.0912","85.1115"
"2.8500","0.0927","85.4238"
"2.9000","0.0945","85.6216"
"2.9500","0.0959","85.8271"
"3.0000","0.0979","85.8945"
"3.0500","0.0994","86.1117"
"3.1000","0.1011","86.1301"
"3.1500","0.1028","86.0209"
"3.2000","0.1044","86.0819"
"3.2500","0.1061","86.0842"
"3.3000","0.1076","86.2632"
"3.3500","0.1096","85.9996"
"3.4000","0.1111","86.2022"
"3.4500","0.1128","86.2094"
"3.5000","0.1144","86.2358"
"3.5500","0.1161","86.1395"
"3.6000","0.1178","86.1366"
"3.6500","0.1193","86.2687"
"3.7000","0.1212","86.2129"
"3.7500","0.1227","86.3335"
"3.8000","0.1245","86.4354"
"3.8500","0.1261","86.1783"
"3.9000","0.1279","86.2228"
"3.9500","0.1294","86.0986"
"4.0000","0.1309","86.3605"
"4.0500","0.1329","86.2589"
"4.1000","0.1344","85.9443"
"4.1500","0.1362","86.2421"
"4.2000","0.1377","86.2228"
"4.2500","0.1395","86.3773"
"4.3000","0.1410","86.4945"
"4.3500","0.1426","86.2003"
"4.4000","0.1446","85.9889"
"4.4500","0.1460","85.6986"
"4.5000","0.1478","85.6120"
"4.5500","0.1494","85.6293"
"4.6000","0.1512","85.7559"
"4.6500","0.1527","85.8335"
"4.7000","0.1543","85.5873"
"4.7500","0.1562","85.6875"
"4.8000","0.1577","85.9146"
"4.8500","0.1595","85.7876"
"4.9000","0.1610","85.6712"
"4.9500","0.1629","85.8276"
"5.0000","0.1643","85.8739"
"5.0500","0.1660","85.8629"
"5.1000","0.1679","85.5391"
"5.1500","0.1694","85.9411"
"5.2000","0.1712","85.8092"
"5.2500","0.1727","85.8219"
"5.3000","0.1746","85.7804"
"5.3500","0.1759","85.8260"
"5.4000","0.1777","85.7420"
"5.4500","0.1796","85.8771"
"5.5000","0.1811","85.5700"
"5.5500","0.1829","85.7207"
"5.6000","0.1844","85.7913"
"5.6500","0.1862","85.7522"
"5.7000","0.1876","85.7463"
"5.7500","0.1895","85.7131"
"5.8000","0.1912","85.8073"
"5.8500","0.1927","85.6304"
"5.9000","0.1945","85.7637"
"5.9500","0.1961","85.8274"
"6.0000","0.1979","85.6614"
"6.0500","0.1992","85.8081"
"6.1000","0.2012","85.6623"
"6.1500","0.2028","85.6531"
"6.2000","0.2044","85.5976"
"6.2500","0.2061","85.9828"
"6.3000","0.2078","85.6673"
"6.3500","0.2095","85.4756"
"6.4000","0.2108","85.7267"
"6.4500","0.2128","85.7852"
"6.5000","0.2144","85.5392"
"6.5500","0.2161","85.5686"
"6.6000","0.2178","85.6387"
"6.6500","0.2195","85.7760"
"6.7000","0.2211","85.6318"
"6.7500","0.2225","85.8597"
"6.8000","0.2246","85.7332"
"6.8500","0.2261","85.5601"
"6.9000","0.2278","85.7913"
"6.9500","0.2295","85.9528"
"7.0000","0.2311","85.6552"
"7.0500","0.2327","85.8120"
"7.1000","0.2342","86.0698"
"7.1500","0.2363","86.3158"
"7.2000","0.2377","86.2554"
"7.2500","0.2395","86.3761"
"7.3000","0.2411","86.4641"
"7.3500","0.2429","86.3018"
"7.4000","0.2444","86.4000"
"7.4500","0.2459","86.4538"
"7.5000","0.2479","86.3798"
"7.5500","0.2494","86.3847"
"7.6000","0.2512","86.5094"
"7.6500","0.2527","86.4762"
"7.7000","0.2546","86.5339"
"7.7500","0.2560","86.4572"
