
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0433"
"0.1000","0.0008","2.4213"
"0.2000","0.0027","7.8188"
"0.3000","0.0077","22.1255"
"0.4000","0.0111","32.0592"
"0.5000","0.0143","40.9886"
"0.6000","0.0176","50.1820"
"0.7000","0.0210","59.5434"
"0.8000","0.0242","68.3323"
"0.9000","0.0278","78.2919"
"1.0000","0.0312","87.1741"
"1.1000","0.0345","96.3653"
"1.2000","0.0377","104.8524"
"1.3000","0.0411","113.8148"
"1.4000","0.0444","122.6572"
"1.5000","0.0475","130.8681"
"1.6000","0.0511","140.3320"
"1.7000","0.0545","149.0300"
"1.8000","0.0578","157.8136"
"1.9000","0.0611","166.3919"
"2.0000","0.0644","174.7469"
"2.1000","0.0678","183.4822"
"2.2000","0.0708","190.9247"
"2.3000","0.0744","200.0362"
"2.4000","0.0777","208.6088"
"2.5000","0.0810","216.9879"
"2.6000","0.0845","225.7946"
"2.7000","0.0878","233.6215"
"2.8000","0.0911","241.9735"
"2.9000","0.0943","249.2333"
"3.0000","0.0977","257.5670"
"3.1000","0.1010","265.7089"
"3.2000","0.1043","273.7222"
"3.3000","0.1079","282.5923"
"3.4000","0.1112","290.0177"
"3.5000","0.1146","298.1598"
"3.6000","0.1176","305.0445"
"3.7000","0.1211","313.2410"
"3.8000","0.1242","320.4742"
"3.9000","0.1275","327.6272"
"4.0000","0.1312","336.1170"
"4.1000","0.1344","343.2622"
"4.2000","0.1379","351.0970"
"4.3000","0.1411","358.0281"
"4.4000","0.1444","364.9322"
"4.5000","0.1477","372.0103"
"4.6000","0.1508","378.4379"
"4.7000","0.1544","385.9946"
"4.8000","0.1577","392.7314"
"4.9000","0.1611","399.8865"
"5.0000","0.1645","406.9662"
"5.1000","0.1678","413.7349"
"5.2000","0.1711","420.5727"
"5.3000","0.1742","426.4370"
"5.4000","0.1777","433.2816"
"5.5000","0.1810","437.4609"
"5.6000","0.1843","442.5530"
"5.7000","0.1878","447.8072"
"5.8000","0.1912","453.0315"
"5.9000","0.1945","457.8914"
"6.0000","0.1976","462.1130"
"6.1000","0.2010","467.1107"
"6.2000","0.2044","471.6898"
"6.3000","0.2076","476.1582"
"6.4000","0.2112","481.6387"
"6.5000","0.2145","486.8376"
"6.6000","0.2178","491.3954"
"6.7000","0.2211","495.9472"
"6.8000","0.2244","500.4112"
"6.9000","0.2277","505.6450"
"7.0000","0.2308","510.6741"
"7.1000","0.2345","516.9077"
"7.2000","0.2378","522.5305"
"7.3000","0.2412","527.9943"
"7.4000","0.2444","533.7939"
"7.5000","0.2477","538.9775"
"7.6000","0.2510","544.7542"
"7.7000","0.2541","549.7071"
"7.8000","0.2578","556.1424"
"7.9000","0.2611","561.7816"
"8.0000","0.2645","567.4712"
"8.1000","0.2678","573.5128"
"8.2000","0.2711","578.7679"
