
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1710"
"0.2500","0.0159","20.0334"
"0.5000","0.0366","73.7679"
"0.7500","0.0576","145.1253"
"1.0000","0.0786","236.0527"
"1.2500","0.0994","334.9991"
"1.5000","0.1202","438.2644"
"1.7500","0.1409","551.5443"
"2.0000","0.1618","678.9815"
"2.2500","0.1827","823.9518"
"2.5000","0.2035","981.3473"
"2.7500","0.2244","1160.6512"
"3.0000","0.2451","1348.5454"
"3.2500","0.2659","1544.8298"
"3.5000","0.2868","1744.2560"
"3.7500","0.3078","1947.9893"
"4.0000","0.3285","2153.2632"
"4.2500","0.3493","2360.1714"
"4.5000","0.3701","2560.7290"
"4.7500","0.3909","2754.8369"
"5.0000","0.4118","2942.5217"
"5.2500","0.4327","3120.6833"
"5.5000","0.4535","3286.9578"
"5.7500","0.4743","3445.7832"
"6.0000","0.4951","3599.5710"
"6.2500","0.5159","3747.4956"
"6.5000","0.5370","3896.2222"
"6.7500","0.5577","4033.3848"
"7.0000","0.5784","4167.8896"
"7.2500","0.5993","4302.3188"
"7.5000","0.6201","4433.0229"
"7.7500","0.6410","4561.3486"
"8.0000","0.6619","4687.6323"
"8.2500","0.6827","4809.8184"
"8.5000","0.7034","4927.6216"
"8.7500","0.7243","5045.3955"
"9.0000","0.7451","5161.5044"
"9.2500","0.7661","5275.9775"
"9.5000","0.7869","5384.6128"
"9.7500","0.8076","5487.8716"
"10.0000","0.8284","5591.5425"
"10.2500","0.8493","5694.5859"
"10.5000","0.8701","5793.2632"
"10.7500","0.8910","5891.4170"
"11.0000","0.9118","5985.8442"
"11.2500","0.9326","6076.3101"
"11.5000","0.9534","6165.2383"
"11.7500","0.9744","6257.2695"
"12.0000","0.9952","6343.8066"
"12.2500","1.0160","6426.0469"
"12.5000","1.0368","6505.4893"
"12.7500","1.0575","6581.6841"
"13.0000","1.0785","6661.2124"
"13.2500","1.0994","6735.3740"
"13.5000","1.1202","6807.1782"
"13.7500","1.1410","6877.1318"
"14.0000","1.1617","6942.3071"
"14.2500","1.1826","7008.1787"
"14.5000","1.2036","7075.5869"
"14.7500","1.2244","7136.2876"
"15.0000","1.2452","7196.6343"
"15.2500","1.2659","7252.7148"
"15.5000","1.2868","7308.2627"
"15.7500","1.3077","7365.7759"
"16.0000","1.3285","7418.9448"
"16.2500","1.3493","7469.6528"
"16.5000","1.3701","7518.3945"
"16.7500","1.3909","7564.1714"
"17.0000","1.4118","7611.1704"
"17.2500","1.4328","7660.9180"
"17.5000","1.4535","7701.9380"
"17.7500","1.4743","7744.1089"
"18.0000","1.4951","7782.0557"
"18.2500","1.5159","7820.6631"
"18.5000","1.5369","7862.5479"
"18.7500","1.5577","7898.7231"
"19.0000","1.5785","7932.4014"
"19.2500","1.5993","7966.3530"
"19.5000","1.6201","7997.7617"
"19.7500","1.6410","8029.2905"
"20.0000","1.6619","8062.2734"
"20.2500","1.6828","8092.9146"
"20.5000","1.7035","8118.3159"
"20.7500","1.7242","8143.2715"
"21.0000","1.7452","8172.5024"
"21.2500","1.7661","8199.6875"
"21.5000","1.7869","8224.5703"
"21.7500","1.8077","8247.3994"
"22.0000","1.8285","8268.4453"
"22.2500","1.8492","8289.0264"
"22.5000","1.8702","8312.2480"
"22.7500","1.8910","8333.3564"
"23.0000","1.9119","8354.0908"
"23.2500","1.9326","8370.4346"
"23.5000","1.9533","8386.0840"
"23.7500","1.9743","8406.8691"
"24.0000","1.9952","8425.2070"
"24.2500","2.0160","8440.2305"
"24.5000","2.0368","8455.1152"
"24.7500","2.0576","8468.8564"
"25.0000","2.0784","8482.8242"
"25.2500","2.0994","8498.7812"
"25.5000","2.1203","8513.0527"
"25.7500","2.1410","8523.5820"
"26.0000","2.1618","8534.6992"
"26.2500","2.1826","8545.0684"
"26.5000","2.2034","8554.9580"
"26.7500","2.2245","8569.7646"
"27.0000","2.2452","8579.4102"
"27.2500","2.2659","8591.7480"
"27.5000","2.2868","8607.3008"
"27.7500","2.3076","8619.6240"
"28.0000","2.3285","8634.5273"
"28.2500","2.3494","8648.4551"
"28.5000","2.3702","8659.6982"
"28.7500","2.3909","8668.5703"
"29.0000","2.4118","8681.1406"
"29.2500","2.4326","8692.7734"
"29.5000","2.4536","8707.5400"
"29.7500","2.4744","8716.7871"
"30.0000","2.4951","8724.7441"
"30.2500","2.5159","8735.3730"
"30.5000","2.5368","8745.5820"
"30.7500","2.5577","8755.6895"
"31.0000","2.5785","8765.1924"
"31.2500","2.5994","8774.7383"
"31.5000","2.6200","8779.7998"
"31.7500","2.6408","8787.8838"
"32.0000","2.6619","8799.3760"
"32.2500","2.6827","8809.1982"
"32.5000","2.7035","8815.4014"
"32.7500","2.7243","8822.3955"
"33.0000","2.7451","8828.4727"
"33.2500","2.7660","8838.8936"
"33.5000","2.7869","8846.6123"
"33.7500","2.8076","8852.8457"
"34.0000","2.8286","8861.2734"
"34.2500","2.8493","8864.8760"
"34.5000","2.8701","8871.6719"
"34.7500","2.8911","8882.3418"
"35.0000","2.9119","8888.9023"
"35.2500","2.9326","8894.1650"
"35.5000","2.9534","8898.6064"
"35.7500","2.9743","8903.0918"
"36.0000","2.9952","8912.0469"
"36.2500","3.0161","8918.3604"
"36.5000","3.0368","8921.6006"
"36.7500","3.0576","8924.9395"
"37.0000","3.0784","8926.1699"
"37.2500","3.0993","8929.2500"
"37.5000","3.1203","8934.2568"
"37.7500","3.1410","8931.8018"
"38.0000","3.1618","8928.4326"
"38.2500","3.1826","8915.7461"
"38.5000","3.2034","8891.3232"
"38.7500","3.2244","8853.4561"
"39.0000","3.2452","8815.9453"
"39.2500","3.2661","8788.4590"
"39.5000","3.2868","8762.9961"
"39.7500","3.3076","8743.2617"
"40.0000","3.3285","8726.2217"
"40.2500","3.3494","8712.6836"
"40.5000","3.3703","8700.5908"
"40.7500","3.3910","8685.6406"
"41.0000","3.4117","8669.7275"
"41.2500","3.4327","8655.3770"
"41.5000","3.4536","8645.4814"
"41.7500","3.4743","8635.2012"
"42.0000","3.4952","8627.6055"
"42.2500","3.5159","8621.1328"
"42.5000","3.5368","8618.6084"
"42.7500","3.5577","8617.6211"
"43.0000","3.5785","8617.7881"
"43.2500","3.5994","8619.0928"
"43.5000","3.6201","8616.1865"
"43.7500","3.6408","8614.3486"
"44.0000","3.6618","8617.7871"
"44.2500","3.6827","8618.9580"
"44.5000","3.7035","8616.3457"
"44.7500","3.7243","8615.4404"
"45.0000","3.7451","8610.4541"
"45.2500","3.7659","8605.4756"
"45.5000","3.7868","8600.0332"
"45.7500","3.8077","8590.6064"
"46.0000","3.8285","8574.3740"
"46.2500","3.8493","8553.0312"
"46.5000","3.8701","8527.6123"
"46.7500","3.8910","8500.1436"
"47.0000","3.9120","8470.6445"
"47.2500","3.9327","8432.5723"
"47.5000","3.9534","8391.3242"
"47.7500","3.9743","8350.8193"
"48.0000","3.9951","8301.9678"
"48.2500","4.0160","8258.1709"
"48.5000","4.0370","8221.0381"
"48.7500","4.0577","8179.3291"
"49.0000","4.0784","8139.1655"
"49.2500","4.0993","8101.5752"
"49.5000","4.1201","8065.6318"
"49.7500","4.1411","8032.0830"
"50.0000","4.1619","7996.8975"
"50.2500","4.1826","7952.3936"
"50.5000","4.2034","7912.5112"
"50.7500","4.2243","7877.8633"
"51.0000","4.2452","7850.1777"
"51.2500","4.2660","7823.1304"
"51.5000","4.2869","7794.6074"
"51.7500","4.3076","7752.8296"
"52.0000","4.3284","7604.5176"
"52.2500","4.3494","7558.8257"
"52.5000","4.3702","7527.3091"
"52.7500","4.3910","7504.5293"
"53.0000","4.4118","7486.8628"
"53.2500","4.4326","7475.4072"
"53.5000","4.4535","7470.0288"
"53.7500","4.4744","7467.7603"
"54.0000","4.4952","7467.6431"
"54.2500","4.5160","7468.0610"
"54.5000","4.5368","7462.4351"
"54.7500","4.5576","7303.5620"
"55.0000","4.5786","7296.7544"
"55.2500","4.5994","7300.8301"
"55.5000","4.6202","7307.0625"
"55.7500","4.6409","7310.8228"
"56.0000","4.6618","7320.3140"
"56.2500","4.6827","7333.4531"
"56.5000","4.7036","7344.8867"
"56.7500","4.7243","7352.6777"
"57.0000","4.7452","7362.5752"
"57.2500","4.7659","7370.1338"
"57.5000","4.7868","7384.1245"
"57.7500","4.8078","7396.1997"
"58.0000","4.8285","7403.5234"
"58.2500","4.8493","7408.4399"
"58.5000","4.8700","7407.7920"
"58.7500","4.8909","7407.8599"
"59.0000","4.9119","7407.6743"
"59.2500","4.9327","7404.7207"
"59.5000","4.9535","7404.3198"
"59.7500","4.9743","7401.6421"
"60.0000","4.9951","7203.4106"
"60.2500","5.0159","7197.1074"
"60.5000","5.0369","7204.0991"
"60.7500","5.0577","7200.2759"
"61.0000","5.0785","7190.4243"
"61.2500","5.0992","7177.6250"
"61.5000","5.1201","7168.0864"
"61.7500","5.1411","7155.4624"
"62.0000","5.1618","7137.2949"
"62.2500","5.1827","7117.1670"
"62.5000","5.2035","7093.8408"
"62.7500","5.2243","7071.5820"
"63.0000","5.2452","7053.8892"
"63.2500","5.2660","7030.6792"
"63.5000","5.2869","6999.5039"
"63.7500","5.3077","6856.4438"
"64.0000","5.3284","6753.1162"
"64.2500","5.3493","6752.9717"
"64.5000","5.3702","6751.7266"
"64.6300","5.3811","6753.8345"

