
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0823"
"0.0500","0.0001","-0.1159"
"0.1000","0.0008","-0.0104"
"0.1500","0.0012","0.0772"
"0.2000","0.0031","0.1721"
"0.2500","0.0058","0.1108"
"0.3000","0.0076","0.0755"
"0.3500","0.0095","0.1323"
"0.4000","0.0110","0.1552"
"0.4500","0.0129","0.1898"
"0.5000","0.0144","-0.0904"
"0.5500","0.0163","-0.0726"
"0.6000","0.0176","0.0617"
"0.6500","0.0194","0.0144"
"0.7000","0.0212","0.0735"
"0.7500","0.0228","-0.1872"
"0.8000","0.0245","-0.1232"
"0.8500","0.0260","0.0038"
"0.9000","0.0279","0.0628"
"0.9500","0.0292","0.1955"
"1.0000","0.0312","0.0752"
"1.0500","0.0329","0.0860"
"1.1000","0.0344","0.2199"
"1.1500","0.0362","0.0469"
"1.2000","0.0377","0.1572"
"1.2500","0.0396","-0.1279"
"1.3000","0.0409","0.3269"
"1.3500","0.0429","0.1320"
"1.4000","0.0445","-0.1887"
"1.4500","0.0461","-0.1152"
"1.5000","0.0478","0.0823"
"1.5500","0.0495","0.0268"
"1.6000","0.0512","-0.0873"
"1.6500","0.0526","0.1653"
"1.7000","0.0546","0.1360"
"1.7500","0.0561","0.0618"
"1.8000","0.0579","-0.0176"
"1.8500","0.0595","0.1199"
"1.9000","0.0612","0.0637"
"1.9500","0.0628","0.1014"
"2.0000","0.0642","0.3958"
"2.0500","0.0663","-0.0536"
"2.1000","0.0678","0.1401"
"2.1500","0.0696","0.1413"
"2.2000","0.0711","-0.1423"
"2.2500","0.0728","0.0576"
"2.3000","0.0744","0.1444"
"2.3500","0.0760","0.0068"
"2.4000","0.0780","0.1284"
"2.4500","0.0794","0.2506"
"2.5000","0.0812","0.1208"
"2.5500","0.0828","0.1131"
"2.6000","0.0846","0.0246"
"2.6500","0.0860","-0.0238"
"2.7000","0.0876","-0.0010"
"2.7500","0.0895","0.1549"
"2.8000","0.0910","0.1005"
"2.8500","0.0929","0.1003"
"2.9000","0.0945","0.0703"
"2.9500","0.0963","-0.0319"
"3.0000","0.0976","-0.1124"
"3.0500","0.0993","0.1519"
"3.1000","0.1012","0.2608"
"3.1500","0.1027","0.0238"
"3.2000","0.1046","0.1809"
"3.2500","0.1061","-0.0011"
"3.3000","0.1078","0.0456"
"3.3500","0.1093","0.0655"
"3.4000","0.1112","0.0433"
"3.4500","0.1129","0.0674"
"3.5000","0.1144","0.1835"
"3.5500","0.1162","0.2707"
"3.6000","0.1177","0.0804"
"3.6500","0.1196","-0.0160"
"3.7000","0.1210","0.1245"
"3.7500","0.1228","0.1193"
"3.8000","0.1245","0.0477"
"3.8500","0.1261","0.0605"
"3.9000","0.1279","0.1455"
"3.9500","0.1295","-0.0813"
"4.0000","0.1312","0.2751"
"4.0500","0.1325","0.1299"
"4.1000","0.1344","0.0192"
"4.1500","0.1362","0.0034"
"4.2000","0.1378","0.1456"
"4.2500","0.1395","-0.0746"
"4.3000","0.1411","0.0178"
"4.3500","0.1428","-0.1681"
"4.4000","0.1442","0.1008"
"4.4500","0.1462","-0.0265"
"4.5000","0.1478","0.0567"
"4.5500","0.1494","0.0534"
"4.6000","0.1511","0.2641"
"4.6500","0.1527","0.0139"
"4.7000","0.1545","0.0118"
"4.7500","0.1559","0.0516"
"4.8000","0.1579","0.0942"
"4.8500","0.1594","0.0387"
"4.9000","0.1611","0.1382"
"4.9500","0.1628","0.0005"
"5.0000","0.1645","-0.1050"
"5.0500","0.1662","0.2014"
"5.1000","0.1676","0.0907"
"5.1500","0.1695","0.0116"
"5.2000","0.1711","0.3003"
"5.2500","0.1729","-0.0454"
"5.3000","0.1745","0.0458"
"5.3500","0.1762","-0.1308"
"5.4000","0.1777","0.0876"
"5.4500","0.1792","0.1491"
"5.5000","0.1812","0.0813"
"5.5500","0.1828","0.1548"
"5.6000","0.1846","-0.1043"
"5.6500","0.1861","-0.0495"
"5.7000","0.1879","-0.1386"
"5.7500","0.1894","-0.0238"
"5.8000","0.1910","0.0345"
"5.8500","0.1929","0.2172"
"5.9000","0.1943","-0.0577"
"5.9500","0.1962","-0.0853"
"6.0000","0.1978","-0.0819"
"6.0500","0.1996","0.0612"
"6.1000","0.2010","-0.1655"
"6.1500","0.2027","0.1624"
"6.2000","0.2046","-0.0192"
"6.2500","0.2060","0.0878"
"6.3000","0.2078","0.1531"
"6.3500","0.2094","-0.0327"
"6.4000","0.2113","-0.0029"
"6.4500","0.2126","0.0136"
"6.5000","0.2143","0.1331"
"6.5500","0.2162","0.2482"
"6.6000","0.2177","0.1787"
"6.6500","0.2196","0.0658"
"6.7000","0.2211","-0.1065"
"6.7500","0.2229","-0.0055"
"6.8000","0.2243","0.0430"
"6.8500","0.2261","0.0189"
"6.9000","0.2279","0.1471"
"6.9500","0.2294","-0.0336"
"7.0000","0.2312","0.1911"
"7.0500","0.2327","0.0827"
"7.1000","0.2346","-0.0150"
"7.1500","0.2359","0.2896"
"7.2000","0.2378","0.2090"
"7.2500","0.2395","0.1218"
"7.3000","0.2411","0.0007"
"7.3500","0.2429","-0.0721"
"7.4000","0.2445","-0.1614"
"7.4500","0.2462","0.1160"
