
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0965"
"0.0500","0.0000","-0.0091"
"0.1000","0.0006","0.2013"
"0.1500","0.0009","0.1162"
"0.2000","0.0026","0.1481"
"0.2500","0.0054","0.0089"
"0.3000","0.0073","0.0514"
"0.3500","0.0090","0.0692"
"0.4000","0.0109","0.0939"
"0.4500","0.0125","0.0572"
"0.5000","0.0142","0.1743"
"0.5500","0.0156","0.1230"
"0.6000","0.0175","0.2629"
"0.6500","0.0188","0.1016"
"0.7000","0.0208","-0.1074"
"0.7500","0.0225","0.1140"
"0.8000","0.0241","0.1352"
"0.8500","0.0258","0.1857"
"0.9000","0.0274","0.1600"
"0.9500","0.0292","0.1608"
"1.0000","0.0305","0.1206"
"1.0500","0.0325","0.2415"
"1.1000","0.0342","0.2071"
"1.1500","0.0358","-0.0269"
"1.2000","0.0375","0.0924"
"1.2500","0.0392","0.1253"
"1.3000","0.0409","0.3347"
"1.3500","0.0422","0.1396"
"1.4000","0.0442","0.2121"
"1.4500","0.0458","0.1606"
"1.5000","0.0475","0.1755"
"1.5500","0.0491","0.0309"
"1.6000","0.0508","0.0913"
"1.6500","0.0525","0.1800"
"1.7000","0.0539","0.2305"
"1.7500","0.0560","0.0307"
"1.8000","0.0575","0.2071"
"1.8500","0.0593","0.2791"
"1.9000","0.0607","0.3757"
"1.9500","0.0625","0.3789"
"2.0000","0.0640","0.4491"
"2.0500","0.0657","0.2922"
"2.1000","0.0676","0.3820"
"2.1500","0.0690","0.2860"
"2.2000","0.0709","0.2543"
"2.2500","0.0724","0.1854"
"2.3000","0.0743","0.4809"
"2.3500","0.0757","0.2119"
"2.4000","0.0773","0.4195"
"2.4500","0.0792","0.4379"
"2.5000","0.0807","0.5457"
"2.5500","0.0826","0.5195"
"2.6000","0.0841","0.6263"
"2.6500","0.0859","0.4602"
"2.7000","0.0873","0.5895"
"2.7500","0.0890","0.5794"
"2.8000","0.0909","0.6555"
"2.8500","0.0924","0.5846"
"2.9000","0.0943","0.6002"
"2.9500","0.0957","0.5926"
"3.0000","0.0975","0.5065"
"3.0500","0.0989","0.5115"
"3.1000","0.1008","0.6589"
"3.1500","0.1025","0.6162"
"3.2000","0.1040","0.6493"
"3.2500","0.1059","0.4893"
"3.3000","0.1074","0.7184"
"3.3500","0.1092","0.5269"
