
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.4665"
"0.1000","0.0005","1.4125"
"0.2000","0.0022","4.4850"
"0.3000","0.0069","9.6874"
"0.4000","0.0105","11.9756"
"0.5000","0.0138","13.8097"
"0.6000","0.0172","15.5702"
"0.7000","0.0207","17.1075"
"0.8000","0.0239","17.9786"
"0.9000","0.0272","19.0211"
"1.0000","0.0304","19.8365"
"1.1000","0.0338","20.9985"
"1.2000","0.0371","22.1360"
"1.3000","0.0405","22.9489"
"1.4000","0.0440","24.1529"
"1.5000","0.0474","25.2929"
"1.6000","0.0507","26.1243"
"1.7000","0.0538","26.7927"
"1.8000","0.0572","27.4564"
"1.9000","0.0604","28.2542"
"2.0000","0.0637","29.1486"
"2.1000","0.0673","29.8378"
"2.2000","0.0706","30.6781"
"2.3000","0.0740","31.4430"
"2.4000","0.0772","32.1132"
"2.5000","0.0805","32.6829"
"2.6000","0.0839","33.5722"
"2.7000","0.0869","33.9581"
"2.8000","0.0906","34.7967"
"2.9000","0.0940","35.1975"
"3.0000","0.0972","35.9119"
"3.1000","0.1007","36.6591"
"3.2000","0.1039","37.0170"
"3.3000","0.1072","37.3434"
"3.4000","0.1104","38.0508"
"3.5000","0.1138","38.5283"
"3.6000","0.1173","38.8682"
"3.7000","0.1205","39.3097"
"3.8000","0.1239","40.0254"
"3.9000","0.1273","40.5468"
"4.0000","0.1306","40.9069"
"4.1000","0.1337","41.0695"
"4.2000","0.1372","41.4154"
"4.3000","0.1405","41.6750"
"4.4000","0.1438","41.5918"
"4.5000","0.1473","41.6995"
"4.6000","0.1506","41.7611"
"4.7000","0.1541","42.0306"
"4.8000","0.1571","41.8094"
"4.9000","0.1605","42.1547"
"5.0000","0.1639","42.0921"
"5.1000","0.1670","41.9815"
"5.2000","0.1707","42.3168"
"5.3000","0.1740","42.0671"
"5.4000","0.1773","42.3045"
"5.5000","0.1806","42.3043"
"5.6000","0.1838","42.5798"
"5.7000","0.1872","42.7990"
"5.8000","0.1903","42.9835"
"5.9000","0.1939","43.2096"
"6.0000","0.1973","43.2235"
"6.1000","0.2007","43.6345"
"6.2000","0.2039","44.1939"
"6.3000","0.2072","44.4603"
"6.4000","0.2105","44.7302"
"6.5000","0.2136","45.0258"
"6.6000","0.2172","45.3594"
"6.7000","0.2205","45.9589"
"6.8000","0.2239","46.2709"
"6.9000","0.2274","46.8756"
"7.0000","0.2306","47.3199"
"7.1000","0.2341","47.6204"
"7.2000","0.2370","48.1063"
"7.3000","0.2405","48.3206"
"7.4000","0.2438","48.9077"
"7.5000","0.2471","49.2470"
"7.6000","0.2507","49.6084"
"7.7000","0.2540","49.8329"
"7.8000","0.2573","50.3311"
"7.9000","0.2605","50.4054"
"8.0000","0.2638","51.0425"
"8.1000","0.2671","51.3812"
"8.2000","0.2703","51.5972"
"8.3000","0.2740","52.0859"
"8.4000","0.2773","52.6479"
"8.5000","0.2807","53.0889"
"8.6000","0.2839","53.3606"
"8.7000","0.2873","53.9717"
"8.8000","0.2905","54.6631"
"8.9000","0.2936","55.0771"
"9.0000","0.2973","56.0215"
"9.1000","0.3006","56.4181"
"9.2000","0.3039","57.0622"
"9.3000","0.3074","57.9852"
"9.4000","0.3106","58.3908"
"9.5000","0.3139","59.1891"
"9.6000","0.3170","59.4946"
"9.7000","0.3205","60.3421"
"9.8000","0.3239","60.6390"
"9.9000","0.3271","61.2127"
