Time,Displacement,Force
(s),(mm),(N)
0,0,0.231
29,2.4115,1.3061
29.25,2.4324,1.944
29.5,2.4533,2.9117
29.75,2.4741,4.2286
30,2.495,6.8579
30.25,2.5157,10.9829
30.5,2.5365,17.276
30.75,2.5574,26.5449
31,2.5783,37.8215
31.25,2.5991,51.4336
31.5,2.6199,67.8838
31.75,2.6407,87.0237
32,2.6615,108.5962
32.25,2.6825,132.2372
32.5,2.7033,157.8804
32.75,2.7241,185.5355
33,2.7449,214.8806
33.25,2.7657,245.7923
33.5,2.7866,278.4565
33.75,2.8075,313.9603
34,2.8283,351.1385
34.25,2.8491,390.4258
34.5,2.8699,432.1518
34.75,2.8907,475.8387
35,2.9117,522.7975
35.25,2.9325,569.3452
35.5,2.9532,618.3333
35.75,2.9741,669.0326
36,2.9949,722.3558
36.25,3.0157,779.006
36.5,3.0367,839.517
36.75,3.0574,901.299
37,3.0782,965.5243
37.25,3.099,1030.5125
37.5,3.12,1098.9587
37.75,3.1408,1168.0088
38,3.1616,1235.126
38.25,3.1824,1303.924
38.5,3.2032,1372.5107
38.75,3.224,1438.6459
39,3.2449,1507.6331
39.25,3.2658,1574.9872
39.5,3.2866,1640.6683
39.75,3.3073,1705.9274
40,3.3282,1770.4598
40.25,3.3491,1834.446
40.5,3.37,1899.7218
40.75,3.3908,1961.3024
41,3.4116,2021.822
41.25,3.4324,2081.8713
41.5,3.4532,2140.0176
41.75,3.4741,2195.7424
42,3.4949,2252.6008
42.25,3.5158,2305.9404
42.5,3.5365,2357.5789
42.75,3.5573,2409.1565
43,3.5784,2462.365
43.25,3.5992,2510.7844
43.5,3.6199,2557.6565
43.75,3.6408,2603.45
44,3.6615,2646.4883
44.25,3.6824,2689.7163
44.5,3.7033,2733.3374
44.75,3.7241,2773.0222
45,3.7449,2813.1763
45.25,3.7657,2849.4155
45.5,3.7865,2885.5796
45.75,3.8075,2919.6638
46,3.8283,2952.0557
46.25,3.849,2982.4736
46.5,3.8699,3015.5708
46.75,3.8907,3046.0928
47,3.9115,3077.5984
47.25,3.9325,3109.1924
47.5,3.9533,3128.4705
47.75,3.9741,3155.4631
48,3.9948,3181.3557
48.25,4.0157,3207.6714
48.5,4.0366,3228.4822
48.75,4.0575,3255.1538
49,4.0782,3276.4443
49.25,4.099,3296.6506
49.5,4.1199,3318.6343
49.75,4.1408,3333.5005
50,4.1616,3344.7065
50.25,4.1825,3364.2087
50.5,4.2032,3380.6648
50.75,4.224,3394.8396
51,4.2449,3410.9087
51.25,4.2658,3425.1523
51.5,4.2866,3438.3245
51.75,4.3074,3451.1604
52,4.3282,3454.5571
52.25,4.349,3464.9182
52.5,4.37,3474.1309
52.75,4.3908,3483.2593
53,4.4116,3489.5681
53.25,4.4324,3496.4646
53.5,4.4531,3493.8079
53.75,4.4741,3498.7605
54,4.495,3499.9192
54.25,4.5158,3487.0195
54.5,4.5365,3485.3064
54.75,4.5574,3451.5645
55,4.5783,3452.0886
55.25,4.5992,3450.4019
55.5,4.62,3446.1018
55.75,4.6407,3435.4421
56,4.6615,3421.6855
56.25,4.6824,3414.8931
56.5,4.7032,3408.8262
56.75,4.7242,3389.2256
57,4.745,3381.8706
57.25,4.7657,3370.9434
57.5,4.7865,3354.3757
57.75,4.8075,3335.553
58,4.8283,3308.8967
58.25,4.8491,3291.5808
58.5,4.8699,3273.4849
58.75,4.8907,3244.8284
59,4.9115,3227.1392
59.25,4.9324,3205.9819
59.5,4.9533,3182.1978
59.75,4.9741,3138.4978
60,4.9948,3104.3738
60.25,5.0157,3072.6106
60.5,5.0366,3037.0054
60.75,5.0575,2987.3547
61,5.0783,2919.0979
61.25,5.0991,2869.425
61.5,5.1198,2820.8821
