
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0456"
"0.0500","0.0001","0.1441"
"0.1000","0.0008","-0.0292"
"0.1500","0.0010","-0.0365"
"0.2000","0.0030","0.2607"
"0.2500","0.0056","0.0660"
"0.3000","0.0077","-0.0406"
"0.3500","0.0092","-0.0418"
"0.4000","0.0111","-0.0125"
"0.4500","0.0126","0.0527"
"0.5000","0.0146","0.2004"
"0.5500","0.0159","0.1779"
"0.6000","0.0176","0.0536"
"0.6500","0.0195","0.1020"
"0.7000","0.0210","0.1514"
"0.7500","0.0229","0.0444"
"0.8000","0.0243","-0.0078"
"0.8500","0.0262","0.1889"
"0.9000","0.0275","0.2302"
"0.9500","0.0293","0.0886"
"1.0000","0.0312","0.0469"
"1.0500","0.0328","0.1866"
"1.1000","0.0345","0.0541"
"1.1500","0.0359","0.1571"
"1.2000","0.0378","0.0847"
"1.2500","0.0391","0.0949"
"1.3000","0.0411","0.2397"
"1.3500","0.0428","-0.1116"
"1.4000","0.0443","0.0971"
"1.4500","0.0461","0.0360"
"1.5000","0.0476","0.1927"
"1.5500","0.0495","-0.0098"
"1.6000","0.0509","0.0173"
"1.6500","0.0528","0.1027"
"1.7000","0.0544","0.0255"
"1.7500","0.0561","0.0273"
"1.8000","0.0577","-0.0941"
"1.8500","0.0594","0.1861"
"1.9000","0.0612","-0.0050"
"1.9500","0.0625","0.0476"
"2.0000","0.0645","0.1704"
"2.0500","0.0660","-0.0417"
"2.1000","0.0678","0.0752"
"2.1500","0.0694","0.2620"
"2.2000","0.0711","0.0994"
"2.2500","0.0727","-0.0830"
"2.3000","0.0742","0.0979"
"2.3500","0.0762","0.3109"
"2.4000","0.0777","0.0536"
"2.4500","0.0795","0.2305"
"2.5000","0.0810","0.1697"
"2.5500","0.0827","-0.1276"
"2.6000","0.0843","0.0293"
"2.6500","0.0859","0.2672"
"2.7000","0.0879","-0.0578"
"2.7500","0.0893","0.1096"
"2.8000","0.0911","0.0871"
"2.8500","0.0927","0.1569"
"2.9000","0.0945","0.2406"
"2.9500","0.0960","0.0701"
"3.0000","0.0975","0.1091"
"3.0500","0.0995","0.0759"
"3.1000","0.1009","0.0889"
"3.1500","0.1028","0.1541"
"3.2000","0.1044","0.0935"
"3.2500","0.1062","0.1683"
"3.3000","0.1076","0.2446"
"3.3500","0.1093","0.1740"
"3.4000","0.1112","0.1238"
"3.4500","0.1127","0.2132"
"3.5000","0.1145","0.1158"
"3.5500","0.1160","0.1306"
"3.6000","0.1178","0.2760"
"3.6500","0.1192","0.2759"
"3.7000","0.1210","0.0505"
"3.7500","0.1228","0.0702"
"3.8000","0.1243","0.1985"
"3.8500","0.1261","0.1059"
"3.9000","0.1277","0.0288"
"3.9500","0.1295","0.2053"
"4.0000","0.1309","0.1968"
"4.0500","0.1328","0.1821"
"4.1000","0.1345","0.2430"
"4.1500","0.1360","0.1880"
"4.2000","0.1378","0.3186"
"4.2500","0.1394","0.1700"
"4.3000","0.1412","0.2925"
"4.3500","0.1425","0.1802"
"4.4000","0.1444","0.1960"
"4.4500","0.1461","0.1267"
"4.5000","0.1478","0.2449"
"4.5500","0.1495","0.0869"
"4.6000","0.1510","0.2021"
"4.6500","0.1528","0.0972"
"4.7000","0.1541","0.2606"
"4.7500","0.1561","0.3793"
"4.8000","0.1578","0.3529"
"4.8500","0.1593","0.2245"
"4.9000","0.1611","0.3126"
"4.9500","0.1627","0.2095"
"5.0000","0.1644","0.4574"
"5.0500","0.1659","0.3407"
"5.1000","0.1678","0.1804"
"5.1500","0.1694","0.4194"
"5.2000","0.1710","0.3981"
"5.2500","0.1727","0.2438"
"5.3000","0.1744","0.3823"
"5.3500","0.1761","0.3778"
"5.4000","0.1775","0.3289"
"5.4500","0.1795","0.2434"
"5.5000","0.1810","0.2069"
"5.5500","0.1828","0.3129"
"5.6000","0.1844","0.1812"
"5.6500","0.1861","0.4316"
"5.7000","0.1877","0.4491"
"5.7500","0.1892","0.2612"
"5.8000","0.1912","0.3800"
"5.8500","0.1927","0.3964"
"5.9000","0.1945","0.2999"
"5.9500","0.1960","0.4513"
"6.0000","0.1978","0.1710"
"6.0500","0.1993","0.1954"
"6.1000","0.2009","0.2461"
"6.1500","0.2029","0.2677"
"6.2000","0.2043","0.4509"
"6.2500","0.2061","0.2038"
"6.3000","0.2077","0.4260"
"6.3500","0.2095","0.1653"
"6.4000","0.2110","0.4072"
"6.4500","0.2126","0.4412"
"6.5000","0.2145","0.3527"
"6.5500","0.2159","0.4767"
"6.6000","0.2178","0.3067"
"6.6500","0.2193","0.3500"
"6.7000","0.2212","0.2976"
"6.7500","0.2225","0.5464"
"6.8000","0.2242","0.4941"
"6.8500","0.2262","0.5535"
"6.9000","0.2276","0.3525"
"6.9500","0.2295","0.2138"
"7.0000","0.2310","0.4615"
"7.0500","0.2329","0.4816"
"7.1000","0.2342","0.5160"
"7.1500","0.2360","0.4677"
"7.2000","0.2379","0.2519"
"7.2500","0.2393","0.2331"
"7.3000","0.2412","0.4062"
"7.3500","0.2427","0.5200"
"7.4000","0.2445","0.4346"
"7.4500","0.2459","0.4512"
"7.5000","0.2478","0.3242"
"7.5500","0.2494","0.5601"
"7.6000","0.2510","0.4322"
"7.6500","0.2528","0.4179"
"7.7000","0.2544","0.4548"
"7.7500","0.2562","0.3448"
"7.8000","0.2574","0.3623"
"7.8500","0.2595","0.6110"
"7.9000","0.2611","0.5456"
"7.9500","0.2627","0.6755"
"8.0000","0.2644","0.8113"
"8.0500","0.2660","0.7430"
"8.1000","0.2678","0.8446"
"8.1500","0.2691","0.7086"
"8.2000","0.2711","0.4569"
"8.2500","0.2727","0.3848"
"8.3000","0.2745","0.4440"
"8.3500","0.2760","0.1498"
"8.4000","0.2777","0.3383"
"8.4500","0.2794","0.5322"
"8.5000","0.2808","0.4683"
"8.5500","0.2829","0.3594"
"8.6000","0.2843","0.3460"
"8.6500","0.2861","0.4418"
"8.7000","0.2877","0.4704"
"8.7500","0.2894","0.2637"
"8.8000","0.2911","0.5034"
"8.8500","0.2925","0.4176"
"8.9000","0.2946","0.2271"
"8.9500","0.2960","0.3695"
"9.0000","0.2978","0.3614"
"9.0500","0.2993","0.5795"
"9.1000","0.3012","0.4449"
"9.1500","0.3026","0.3929"
"9.2000","0.3042","0.2534"
"9.2500","0.3062","0.3053"
"9.3000","0.3077","0.2107"
"9.3500","0.3095","0.3075"
"9.4000","0.3110","0.3519"
"9.4500","0.3129","0.3788"
"9.5000","0.3143","0.3673"
"9.5500","0.3160","0.2725"
"9.6000","0.3179","0.3309"
"9.6500","0.3193","0.3525"
"9.7000","0.3212","0.3694"
"9.7500","0.3227","0.2792"
"9.8000","0.3245","0.4483"
"9.8500","0.3259","0.1606"
"9.9000","0.3277","0.3717"
"9.9500","0.3295","0.3702"
"10.0000","0.3310","0.3338"
"10.0500","0.3328","0.2460"
"10.1000","0.3344","0.1909"
"10.1500","0.3362","0.3112"
"10.2000","0.3375","0.4616"
"10.2500","0.3394","0.3107"
"10.3000","0.3411","0.4306"
"10.3500","0.3426","0.5687"
"10.4000","0.3445","0.4233"
"10.4500","0.3460","0.3921"
"10.5000","0.3478","0.3446"
"10.5500","0.3491","0.5241"
"10.6000","0.3511","0.2839"
"10.6500","0.3527","0.3494"
"10.7000","0.3544","0.6078"
"10.7500","0.3562","0.4148"
"10.8000","0.3577","0.5358"
"10.8500","0.3594","0.4068"
"10.9000","0.3609","0.3953"
"10.9500","0.3629","0.4386"
"11.0000","0.3644","0.5213"
"11.0500","0.3660","0.6128"
"11.1000","0.3678","0.5236"
"11.1500","0.3694","0.3945"
"11.2000","0.3711","0.5105"
"11.2500","0.3726","0.4131"
"11.3000","0.3745","0.4976"
"11.3500","0.3761","0.6250"
"11.4000","0.3778","0.4495"
"11.4500","0.3795","0.4743"
"11.5000","0.3811","0.4279"
"11.5500","0.3827","0.4299"
"11.6000","0.3842","0.5961"
"11.6500","0.3861","0.3882"
"11.7000","0.3877","0.4941"
"11.7500","0.3895","0.5441"
"11.8000","0.3910","0.5874"
"11.8500","0.3928","0.5500"
"11.9000","0.3943","0.5090"
"11.9500","0.3959","0.4923"
"12.0000","0.3979","0.5964"
"12.0500","0.3993","0.7118"
"12.1000","0.4011","0.5504"
"12.1500","0.4027","0.4947"
"12.2000","0.4045","0.6012"
"12.2500","0.4060","0.5495"
"12.3000","0.4076","0.5593"
"12.3500","0.4095","0.5362"
"12.4000","0.4110","0.5327"
"12.4500","0.4128","0.3370"
"12.5000","0.4143","0.4755"
"12.5500","0.4162","0.5277"
"12.6000","0.4176","0.4972"
"12.6500","0.4193","0.7796"
"12.7000","0.4212","0.7449"
"12.7500","0.4227","0.6830"
"12.8000","0.4245","0.7670"
"12.8500","0.4260","1.0203"
"12.9000","0.4278","0.8798"
"12.9500","0.4292","0.8965"
"13.0000","0.4309","1.0993"
"13.0500","0.4328","1.0526"
"13.1000","0.4343","1.0218"
"13.1500","0.4362","0.9791"
"13.2000","0.4377","1.0423"
"13.2500","0.4395","1.1020"
"13.3000","0.4409","1.0622"
"13.3500","0.4427","1.2239"
"13.4000","0.4445","1.1141"
"13.4500","0.4459","1.1184"
"13.5000","0.4478","1.4031"
"13.5500","0.4494","1.3638"
"13.6000","0.4512","1.5912"
"13.6500","0.4525","1.6541"
"13.7000","0.4544","1.7542"
"13.7500","0.4561","1.4632"
"13.8000","0.4576","1.7722"
"13.8500","0.4595","1.8172"
"13.9000","0.4610","1.8280"
"13.9500","0.4628","1.8677"
"14.0000","0.4641","1.9515"
"14.0500","0.4661","2.0884"
"14.1000","0.4677","2.2948"
"14.1500","0.4693","2.2134"
"14.2000","0.4711","2.1034"
"14.2500","0.4727","2.2038"
"14.3000","0.4744","2.1366"
"14.3500","0.4758","2.3440"
"14.4000","0.4778","2.3510"
"14.4500","0.4794","2.4464"
"14.5000","0.4811","2.1616"
"14.5500","0.4828","2.2797"
"14.6000","0.4844","2.5689"
"14.6500","0.4861","2.7200"
"14.7000","0.4875","2.5770"
"14.7500","0.4895","2.6541"
"14.8000","0.4910","2.6788"
"14.8500","0.4927","2.8041"
"14.9000","0.4944","2.9648"
"14.9500","0.4962","2.7258"
"15.0000","0.4977","2.9426"
"15.0500","0.4992","2.8686"
"15.1000","0.5013","2.7344"
