Time,Displacement,Force
(s),(mm),(N)
0,0,-0.1616
0.1,0.0008,1.8504
0.2,0.0026,6.3392
0.3,0.0074,16.6056
0.4,0.0109,23.9296
0.5,0.0142,30.8372
0.6,0.0177,36.7049
0.7,0.021,42.6823
0.8,0.0243,47.7135
1,0.0308,57.0713
12.6,0.4173,77.282
12.7,0.4209,79.9212
12.8,0.4243,83.9927
12.9,0.4275,88.1691
13,0.4311,93.7168
13.1,0.4343,98.5473
13.2,0.4376,103.5501
13.3,0.4408,107.5472
13.5,0.4476,117.6787
13.6,0.4508,122.689
13.7,0.4543,128.7749
13.8,0.4577,134.4568
13.9,0.461,139.6878
14,0.4641,144.845
14.1,0.4675,150.2078
14.2,0.4708,155.3537
14.3,0.4741,160.2931
14.4,0.4776,165.7176
14.5,0.481,170.7301
14.6,0.4844,175.7061
14.7,0.4875,180.4239
14.8,0.4909,184.8584
14.9,0.4942,189.5813
15,0.4973,193.4132
15.1,0.501,198.5624
15.2,0.5043,202.7219
15.3,0.5076,207.023
15.4,0.511,211.3404
15.5,0.5142,214.8828
15.6,0.5176,219.1697
15.7,0.5207,222.5409
15.8,0.5242,226.7147
15.9,0.5276,230.6311
16,0.5309,234.3654
16.1,0.5344,238.7843
16.2,0.5376,242.0564
16.3,0.541,245.4764
16.4,0.5441,248.7056
16.5,0.5474,252.0767
16.6,0.5509,255.4693
16.7,0.5541,258.6146
16.8,0.5577,262.7533
16.9,0.561,265.669
17,0.5644,269.0069
17.1,0.5675,271.8066
17.2,0.5709,274.8844
17.3,0.5741,278.0309
17.4,0.5774,280.6416
17.5,0.581,284.4989
17.6,0.5843,287.2111
17.7,0.5877,290.6573
17.8,0.5909,293.269
17.9,0.5942,295.8901
18,0.5975,298.393
18.1,0.6007,300.7474
18.2,0.6043,304.1833
18.3,0.6076,307.0615
18.4,0.611,309.7925
18.5,0.6143,312.9134
18.6,0.6177,315.568
18.7,0.6209,318.084
18.8,0.624,320.1122
18.9,0.6276,323.3618
19,0.6309,326.3178
19.1,0.6341,328.7899
19.2,0.6377,332.107
19.3,0.641,334.5394
19.4,0.6443,336.735
19.5,0.6474,338.7617
19.6,0.6508,341.4431
19.7,0.6542,344.2435
19.8,0.6574,346.3891
19.9,0.661,349.0419
20,0.6644,352.2827
20.1,0.6676,354.3069
20.2,0.6709,356.4465
20.3,0.6742,358.4174
20.4,0.6775,360.6843
20.5,0.6808,362.7841
20.6,0.6843,365.2066
20.7,0.6877,367.4507
20.8,0.6911,369.3941
20.9,0.6942,371.0572
21,0.6976,373.0646
21.1,0.7009,374.8225
21.2,0.704,376.1101
21.3,0.7076,378.6247
21.4,0.7109,379.2789
21.5,0.7143,381.5054
21.6,0.7177,383.7432
21.7,0.7209,384.9319
21.8,0.7243,386.8589
21.9,0.7274,387.4725
22,0.7309,389.4808
22.1,0.7343,391.132
22.2,0.7375,392.3103
22.3,0.741,394.0202
22.4,0.7444,395.2883
22.5,0.7476,396.5151
22.6,0.7508,397.832
22.7,0.7542,399.1737
22.8,0.7575,400.9834
22.9,0.7608,402.3619
23,0.7643,404.6764
23.1,0.7676,405.6523
23.2,0.7711,407.8965
23.3,0.7741,408.6844
23.4,0.7775,409.9464
23.5,0.7809,410.8502
23.6,0.784,412.2294
23.7,0.7877,414.581
23.8,0.791,415.7438
23.9,0.7944,417.0604
24,0.7976,418.4174
24.1,0.8008,418.6083
24.2,0.8043,420.3542
24.3,0.8073,420.5018
24.4,0.8109,422.1551
24.5,0.8143,422.8163
24.6,0.8177,423.9937
24.7,0.821,425.517
24.8,0.8244,426.9672
24.9,0.8275,427.7419
25,0.8307,428.6263
25.1,0.8342,429.8741
25.2,0.8375,431.1797
25.3,0.8409,432.5482
25.4,0.8444,433.7362
25.5,0.8476,434.5847
25.6,0.8511,435.7801
25.7,0.8541,436.0602
25.8,0.8575,436.9667
25.9,0.8608,437.6564
26,0.8641,438.703
26.1,0.8677,440.0191
26.2,0.871,440.8188
26.3,0.8743,441.6526
26.4,0.8776,442.4648
26.5,0.8808,443.4828
26.6,0.8842,444.8018
26.7,0.8873,445.1969
26.8,0.8909,446.3922
26.9,0.8943,447.4816
27,0.8976,448.4747
27.1,0.9009,449.3756
27.2,0.9043,450.4688
27.3,0.9075,451.0376
27.4,0.9107,451.8389
27.5,0.9142,453.0772
27.6,0.9176,453.3569
27.7,0.9209,454.1094
27.8,0.9243,455.4348
27.9,0.9276,456.3707
28,0.931,457.0821
28.1,0.934,457.1013
28.2,0.9376,457.9825
28.3,0.9409,458.8343
28.4,0.9441,458.9485
28.5,0.9477,460.3479
28.6,0.9509,460.8972
28.7,0.9543,461.8157
28.8,0.9575,462.4124
28.9,0.9608,463.0761
29,0.9642,464.2421
29.1,0.9674,463.4018
29.2,0.971,464.9213
29.3,0.9744,465.7706
29.4,0.9777,466.6299
29.5,0.9808,466.9831
29.6,0.9842,468.0876
29.7,0.9875,468.9538
29.8,0.9907,469.8371
29.9,0.9943,470.8795
30,0.9977,471.8309
30.1,1.001,472.6508
30.2,1.0043,472.799
30.3,1.0075,473.2221
30.4,1.0109,473.9942
30.5,1.014,473.947
30.6,1.0176,475.4802
30.7,1.0209,476.6538
30.8,1.0243,476.8347
30.9,1.0277,477.5569
31,1.0309,477.8973
31.1,1.0343,478.4601
31.2,1.0374,478.8765
31.3,1.0408,479.7408
31.4,1.0442,480.5433
31.5,1.0476,481.0894
31.6,1.0511,482.4786
31.7,1.0543,482.921
31.8,1.0577,483.5208
31.9,1.0607,483.6264
32,1.0642,485.1037
32.1,1.0674,484.9662
32.2,1.0707,486.0524
32.3,1.0744,486.9316
32.4,1.0777,487.6048
32.5,1.0811,488.2639
32.6,1.0842,488.3255
32.7,1.0875,489.1174
32.8,1.0908,489.9798
32.9,1.094,490.3309
33,1.0976,491.7986
33.1,1.101,492.5544
33.2,1.1044,493.2039
33.3,1.1077,493.59
33.4,1.1109,494.3639
33.5,1.1142,495.0927
33.585,1.117,-0.8025
