
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.3517"
"0.1000","0.0009","2.9991"
"0.2000","0.0026","8.8106"
"0.3000","0.0076","25.1344"
"0.4000","0.0110","30.5220"
"0.5000","0.0142","36.5678"
"0.6000","0.0178","38.7043"
"0.7000","0.0211","39.4768"
"0.8000","0.0245","40.1705"
"0.9000","0.0279","40.8323"
"1.0000","0.0312","41.7005"
"1.1000","0.0345","42.3963"
"1.2000","0.0376","43.8549"
"1.3000","0.0410","44.9642"
"1.4000","0.0444","45.4017"
"1.5000","0.0477","46.2298"
"1.6000","0.0512","47.0445"
"1.7000","0.0545","47.3834"
"1.8000","0.0579","47.7863"
"1.9000","0.0610","47.9667"
"2.0000","0.0643","48.2722"
"2.1000","0.0677","48.8689"
"2.2000","0.0709","49.0878"
"2.3000","0.0745","49.2281"
"2.4000","0.0779","49.4210"
"2.5000","0.0812","49.3950"
"2.6000","0.0845","49.4997"
"2.7000","0.0877","49.5931"
"2.8000","0.0911","49.7100"
"2.9000","0.0943","49.8139"
"3.0000","0.0978","49.9530"
"3.1000","0.1012","49.8463"
"3.2000","0.1045","50.0587"
"3.3000","0.1078","49.9316"
"3.4000","0.1111","49.8697"
"3.5000","0.1144","50.0957"
"3.6000","0.1175","50.1175"
"3.7000","0.1211","50.1119"
"3.8000","0.1244","50.3885"
"3.9000","0.1278","50.3860"
"4.0000","0.1312","50.7009"
"4.1000","0.1345","50.3914"
"4.2000","0.1378","50.6053"
"4.3000","0.1409","50.5844"
"4.4000","0.1444","50.6680"
"4.5000","0.1478","50.5371"
"4.6000","0.1510","50.7033"
"4.7000","0.1546","50.7917"
"4.8000","0.1578","50.6946"
"4.9000","0.1612","50.7052"
"5.0000","0.1643","50.6038"
"5.1000","0.1676","50.6876"
"5.2000","0.1711","50.7665"
"5.3000","0.1743","50.5026"
"5.4000","0.1779","50.7576"
"5.5000","0.1812","50.7773"
"5.6000","0.1846","50.6842"
"5.7000","0.1877","50.9802"
"5.8000","0.1910","50.9120"
"5.9000","0.1944","50.7155"
"6.0000","0.1975","50.8158"
"6.1000","0.2012","50.9141"
"6.2000","0.2045","50.8320"
"6.3000","0.2079","51.0760"
"6.4000","0.2112","50.9825"
"6.5000","0.2144","50.9088"
"6.6000","0.2178","50.9478"
"6.7000","0.2208","51.1950"
"6.8000","0.2245","51.0933"
"6.9000","0.2278","51.2734"
"7.0000","0.2312","51.2679"
"7.1000","0.2345","51.2478"
"7.2000","0.2379","51.2185"
"7.3000","0.2411","51.4792"
"7.4000","0.2442","51.3481"
"7.5000","0.2477","51.4716"
"7.6000","0.2510","51.5848"
"7.7000","0.2544","51.3213"
"7.8000","0.2579","51.6222"
"7.9000","0.2612","51.4559"
"8.0000","0.2646","51.5318"
"8.1000","0.2676","51.3975"
"8.2000","0.2710","51.6210"
"8.3000","0.2743","51.4184"
"8.4000","0.2776","51.7833"
"8.5000","0.2812","51.7835"
"8.6000","0.2846","51.8359"
"8.7000","0.2879","51.8107"
"8.8000","0.2911","51.9896"
"8.9000","0.2944","52.0325"
"9.0000","0.2978","52.2530"
"9.1000","0.3008","52.3161"
"9.2000","0.3044","52.3829"
"9.3000","0.3078","52.2418"
"9.4000","0.3111","52.6743"
"9.5000","0.3145","52.6443"
"9.6000","0.3178","52.8609"
"9.7000","0.3211","52.9665"
"9.8000","0.3242","52.9998"
"9.9000","0.3277","53.1908"
"10.0000","0.3311","53.3514"
"10.1000","0.3344","53.6364"
"10.2000","0.3379","53.7755"
"10.3000","0.3411","53.9371"
"10.4000","0.3446","54.4748"
"10.5000","0.3475","54.4239"
"10.6000","0.3511","54.9498"
"10.7000","0.3544","55.5215"
"10.8000","0.3577","55.8247"
"10.9000","0.3612","56.3098"
"11.0000","0.3645","57.0129"
"11.1000","0.3679","57.9052"
"11.2000","0.3710","58.4449"
"11.3000","0.3743","59.6078"
"11.4000","0.3777","61.3876"
"11.5000","0.3809","63.1077"
"11.6000","0.3846","64.1274"
"11.7000","0.3879","66.8834"
"11.8000","0.3912","70.8883"
"11.9000","0.3944","75.4701"
"12.0000","0.3977","80.4115"
"12.1000","0.4010","85.9813"
"12.2000","0.4042","92.2714"
"12.3000","0.4078","100.6797"
"12.4000","0.4112","109.0489"
"12.5000","0.4145","117.2371"
"12.6000","0.4178","125.7894"
"12.7000","0.4210","133.6165"
"12.8000","0.4244","142.1791"
"12.9000","0.4275","149.3522"
"13.0000","0.4311","158.0011"
"13.1000","0.4345","166.0700"
"13.2000","0.4378","174.1116"
"13.3000","0.4412","182.9712"
"13.4000","0.4445","190.5907"
"13.5000","0.4478","198.6045"
"13.6000","0.4509","205.7481"
"13.7000","0.4544","213.9614"
"13.8000","0.4577","222.0003"
"13.9000","0.4610","229.5087"
"14.0000","0.4646","237.8345"
"14.1000","0.4679","245.1921"
"14.2000","0.4712","252.7846"
"14.3000","0.4742","258.8619"
"14.4000","0.4777","266.5763"
"14.5000","0.4809","272.9514"
"14.6000","0.4842","279.7322"
"14.7000","0.4879","287.6623"
"14.8000","0.4912","294.1888"
"14.9000","0.4946","300.9945"
"15.0000","0.4977","306.8150"
"15.1000","0.5010","312.9174"
"15.2000","0.5044","319.0488"
"15.3000","0.5075","324.5645"
"15.4000","0.5111","331.8597"
"15.5000","0.5145","337.6568"
"15.6000","0.5179","343.4761"
"15.7000","0.5212","349.3357"
"15.8000","0.5245","354.5744"
"15.9000","0.5277","360.2835"
"16.0000","0.5309","364.9428"
"16.1000","0.5344","370.7694"
"16.2000","0.5378","376.4742"
"16.3000","0.5411","381.1967"
"16.4000","0.5445","386.8628"
"16.5000","0.5478","391.9238"
"16.6000","0.5512","396.8483"
"16.7000","0.5542","401.2303"
"16.8000","0.5577","406.4581"
"16.9000","0.5611","411.0100"
"17.0000","0.5643","415.7412"
"17.1000","0.5679","421.0581"
"17.2000","0.5712","425.6114"
"17.3000","0.5745","430.3932"
"17.4000","0.5777","434.1757"
"17.5000","0.5810","438.4207"
"17.6000","0.5845","442.9949"
"17.7000","0.5876","445.9933"
"17.8000","0.5912","451.4424"
"17.9000","0.5945","455.2906"
"18.0000","0.5978","459.3430"
"18.1000","0.6011","462.7841"
"18.2000","0.6043","466.5416"
"18.3000","0.6077","470.8451"
"18.4000","0.6109","473.8263"
"18.5000","0.6144","478.3233"
"18.6000","0.6178","481.8982"
"18.7000","0.6212","485.1511"
"18.8000","0.6245","488.9052"
"18.9000","0.6278","491.6491"
"19.0000","0.6311","494.8084"
"19.1000","0.6342","497.2220"
"19.2000","0.6378","500.9754"
"19.3000","0.6411","504.3484"
"19.4000","0.6444","507.6678"
"19.5000","0.6479","510.9899"
"19.6000","0.6511","513.7335"
"19.7000","0.6545","516.2219"
"19.8000","0.6575","518.4996"
"19.9000","0.6610","521.7567"
"20.0000","0.6644","524.6197"
"20.1000","0.6677","527.1669"
"20.2000","0.6712","530.4151"
"20.3000","0.6745","532.5579"
"20.4000","0.6779","534.8605"
"20.5000","0.6810","536.5388"
"20.6000","0.6843","539.0226"
"20.7000","0.6877","541.2361"
"20.8000","0.6909","543.0891"
"20.9000","0.6946","546.8702"
"21.0000","0.6979","548.7551"
"21.1000","0.7013","551.6505"
"21.2000","0.7044","553.3630"
"21.3000","0.7077","555.4349"
"21.4000","0.7110","557.2198"
"21.5000","0.7142","559.0000"
"21.6000","0.7178","562.1339"
"21.6590","0.7200","-2.6412"

