
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0425"
"0.0500","0.0001","-0.0137"
"0.1000","0.0006","0.3555"
"0.1500","0.0013","0.2402"
"0.2000","0.0022","0.5244"
"0.2500","0.0047","1.0162"
"0.3000","0.0068","1.1394"
"0.3500","0.0088","1.0600"
"0.4000","0.0106","1.1384"
"0.4500","0.0122","1.1812"
"0.5000","0.0139","1.2288"
"0.5500","0.0155","1.2425"
"0.6000","0.0173","1.1774"
"0.6500","0.0187","1.3257"
"0.7000","0.0207","1.0971"
"0.7500","0.0222","1.4001"
"0.8000","0.0239","1.2123"
"0.8500","0.0255","1.3747"
"0.9000","0.0273","1.3514"
"0.9500","0.0290","1.2689"
"1.0000","0.0303","1.2742"
"1.0500","0.0323","1.3975"
"1.1000","0.0339","1.2434"
"1.1500","0.0357","1.5126"
"1.2000","0.0372","1.2817"
"1.2500","0.0390","1.4431"
"1.3000","0.0405","1.2219"
"1.3500","0.0420","1.2326"
"1.4000","0.0441","1.3775"
"1.4500","0.0456","1.3486"
"1.5000","0.0474","1.4183"
"1.5500","0.0489","1.3156"
"1.6000","0.0506","1.4045"
"1.6500","0.0521","1.3656"
"1.7000","0.0538","1.4029"
"1.7500","0.0557","1.2918"
"1.8000","0.0571","1.4807"
"1.8500","0.0590","1.5438"
"1.9000","0.0606","1.4569"
"1.9500","0.0624","1.5093"
"2.0000","0.0638","1.3543"
"2.0500","0.0654","1.3438"
"2.1000","0.0673","1.4011"
"2.1500","0.0688","1.4237"
"2.2000","0.0707","1.5430"
"2.2500","0.0722","1.2501"
"2.3000","0.0740","1.4827"
"2.3500","0.0754","1.4213"
"2.4000","0.0772","1.4023"
"2.4500","0.0790","1.2454"
"2.5000","0.0806","1.6717"
"2.5500","0.0824","1.3905"
"2.6000","0.0838","1.4781"
"2.6500","0.0856","1.3458"
"2.7000","0.0870","1.4291"
"2.7500","0.0889","1.5369"
"2.8000","0.0906","1.6252"
"2.8500","0.0921","1.4686"
"2.9000","0.0940","1.5248"
"2.9500","0.0955","1.3637"
"3.0000","0.0974","1.5866"
"3.0500","0.0987","1.3664"
"3.1000","0.1006","1.4136"
"3.1500","0.1023","1.5130"
"3.2000","0.1039","1.5688"
"3.2500","0.1057","1.5551"
"3.3000","0.1073","1.5284"
"3.3500","0.1090","1.6804"
"3.4000","0.1103","1.4124"
"3.4500","0.1122","1.7101"
"3.5000","0.1139","1.4417"
"3.5500","0.1156","1.4803"
"3.6000","0.1173","1.6924"
"3.6500","0.1189","1.3819"
"3.7000","0.1206","1.5317"
"3.7500","0.1220","1.5000"
"3.8000","0.1240","1.3742"
"3.8500","0.1256","1.5829"
"3.9000","0.1272","1.4657"
"3.9500","0.1289","1.5778"
"4.0000","0.1306","1.3560"
"4.0500","0.1323","1.7065"
"4.1000","0.1337","1.5763"
"4.1500","0.1357","1.5787"
"4.2000","0.1372","1.6467"
"4.2500","0.1389","1.6234"
"4.3000","0.1405","1.6886"
"4.3500","0.1423","1.4778"
"4.4000","0.1439","1.5644"
"4.4500","0.1453","1.6118"
"4.5000","0.1473","1.5100"
"4.5500","0.1489","1.6391"
"4.6000","0.1506","1.6668"
"4.6500","0.1522","1.6838"
"4.7000","0.1540","1.5222"
"4.7500","0.1555","1.4008"
"4.8000","0.1570","1.6028"
"4.8500","0.1590","1.4931"
"4.9000","0.1606","1.6143"
"4.9500","0.1623","1.5418"
"5.0000","0.1639","1.8033"
"5.0500","0.1657","1.6534"
"5.1000","0.1671","1.6186"
"5.1500","0.1688","1.6707"
"5.2000","0.1707","1.5613"
"5.2500","0.1721","1.7634"
"5.3000","0.1740","1.4958"
"5.3500","0.1755","1.6744"
"5.4000","0.1774","1.6675"
"5.4500","0.1788","1.7831"
"5.5000","0.1805","1.7265"
"5.5500","0.1823","1.8945"
"5.6000","0.1838","1.7345"
"5.6500","0.1856","1.5591"
"5.7000","0.1872","1.6179"
"5.7500","0.1890","1.5813"
"5.8000","0.1904","1.6948"
"5.8500","0.1922","1.5221"
"5.9000","0.1940","1.4841"
"5.9500","0.1955","1.5814"
"6.0000","0.1973","1.4488"
"6.0500","0.1988","1.6710"
"6.1000","0.2007","1.7379"
"6.1500","0.2020","1.5684"
"6.2000","0.2039","1.6785"
"6.2500","0.2056","1.6787"
"6.3000","0.2071","1.4906"
"6.3500","0.2090","1.7579"
"6.4000","0.2105","1.6815"
"6.4500","0.2124","1.6017"
"6.5000","0.2137","1.6231"
"6.5500","0.2156","1.5505"
"6.6000","0.2173","1.5852"
"6.6500","0.2189","1.7531"
"6.7000","0.2206","1.6738"
"6.7500","0.2223","1.5623"
"6.8000","0.2240","1.5122"
"6.8500","0.2253","1.6890"
"6.9000","0.2274","1.4910"
"6.9500","0.2289","1.5945"
"7.0000","0.2306","1.8358"
"7.0500","0.2322","1.6454"
"7.1000","0.2339","1.7594"
"7.1500","0.2357","1.7232"
"7.2000","0.2370","1.6912"
"7.2500","0.2390","1.7056"
"7.3000","0.2406","1.6691"
"7.3500","0.2423","1.5983"
"7.4000","0.2438","1.4855"
"7.4500","0.2456","1.5891"
"7.5000","0.2472","1.4560"
"7.5500","0.2487","1.6768"
"7.6000","0.2507","1.6389"
"7.6500","0.2522","1.7043"
"7.7000","0.2540","1.7938"
"7.7500","0.2555","1.8737"
"7.8000","0.2573","1.6689"
"7.8500","0.2588","1.6694"
"7.9000","0.2604","1.6570"
"7.9500","0.2624","1.7001"
"8.0000","0.2639","1.7698"
"8.0500","0.2656","1.7717"
"8.1000","0.2671","1.6492"
"8.1500","0.2691","1.6265"
"8.2000","0.2704","1.7405"
"8.2500","0.2721","1.9013"
"8.3000","0.2740","1.7400"
"8.3500","0.2755","1.6698"
"8.4000","0.2774","1.8021"
"8.4500","0.2788","1.6008"
"8.5000","0.2807","1.4562"
"8.5500","0.2821","1.8285"
"8.6000","0.2838","1.5105"
"8.6500","0.2857","1.7739"
"8.7000","0.2872","1.7837"
"8.7500","0.2890","1.6036"
"8.8000","0.2905","1.8041"
"8.8500","0.2923","1.6372"
"8.9000","0.2937","1.6236"
"8.9500","0.2956","1.7157"
"9.0000","0.2973","1.6849"
"9.0500","0.2989","1.8207"
"9.1000","0.3007","1.7494"
"9.1500","0.3022","1.8392"
"9.2000","0.3040","1.9297"
"9.2500","0.3053","1.6102"
"9.3000","0.3072","1.7467"
"9.3500","0.3089","1.7506"
"9.4000","0.3105","1.6784"
"9.4500","0.3123","1.7639"
"9.5000","0.3139","1.7152"
"9.5500","0.3156","1.7667"
"9.6000","0.3170","1.6098"
"9.6500","0.3190","1.9493"
"9.7000","0.3206","1.9678"
"9.7500","0.3223","1.6965"
"9.8000","0.3240","1.4177"
"9.8500","0.3255","1.7223"
"9.9000","0.3272","1.7568"
"9.9500","0.3287","1.6061"
"10.0000","0.3307","1.8621"
"10.0500","0.3322","1.7283"
"10.1000","0.3339","1.6444"
"10.1500","0.3356","1.7540"
"10.2000","0.3373","1.7358"
"10.2500","0.3389","1.7201"
"10.3000","0.3404","1.5383"
"10.3500","0.3424","1.8237"
"10.4000","0.3439","1.7839"
"10.4500","0.3456","1.5596"
"10.5000","0.3473","1.7264"
"10.5500","0.3490","1.7845"
"10.6000","0.3505","1.8587"
"10.6500","0.3520","1.8258"
"10.7000","0.3540","1.7014"
"10.7500","0.3556","1.7267"
"10.8000","0.3574","1.5912"
"10.8500","0.3589","1.7323"
"10.9000","0.3606","1.7265"
"10.9500","0.3621","1.6691"
"11.0000","0.3637","1.8057"
"11.0500","0.3657","1.7027"
"11.1000","0.3672","1.6839"
"11.1500","0.3689","1.7125"
"11.2000","0.3705","1.7436"
"11.2500","0.3723","1.6157"
"11.3000","0.3738","1.7211"
"11.3500","0.3755","1.6354"
"11.4000","0.3774","1.8558"
"11.4500","0.3788","1.9577"
"11.5000","0.3806","1.8085"
"11.5500","0.3822","1.7122"
"11.6000","0.3841","1.8845"
"11.6500","0.3854","1.8244"
"11.7000","0.3871","1.7658"
"11.7500","0.3890","1.9009"
"11.8000","0.3905","1.8095"
"11.8500","0.3923","1.8813"
"11.9000","0.3939","1.7625"
"11.9500","0.3957","1.9012"
"12.0000","0.3970","1.8184"
"12.0500","0.3988","1.7320"
"12.1000","0.4007","1.7685"
"12.1500","0.4022","1.6428"
"12.2000","0.4040","1.6395"
"12.2500","0.4055","1.9898"
"12.3000","0.4074","1.7870"
"12.3500","0.4087","1.8070"
"12.4000","0.4106","1.7787"
"12.4500","0.4123","1.7278"
"12.5000","0.4138","1.6941"
"12.5500","0.4157","1.8238"
"12.6000","0.4172","1.7130"
"12.6500","0.4190","1.5781"
"12.7000","0.4203","1.8372"
"12.7500","0.4223","1.8428"
"12.8000","0.4239","1.7992"
"12.8500","0.4255","1.9600"
"12.9000","0.4273","1.7474"
"12.9500","0.4289","1.7353"
"13.0000","0.4306","1.9086"
"13.0500","0.4320","1.6860"
"13.1000","0.4340","1.5926"
"13.1500","0.4356","1.6637"
"13.2000","0.4372","1.8249"
"13.2500","0.4389","1.6588"
"13.3000","0.4406","1.8519"
"13.3500","0.4423","2.0041"
"13.4000","0.4437","1.8346"
"13.4500","0.4457","1.8546"
"13.5000","0.4472","1.8223"
"13.5500","0.4489","1.7695"
"13.6000","0.4506","1.8760"
"13.6500","0.4523","1.6488"
"13.7000","0.4539","1.9090"
"13.7500","0.4554","1.7834"
"13.8000","0.4574","1.7383"
"13.8500","0.4588","1.8850"
"13.9000","0.4606","1.7707"
"13.9500","0.4622","1.8827"
"14.0000","0.4641","1.8411"
"14.0500","0.4655","1.7993"
"14.1000","0.4670","1.7772"
"14.1500","0.4691","1.9858"
"14.2000","0.4705","1.9318"
"14.2500","0.4724","1.7387"
"14.3000","0.4738","1.8140"
"14.3500","0.4757","1.9128"
"14.4000","0.4772","1.8418"
"14.4500","0.4788","1.7469"
"14.5000","0.4807","1.8237"
"14.5500","0.4822","1.6911"
"14.6000","0.4840","1.8427"
"14.6500","0.4854","1.7746"
"14.7000","0.4873","1.7625"
"14.7500","0.4887","1.8010"
"14.8000","0.4905","1.6612"
"14.8500","0.4923","1.7397"
"14.9000","0.4938","1.7573"
"14.9500","0.4957","1.7596"
"15.0000","0.4971","1.9842"
"15.0500","0.4990","1.7075"
"15.1000","0.5004","2.0167"
"15.1500","0.5022","1.8342"
"15.2000","0.5040","1.7688"
"15.2500","0.5056","1.6837"
"15.3000","0.5073","1.6715"
"15.3500","0.5089","1.7055"
"15.4000","0.5107","1.8724"
"15.4500","0.5120","1.7306"
"15.5000","0.5139","1.6663"
"15.5500","0.5156","1.9295"
"15.6000","0.5173","1.8266"
"15.6500","0.5190","2.0817"
"15.7000","0.5205","1.8101"
"15.7500","0.5224","1.9678"
"15.8000","0.5237","1.8036"
"15.8500","0.5257","1.6967"
"15.9000","0.5273","1.7227"
"15.9500","0.5289","1.6552"
"16.0000","0.5306","1.9487"
"16.0500","0.5322","1.8540"
"16.1000","0.5339","1.7169"
"16.1500","0.5354","1.8516"
"16.2000","0.5374","1.7337"
"16.2500","0.5389","1.9051"
"16.3000","0.5406","1.6939"
"16.3500","0.5423","1.8681"
"16.4000","0.5440","1.8671"
"16.4500","0.5456","1.7921"
"16.5000","0.5470","1.8671"
"16.5500","0.5490","1.7336"
"16.6000","0.5505","1.6659"
"16.6500","0.5523","1.8011"
"16.7000","0.5539","1.9634"
"16.7500","0.5557","1.9331"
"16.8000","0.5571","1.6969"
"16.8500","0.5587","1.5325"
"16.9000","0.5607","2.0874"
"16.9500","0.5622","1.8257"
"17.0000","0.5641","1.8486"
"17.0500","0.5656","1.7765"
"17.1000","0.5673","1.7076"
"17.1500","0.5688","1.8261"
"17.2000","0.5705","1.8431"
"17.2500","0.5724","1.6228"
"17.3000","0.5738","1.9234"
"17.3500","0.5756","1.8116"
"17.4000","0.5771","1.6404"
"17.4500","0.5790","1.7846"
"17.5000","0.5805","1.7369"
"17.5500","0.5822","1.7458"
"17.6000","0.5840","1.5859"
"17.6500","0.5855","1.8262"
"17.7000","0.5873","1.9989"
"17.7500","0.5889","1.7377"
"17.8000","0.5908","1.7155"
"17.8500","0.5921","1.7493"
"17.9000","0.5938","1.6796"
"17.9500","0.5956","1.7424"
"18.0000","0.5972","1.6732"
"18.0500","0.5991","1.7410"
"18.1000","0.6005","1.6457"
"18.1500","0.6023","1.8781"
"18.2000","0.6037","1.8713"
"18.2500","0.6055","1.9377"
"18.3000","0.6073","1.7923"
"18.3500","0.6088","1.9366"
"18.4000","0.6106","1.8609"
"18.4500","0.6121","1.7352"
"18.5000","0.6140","1.7982"
"18.5500","0.6154","1.9229"
"18.6000","0.6173","1.6421"
"18.6500","0.6190","1.7291"
"18.7000","0.6205","1.7582"
"18.7500","0.6222","1.7726"
"18.8000","0.6239","1.7246"
"18.8500","0.6257","1.8141"
"18.9000","0.6270","1.7717"
"18.9500","0.6289","1.5880"
"19.0000","0.6306","1.8223"
"19.0500","0.6322","1.7548"
"19.1000","0.6340","1.9941"
"19.1500","0.6356","1.8204"
"19.2000","0.6373","1.6630"
"19.2500","0.6386","1.9214"
"19.3000","0.6406","1.8395"
"19.3500","0.6423","1.9176"
"19.4000","0.6440","1.8635"
"19.4500","0.6456","1.8941"
