
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0347"
"0.2500","0.0152","0.7401"
"0.5000","0.0362","1.0478"
"0.7500","0.0570","1.4161"
"1.0000","0.0778","2.1237"
"1.2500","0.0986","3.3808"
"1.5000","0.1195","7.1777"
"1.7500","0.1404","13.7712"
"2.0000","0.1612","24.5982"
"2.2500","0.1820","38.0530"
"2.5000","0.2028","55.5532"
"2.7500","0.2236","77.9148"
"3.0000","0.2445","105.9385"
"3.2500","0.2654","138.0819"
"3.5000","0.2861","174.5088"
"3.7500","0.3069","214.8298"
"4.0000","0.3277","257.9015"
"4.2500","0.3487","303.6186"
"4.5000","0.3695","352.9221"
"4.7500","0.3903","403.4805"
"5.0000","0.4112","456.0708"
"5.2500","0.4319","510.9173"
"5.5000","0.4528","570.9749"
"5.7500","0.4737","632.7392"
"6.0000","0.4945","696.5040"
"6.2500","0.5154","765.1295"
"6.5000","0.5361","838.0614"
"6.7500","0.5568","917.9438"
"7.0000","0.5778","1006.8956"
"7.2500","0.5987","1100.8651"
"7.5000","0.6195","1196.6880"
"7.7500","0.6403","1291.6492"
"8.0000","0.6611","1385.4641"
"8.2500","0.6819","1476.7389"
"8.5000","0.7029","1565.6871"
"8.7500","0.7237","1649.5208"
"9.0000","0.7445","1728.8513"
"9.2500","0.7653","1803.8256"
"9.5000","0.7861","1875.0555"
"9.7500","0.8070","1946.1771"
"10.0000","0.8279","2011.8059"
"10.2500","0.8486","2072.6506"
"10.5000","0.8695","2131.9441"
"10.7500","0.8903","2189.2292"
"11.0000","0.9111","2244.6885"
"11.2500","0.9321","2299.6233"
"11.5000","0.9529","2350.2964"
"11.7500","0.9736","2397.5850"
"12.0000","0.9944","2443.6675"
"12.2500","1.0153","2487.3479"
"12.5000","1.0361","2528.0066"
"12.7500","1.0571","2565.7761"
"13.0000","1.0778","2602.2178"
"13.2500","1.0985","2633.5625"
"13.5000","1.1195","2667.0898"
"13.7500","1.1403","2700.2864"
"14.0000","1.1612","2729.8171"
"14.2500","1.1821","2760.5500"
"14.5000","1.2029","2786.1606"
"14.7500","1.2235","2810.6567"
"15.0000","1.2445","2817.5901"
"15.2500","1.2653","2834.6543"
"15.5000","1.2862","2856.5015"
"15.7500","1.3070","2848.5940"
"16.0000","1.3277","2854.5562"
"16.2500","1.3486","2869.5105"
"16.5000","1.3695","2882.9670"
"16.7500","1.3903","2899.7964"
"17.0000","1.4112","2913.1655"
"17.2500","1.4320","2928.9719"
"17.5000","1.4527","2925.4473"
"17.7500","1.4736","2932.9102"
"18.0000","1.4946","2942.4551"
"18.2500","1.5154","2955.7524"
"18.5000","1.5361","2956.7141"
"18.7500","1.5570","2962.2100"
"19.0000","1.5777","2959.3232"
"19.2500","1.5987","2962.1841"
"19.5000","1.6195","2962.9683"
"19.7500","1.6403","2940.6140"
"20.0000","1.6611","2934.7598"
"20.2500","1.6820","2930.0933"
"20.5000","1.7027","2926.6787"
"20.7500","1.7238","2929.0728"
"21.0000","1.7445","2930.6250"
"21.2500","1.7653","2929.5334"
"21.5000","1.7861","2921.5720"
"21.7500","1.8070","2860.9109"
"22.0000","1.8279","2749.0442"
"22.2500","1.8487","2739.0630"
"22.5000","1.8695","2730.5488"
"22.7500","1.8903","2726.2856"
"23.0000","1.9111","2714.9402"
"23.2500","1.9320","2706.1423"
"23.5000","1.9529","2682.9268"
"23.7500","1.9737","2671.7271"
"24.0000","1.9944","2650.2917"
"24.2500","2.0152","2629.3591"
"24.5000","2.0362","2610.4531"
"24.7500","2.0571","2592.0366"
"25.0000","2.0779","2568.1287"
"25.2500","2.0987","2537.6487"
"25.5000","2.1194","2500.8816"
"25.7500","2.1403","2450.2068"
"26.0000","2.1612","2392.1504"
"26.2500","2.1820","2326.8057"
"26.5000","2.2029","2250.8398"
"26.7500","2.2236","2104.1348"
"27.0000","2.2444","1706.8854"
"27.2500","2.2654","1550.3351"
"27.5000","2.2863","1465.5016"
"27.7500","2.3070","1303.6639"
"28.0000","2.3279","1237.8234"
"28.2500","2.3486","1205.5079"
"28.5000","2.3694","1185.7488"
"28.7500","2.3904","1175.2651"
"29.0000","2.4112","1169.2865"
"29.2500","2.4319","1166.7014"
"29.5000","2.4527","1168.8085"
"29.7500","2.4736","1166.6174"
"30.0000","2.4945","1161.2983"
"30.2500","2.5154","1157.3488"
"30.5000","2.5361","1153.3115"
"30.7500","2.5569","1149.2054"
"31.0000","2.5778","1144.4608"
"31.2500","2.5986","1143.3884"
"31.5000","2.6195","1150.2108"
"31.7500","2.6404","1161.2937"
"32.0000","2.6611","1174.0719"
"32.2500","2.6819","1185.3138"
"32.2600","2.6828","1186.2402"

